Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.004006,0.928346,0.032775,0.370249,1.417132,86.622086,15.41081,-0.025001,0.930094,0.115691,0.347728,1.282204,94.620628,15.922393,-0.017359,0.938316,0.029322,0.344097,-1.473785,115.719078,20.216413,0.104963,0.939808,-0.169755,0.277358,-2.714374,139.179886,21.229443,0.080943,0.954275,-0.217221,0.18874,2.651431,152.387314,15.735358,-0.07739,0.863404,0.129714,0.481371,-5.885111,133.696167,18.977785,0.405225,-0.565847,0.089452,-0.712466,-14.600739,133.550674,4.833788,0.215359,0.160189,-0.507503,-0.81878,-5.83919,118.608116,-13.875757,0.353208,0.249273,-0.508359,-0.744767,4.855058,140.809143,-12.797154,-0.123482,0.954977,0.095807,0.252175,0.073673,133.793045,24.031485,0.316333,0.902254,0.032142,-0.29127,14.068258,136.908646,32.426765,-0.042711,0.282527,0.398049,-0.871729,30.136162,122.831749,18.507147,-0.132391,0.029353,0.731351,-0.668384,17.5625,140.08075,7.492333,0.026242,0.888738,0.187304,0.417579,-5.678023,86.932045,8.693239,0.149872,0.95816,-0.063483,0.235454,-1.615275,52.572769,-4.438488,-0.030838,0.950412,0.026052,0.308362,-16.855129,7.058677,-1.983629,-0.098711,0.875984,0.019471,0.471729,8.512287,86.312119,22.128382,0.016548,0.827223,-0.230068,0.512344,15.592056,50.054504,24.31241,0.018984,0.838821,0.061073,0.540637,2.946115,7.108146,41.791035,-0.030838,0.950412,0.026052,0.308362,-7.809282,1.73024,-14.032393,0.018984,0.838821,0.061073,0.540637,16.497049,2.007355,35.027424
1,0.008333,0.003701,0.928343,0.033584,0.370186,1.419348,86.51123,15.41542,-0.024978,0.930051,0.115445,0.347927,1.275122,94.508949,15.937222,-0.016996,0.938245,0.028797,0.344351,-1.478715,115.621605,20.223606,0.105413,0.939672,-0.169999,0.277498,-2.695062,139.084427,21.219082,0.080451,0.954464,-0.216617,0.188689,2.685852,152.28511,15.723588,-0.077529,0.863311,0.128655,0.481801,-5.870415,133.602432,18.969723,0.405944,-0.565864,0.089673,-0.712015,-14.571592,133.43808,4.817034,0.216277,0.160019,-0.507338,-0.818674,-5.813076,118.468452,-13.872282,0.354196,0.248536,-0.508379,-0.744531,4.890326,140.66185,-12.822763,-0.122854,0.955158,0.095586,0.251881,0.085835,133.696671,24.026459,0.316002,0.902359,0.031947,-0.291326,14.090482,136.795868,32.411022,-0.043402,0.282513,0.398073,-0.871688,30.167412,122.729744,18.490952,-0.132789,0.028777,0.731604,-0.668053,17.591265,139.992416,7.487899,0.025322,0.888329,0.189959,0.417307,-5.676754,86.82148,8.698862,0.150979,0.958134,-0.064984,0.23444,-1.474458,52.532803,-4.572731,-0.030551,0.950479,0.025664,0.308217,-16.843546,7.069266,-1.990141,-0.099798,0.875442,0.021877,0.472402,8.51545,86.200981,22.131977,0.017078,0.826178,-0.231969,0.513156,15.746776,49.966698,24.203833,0.018907,0.838757,0.060929,0.540756,2.948645,7.106462,41.782795,-0.030551,0.950479,0.025664,0.308217,-7.805567,1.726867,-14.03863,0.018907,0.838757,0.060929,0.540756,16.501198,2.002923,35.024506
2,0.016667,0.003205,0.928285,0.034411,0.370261,1.417859,86.3862,15.428432,-0.024814,0.930052,0.115144,0.348038,1.261293,94.38308,15.959567,-0.016757,0.938228,0.028127,0.344464,-1.482731,115.505508,20.237432,0.105394,0.939605,-0.170295,0.27755,-2.677805,138.970505,21.207071,0.080343,0.954633,-0.215731,0.188896,2.705113,152.167221,15.704021,-0.077405,0.863189,0.127861,0.48225,-5.857656,133.488968,18.96294,0.407228,-0.565699,0.089499,-0.711435,-14.545067,133.317703,4.801881,0.217356,0.159602,-0.507279,-0.818506,-5.77545,118.323448,-13.862465,0.354421,0.247866,-0.508863,-0.744316,4.936031,140.511398,-12.857585,-0.12262,0.955315,0.09518,0.25155,0.097499,133.583252,24.020964,0.315839,0.9025,0.03256,-0.290999,14.10959,136.680099,32.393948,-0.04395,0.282679,0.398088,-0.8716,30.201477,122.627762,18.477242,-0.133412,0.028848,0.731391,-0.668159,17.630737,139.896744,7.479219,0.024427,0.887813,0.193032,0.417049,-5.677225,86.693474,8.710662,0.152093,0.957932,-0.066838,0.234023,-1.323944,52.488613,-4.727509,-0.030448,0.95057,0.025262,0.307978,-16.831774,7.081017,-1.994531,-0.100941,0.875108,0.024787,0.472634,8.512942,86.078934,22.146204,0.017703,0.825245,-0.234201,0.513621,15.917932,49.87167,24.071827,0.019175,0.838504,0.060677,0.541167,2.951273,7.113523,41.775452,-0.030448,0.95057,0.025262,0.307978,-7.802034,1.725998,-14.043591,0.019175,0.838504,0.060677,0.541167,16.50606,1.998604,35.030251
3,0.025,0.002466,0.928334,0.035117,0.370077,1.430207,86.252853,15.451479,-0.024983,0.930059,0.114852,0.348103,1.258559,94.249008,15.988758,-0.016412,0.938206,0.027405,0.344599,-1.489618,115.384697,20.254377,0.10621,0.93937,-0.17071,0.27778,-2.657923,138.852112,21.197641,0.079444,0.954931,-0.214625,0.189027,2.75204,152.036972,15.692652,-0.077703,0.862794,0.126974,0.483141,-5.843477,133.371765,18.958725,0.407131,-0.565663,0.090429,-0.711402,-14.500766,133.182526,4.779455,0.217503,0.158844,-0.507322,-0.818588,-5.737559,118.158218,-13.863741,0.354744,0.247008,-0.508839,-0.744464,4.985335,140.346375,-12.892817,-0.122159,0.955449,0.095091,0.251301,0.110406,133.464813,24.018272,0.315333,0.902683,0.033139,-0.290912,14.130407,136.549103,32.382656,-0.044452,0.282816,0.398013,-0.871565,30.241144,122.525536,18.458725,-0.13375,0.02883,0.731592,-0.667873,17.67145,139.797562,7.465084,0.023692,0.887469,0.196492,0.416208,-5.667636,86.551704,8.73624,0.153151,0.957666,-0.068944,0.233813,-1.170918,52.443981,-4.900144,-0.03017,0.950715,0.024745,0.307601,-16.818232,7.094913,-1.995704,-0.101958,0.87438,0.027856,0.47359,8.52805,85.95401,22.166718,0.018393,0.82432,-0.236526,0.514018,16.102806,49.773987,23.937849,0.019354,0.838446,0.060464,0.541275,2.959208,7.123428,41.770069,-0.03017,0.950715,0.024745,0.307601,-7.802487,1.722181,-14.047365,0.019354,0.838446,0.060464,0.541275,16.512638,2.00002,35.028587
4,0.033333,0.001838,0.92827,0.036485,0.370108,1.435367,86.108643,15.45306,-0.024951,0.930019,0.114487,0.348332,1.246232,94.103271,16.006929,-0.015877,0.938141,0.026913,0.344841,-1.499325,115.266525,20.262629,0.107139,0.939143,-0.171014,0.278003,-2.636347,138.736008,21.192581,0.078474,0.955202,-0.213829,0.188965,2.802869,151.909622,15.689529,-0.078187,0.862589,0.126055,0.483671,-5.828222,133.258759,18.955091,0.40746,-0.56554,0.090806,-0.711263,-14.466004,133.04364,4.764302,0.217934,0.157956,-0.507338,-0.818635,-5.699179,117.999336,-13.861058,0.35492,0.246066,-0.50875,-0.744753,5.035541,140.180649,-12.936713,-0.121286,0.955634,0.095097,0.251019,0.123322,133.346497,24.017483,0.315083,0.902762,0.033865,-0.290854,14.155104,136.404663,32.371693,-0.045368,0.283298,0.398154,-0.871297,30.275608,122.401985,18.438036,-0.134892,0.029019,0.731474,-0.667764,17.723375,139.689713,7.444779,0.022848,0.88705,0.199798,0.415573,-5.662067,86.406006,8.737327,0.154224,0.957482,-0.071092,0.233217,-1.016701,52.392342,-5.082916,-0.029659,0.950816,0.024535,0.307356,-16.804201,7.103867,-1.997284,-0.103362,0.873691,0.030836,0.474372,8.532802,85.811279,22.168795,0.019308,0.823711,-0.238948,0.513839,16.299385,49.665539,23.803858,0.018411,0.83859,0.059822,0.541156,2.96884,7.129014,41.769173,-0.029659,0.950816,0.024535,0.307356,-7.800881,1.720012,-14.053266,0.018411,0.83859,0.059822,0.541156,16.525124,2.003672,35.034904
5,0.041667,0.001082,0.928331,0.037318,0.369876,1.437285,85.957062,15.467387,-0.025668,0.930014,0.114638,0.348243,1.232094,93.950737,16.029211,-0.014936,0.938221,0.025829,0.344748,-1.546415,115.126755,20.283442,0.106955,0.939151,-0.171042,0.278029,-2.624264,138.600296,21.181007,0.078447,0.955262,-0.2131,0.189498,2.810333,151.774902,15.675757,-0.078251,0.862197,0.124975,0.484638,-5.83044,133.12796,18.951923,0.408646,-0.565514,0.090371,-0.710659,-14.436772,132.898666,4.742257,0.218969,0.157492,-0.506982,-0.818669,-5.664447,117.839287,-13.868313,0.355019,0.245076,-0.508373,-0.745289,5.093571,140.006561,-12.984599,-0.120999,0.955806,0.094996,0.25054,0.122565,133.207794,24.012732,0.314485,0.903063,0.034691,-0.29047,14.164634,136.259888,32.351868,-0.046306,0.283825,0.39791,-0.871187,30.315742,122.291527,18.419228,-0.136076,0.029407,0.731479,-0.667501,17.768898,139.58046,7.423078,0.021757,0.886885,0.203408,0.414231,-5.663558,86.246567,8.754912,0.155393,0.957356,-0.073185,0.232305,-0.855476,52.337051,-5.264194,-0.029431,0.950933,0.024241,0.307038,-16.789249,7.112413,-1.999395,-0.104687,0.872933,0.033885,0.475269,8.538127,85.667557,22.179863,0.020548,0.823626,-0.241348,0.512805,16.493814,49.55682,23.673134,0.018567,0.838538,0.059598,0.541256,2.97073,7.13585,41.76733,-0.029431,0.950933,0.024241,0.307038,-7.797276,1.717773,-14.059022,0.018567,0.838538,0.059598,0.541256,16.525667,2.002085,35.036762
6,0.05,0.000402,0.928308,0.038078,0.369857,1.431022,85.799957,15.480609,-0.025372,0.930008,0.114161,0.348437,1.211217,93.792732,16.0497,-0.014578,0.938152,0.025353,0.344986,-1.550843,114.988091,20.291634,0.107264,0.938975,-0.171308,0.278343,-2.605411,138.463272,21.173733,0.077798,0.955457,-0.212063,0.189945,2.841909,151.63179,15.666495,-0.078287,0.86194,0.124284,0.485268,-5.81602,132.992767,18.94656,0.408313,-0.565225,0.091266,-0.710966,-14.40185,132.754593,4.72465,0.218992,0.156117,-0.507003,-0.818913,-5.621152,117.676964,-13.86718,0.354971,0.243757,-0.508235,-0.745839,5.157041,139.836456,-13.037905,-0.12063,0.955906,0.09498,0.25034,0.134577,133.069809,24.010237,0.313881,0.903279,0.035223,-0.290388,14.18293,136.111359,32.342632,-0.047671,0.284737,0.397506,-0.871,30.355803,122.175087,18.403097,-0.137942,0.030401,0.730853,-0.667759,17.816669,139.46666,7.394992,0.020608,0.886736,0.207064,0.412795,-5.670107,86.082603,8.76815,0.156544,0.957173,-0.075354,0.231592,-0.696334,52.280544,-5.451219,-0.029168,0.951046,0.0239,0.306741,-16.776562,7.121399,-2.003107,-0.106386,0.872515,0.036838,0.475439,8.532151,85.517311,22.193068,0.021844,0.823325,-0.243634,0.512153,16.698608,49.448566,23.55776,0.018262,0.838551,0.059218,0.541287,2.976096,7.13945,41.763351,-0.029168,0.951046,0.0239,0.306741,-7.795936,1.714288,-14.065598,0.018262,0.838551,0.059218,0.541287,16.531946,2.000481,35.038609
7,0.058333,-0.000461,0.928307,0.039077,0.369755,1.441177,85.650658,15.490196,-0.025782,0.930034,0.113987,0.348395,1.202676,93.642197,16.069035,-0.013962,0.938205,0.024627,0.344921,-1.575487,114.856247,20.301432,0.107018,0.938986,-0.171403,0.27834,-2.591043,138.333969,21.161621,0.077876,0.955531,-0.211281,0.190409,2.850239,151.502991,15.649648,-0.078469,0.861555,0.123799,0.486045,-5.811083,132.866684,18.940138,0.408379,-0.565073,0.091805,-0.710979,-14.370897,132.619675,4.702696,0.219375,0.154961,-0.506708,-0.819212,-5.586496,117.523697,-13.872488,0.354956,0.242384,-0.507802,-0.746588,5.223295,139.667358,-13.094063,-0.120045,0.956066,0.095025,0.249996,0.140497,132.938629,24.002737,0.313356,0.90351,0.036164,-0.29012,14.199265,135.962936,32.323845,-0.048725,0.285422,0.39742,-0.870757,30.39686,122.060585,18.379145,-0.13936,0.030684,0.730647,-0.667676,17.872398,139.361038,7.364987,0.019622,0.886853,0.210445,0.410876,-5.661429,85.924789,8.778942,0.157585,0.956897,-0.077495,0.231322,-0.549635,52.224289,-5.631257,-0.028874,0.951145,0.023665,0.30648,-16.767082,7.128021,-2.007318,-0.107793,0.871907,0.039722,0.476006,8.543782,85.376526,22.201452,0.023051,0.822928,-0.24597,0.511623,16.899426,49.346432,23.435743,0.018565,0.838466,0.058912,0.541442,2.979822,7.152429,41.758472,-0.028874,0.951145,0.023665,0.30648,-7.796935,1.711213,-14.073257,0.018565,0.838466,0.058912,0.541442,16.533283,2.000585,35.038765
8,0.066667,-0.00113,0.928314,0.039802,0.369659,1.43689,85.494972,15.502578,-0.025817,0.930041,0.113622,0.348494,1.184198,93.485573,16.088243,-0.013421,0.938183,0.024054,0.345041,-1.592752,114.721504,20.308886,0.108239,0.938755,-0.171386,0.278657,-2.575263,138.201218,21.152466,0.076844,0.955777,-0.210499,0.190463,2.901599,151.361221,15.65418,-0.078099,0.861346,0.123062,0.486662,-5.802531,132.736969,18.934055,0.408739,-0.564977,0.091844,-0.710843,-14.344303,132.491714,4.685757,0.219971,0.153973,-0.506245,-0.819525,-5.554735,117.386589,-13.879546,0.354821,0.241177,-0.50718,-0.747465,5.29006,139.506775,-13.148721,-0.119857,0.956186,0.095059,0.249612,0.147984,132.804031,23.997972,0.312547,0.903864,0.036872,-0.289801,14.214611,135.823776,32.307438,-0.049812,0.286155,0.397002,-0.870646,30.447441,121.962914,18.362404,-0.140763,0.031072,0.730409,-0.667625,17.927485,139.259964,7.339123,0.018422,0.88706,0.21391,0.40869,-5.667086,85.762131,8.792494,0.158639,0.956764,-0.079539,0.230457,-0.406071,52.167076,-5.808946,-0.028443,0.951244,0.023535,0.306222,-16.757282,7.133701,-2.008245,-0.109474,0.871569,0.042431,0.476007,8.540866,85.227814,22.212664,0.024194,0.822329,-0.24818,0.511465,17.097683,49.241215,23.332382,0.018721,0.838433,0.058799,0.5415,2.984175,7.157376,41.75985,-0.028443,0.951244,0.023535,0.306222,-7.798792,1.708862,-14.079239,0.018721,0.838433,0.058799,0.5415,16.536369,2.000101,35.041748
9,0.075,-0.001984,0.928287,0.040389,0.369661,1.444791,85.349091,15.510523,-0.025743,0.929994,0.11349,0.348667,1.175905,93.338898,16.09985,-0.013422,0.938099,0.023479,0.34531,-1.597411,114.580704,20.316704,0.1085,0.938632,-0.171275,0.279039,-2.570872,138.061707,21.134617,0.076635,0.955917,-0.209513,0.19093,2.915209,151.221191,15.644266,-0.077716,0.86102,0.122609,0.487413,-5.799076,132.596405,18.920177,0.407799,-0.564802,0.092649,-0.711418,-14.318533,132.358688,4.658391,0.219689,0.152855,-0.505843,-0.820058,-5.526429,117.252419,-13.904791,0.354692,0.23988,-0.506752,-0.748233,5.357388,139.359589,-13.203565,-0.11968,0.956282,0.094992,0.249355,0.148535,132.666458,23.987467,0.311842,0.904133,0.037409,-0.289651,14.220832,135.682343,32.288734,-0.051253,0.28694,0.396863,-0.870367,30.480564,121.857361,18.339422,-0.142175,0.031385,0.729896,-0.667872,17.975805,139.16655,7.313309,0.017583,0.887259,0.217101,0.406607,-5.659111,85.604988,8.799917,0.15953,0.956554,-0.081592,0.229996,-0.280213,52.109497,-5.986145,-0.028475,0.95131,0.023434,0.306023,-16.75194,7.135147,-2.010957,-0.111142,0.871266,0.044876,0.47595,8.548693,85.093185,22.22113,0.025403,0.821717,-0.250242,0.511386,17.296612,49.149635,23.242485,0.018906,0.838378,0.058478,0.541613,2.989595,7.170343,41.758987,-0.028475,0.95131,0.023434,0.306023,-7.798393,1.707613,-14.084414,0.018906,0.838378,0.058478,0.541613,16.539768,2.001698,35.04554
