Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.006652,0.922945,0.012407,0.384674,0.920393,84.331215,15.517898,-0.002451,0.928579,0.054634,0.367083,0.942311,92.344055,15.742501,0.011319,0.932057,-0.025725,0.36122,-0.040629,114.221176,17.935987,0.152103,0.924188,-0.210751,0.279866,0.892574,137.699432,17.000635,0.090927,0.953274,-0.235285,0.166258,7.825974,149.876495,10.912949,-0.054887,0.860538,0.061609,0.502659,-2.703103,132.356293,15.072763,0.416247,-0.563357,0.161254,-0.695244,-10.821587,131.815872,0.587112,0.276427,0.146905,-0.476181,-0.821741,-2.834643,114.141083,-15.962879,0.42425,0.212464,-0.50696,-0.719627,9.567062,135.424423,-16.500561,-0.093839,0.957759,0.041486,0.268645,3.069651,132.336639,20.338814,0.365121,0.895135,0.015184,-0.255322,16.993269,134.952728,29.017803,0.004062,0.318491,0.430204,-0.844673,32.36776,118.484009,17.080555,-0.109398,0.071579,0.786183,-0.604007,22.112242,135.877899,4.073426,-0.002511,0.87685,0.241197,0.415874,-5.961296,84.544563,8.578166,0.168205,0.947486,-0.083195,0.25895,1.625804,51.84399,-6.997979,-0.02013,0.940474,0.024729,0.338365,-15.763945,7.16832,-3.607875,-0.12131,0.866592,0.075409,0.478137,7.802083,84.117867,22.45763,0.029029,0.816938,-0.272315,0.507557,18.25152,48.621082,21.913931,0.012575,0.84593,0.033524,0.532091,2.686589,7.769486,41.881199,-0.02013,0.940474,0.024729,0.338365,-6.099092,1.708885,-15.10472,0.012575,0.84593,0.033524,0.532091,15.990835,2.067074,35.10833
1,0.008333,0.006437,0.922844,0.012954,0.384901,0.933489,84.18959,15.506453,-0.002682,0.928448,0.055186,0.367331,0.948784,92.202255,15.73782,0.01162,0.931953,-0.025768,0.361475,-0.05382,114.092216,17.951376,0.151939,0.924035,-0.211269,0.280068,0.89356,137.570053,17.01948,0.090875,0.953221,-0.235161,0.166768,7.827766,149.740295,10.919102,-0.05504,0.859982,0.062431,0.503492,-2.704136,132.229233,15.088911,0.415243,-0.562882,0.160618,-0.696376,-10.794218,131.700897,0.586925,0.275214,0.147269,-0.476334,-0.821995,-2.769548,114.078308,-16.000444,0.423089,0.213047,-0.506807,-0.720245,9.619397,135.369324,-16.495142,-0.093468,0.957851,0.042276,0.268324,3.065636,132.205566,20.358217,0.364298,0.895267,0.016595,-0.255946,16.997299,134.803543,29.029751,0.002538,0.318293,0.430132,-0.84479,32.38612,118.388794,17.036751,-0.111057,0.070687,0.785662,-0.604487,22.121822,135.805115,4.06771,-0.003274,0.87685,0.243467,0.414546,-5.944837,84.403198,8.563391,0.169077,0.947317,-0.084547,0.258565,1.737689,51.784359,-7.136877,-0.01881,0.940169,0.025713,0.339216,-15.759243,7.158756,-3.640458,-0.122437,0.866345,0.076604,0.478109,7.811814,83.975975,22.449514,0.029896,0.81674,-0.273675,0.507094,18.373386,48.512959,21.870153,0.013107,0.845906,0.035011,0.532021,2.68676,7.737663,41.89806,-0.01881,0.940169,0.025713,0.339216,-6.0849,1.71358,-15.13609,0.013107,0.845906,0.035011,0.532021,15.994295,2.065306,35.106422
2,0.016667,0.006362,0.922678,0.013927,0.385268,0.949356,84.074921,15.485546,-0.002612,0.928329,0.055568,0.367575,0.957445,92.087189,15.730861,0.011785,0.931884,-0.025414,0.361674,-0.049032,113.97419,17.960733,0.152692,0.923749,-0.211777,0.280219,0.89977,137.452698,17.047388,0.090128,0.953254,-0.235492,0.166514,7.858312,149.606979,10.942883,-0.055347,0.859463,0.063482,0.504213,-2.697308,132.113525,15.111117,0.413894,-0.562643,0.159806,-0.697558,-10.762104,131.596497,0.594647,0.273723,0.147828,-0.476394,-0.822357,-2.710448,114.03688,-16.046343,0.421976,0.213734,-0.506689,-0.720778,9.668433,135.337112,-16.481581,-0.093511,0.957886,0.042847,0.268094,3.070148,132.085541,20.382935,0.363822,0.89526,0.018225,-0.256538,17.005632,134.680222,29.049307,0.001569,0.317897,0.430245,-0.844883,32.396687,118.309212,16.999525,-0.112136,0.069997,0.784981,-0.605252,22.126917,135.743607,4.067575,-0.003792,0.876634,0.245043,0.414068,-5.92346,84.294601,8.537221,0.169855,0.947171,-0.085814,0.258172,1.832349,51.73304,-7.245696,-0.018922,0.94015,0.025727,0.339262,-15.761298,7.153535,-3.648041,-0.123383,0.866012,0.077608,0.478306,7.822174,83.85524,22.43387,0.030629,0.816538,-0.274859,0.506735,18.478056,48.420902,21.827349,0.011942,0.846024,0.035337,0.531838,2.686275,7.71229,41.908188,-0.018922,0.94015,0.025727,0.339262,-6.084544,1.709944,-15.142391,0.011942,0.846024,0.035337,0.531838,16.004673,2.066287,35.115891
3,0.025,0.006154,0.922574,0.014638,0.385492,0.977773,83.975517,15.463436,-0.003064,0.928233,0.056083,0.367734,0.978325,91.987495,15.717978,0.012098,0.931836,-0.025,0.361815,-0.055854,113.882889,17.962446,0.151712,0.923678,-0.212855,0.28017,0.899748,137.362015,17.072668,0.090526,0.95308,-0.235449,0.167354,7.83927,149.508743,10.931592,-0.056011,0.85894,0.064505,0.504899,-2.698185,132.025772,15.129948,0.412323,-0.56231,0.159108,-0.698915,-10.737512,131.509323,0.599337,0.272069,0.148601,-0.476443,-0.822739,-2.655385,114.015617,-16.096197,0.4208,0.214583,-0.506646,-0.721243,9.711592,135.328003,-16.459192,-0.093383,0.957955,0.044051,0.267697,3.067563,131.990952,20.403593,0.363185,0.895263,0.018859,-0.257382,17.010918,134.571625,29.061491,0.000348,0.317484,0.430254,-0.845036,32.403484,118.238739,16.961985,-0.11309,0.069084,0.784784,-0.605435,22.121113,135.695892,4.069286,-0.004152,0.876515,0.246348,0.413542,-5.891721,84.196838,8.511879,0.170511,0.946903,-0.087053,0.258306,1.917779,51.682961,-7.342686,-0.019011,0.940133,0.025877,0.339292,-15.763063,7.145506,-3.652886,-0.123952,0.865851,0.07826,0.478345,7.847267,83.754196,22.414993,0.031254,0.816481,-0.275908,0.506218,18.561449,48.337795,21.788103,0.011699,0.846113,0.035949,0.531662,2.683414,7.688418,41.920876,-0.019011,0.940133,0.025877,0.339292,-6.08409,1.707083,-15.147818,0.011699,0.846113,0.035949,0.531662,16.005436,2.06204,35.119404
4,0.033333,0.006049,0.922488,0.015096,0.385683,1.006394,83.90432,15.437633,-0.002975,0.928188,0.056704,0.367755,1.00251,91.9161,15.698296,0.011886,0.931854,-0.024606,0.361803,-0.037666,113.797722,17.968391,0.151342,0.923642,-0.213408,0.280069,0.901935,137.278015,17.09226,0.09077,0.952961,-0.235746,0.167483,7.834552,149.419495,10.933027,-0.055731,0.858629,0.065827,0.505289,-2.692437,131.94046,15.146558,0.411192,-0.56202,0.158261,-0.700006,-10.719725,131.455643,0.6082,0.271042,0.149552,-0.476372,-0.822946,-2.607286,114.021774,-16.135189,0.420087,0.21582,-0.506558,-0.721351,9.747895,135.339417,-16.433018,-0.093347,0.957939,0.044227,0.267737,3.073521,131.906494,20.419981,0.362912,0.895074,0.019301,-0.258389,17.016386,134.484344,29.079506,-0.000507,0.317016,0.43057,-0.845051,32.392563,118.17421,16.928593,-0.113649,0.068095,0.784749,-0.605489,22.108603,135.65802,4.071952,-0.004426,0.876291,0.247207,0.413502,-5.860258,84.127251,8.483316,0.171132,0.946733,-0.087936,0.258221,1.992509,51.644897,-7.414464,-0.019428,0.940129,0.025684,0.339295,-15.763288,7.142696,-3.659752,-0.124347,0.865764,0.078624,0.478339,7.873045,83.681396,22.391949,0.031702,0.816409,-0.2767,0.505875,18.624601,48.276478,21.756191,0.011788,0.846134,0.036401,0.531595,2.68224,7.671857,41.928406,-0.019428,0.940129,0.025684,0.339295,-6.080338,1.703171,-15.150812,0.011788,0.846134,0.036401,0.531595,16.005251,2.055788,35.12035
5,0.041667,0.005844,0.922409,0.015471,0.385861,1.039243,83.857307,15.410744,-0.003245,0.92817,0.057196,0.36772,1.029949,91.86895,15.675686,0.012259,0.931905,-0.024033,0.361697,-0.028821,113.741394,17.960808,0.151736,0.923557,-0.213708,0.279905,0.917296,137.22258,17.116013,0.090385,0.952862,-0.236587,0.167067,7.86086,149.355194,10.951663,-0.055559,0.858501,0.067026,0.505368,-2.678993,131.888657,15.163879,0.41014,-0.561772,0.157459,-0.701002,-10.704258,131.429276,0.623582,0.270044,0.15058,-0.476334,-0.823109,-2.564675,114.051392,-16.164749,0.419452,0.217063,-0.506148,-0.721636,9.775548,135.374954,-16.395706,-0.093614,0.957903,0.044396,0.267745,3.088028,131.845978,20.436073,0.362918,0.894786,0.019431,-0.259369,17.029076,134.430725,29.096466,-0.000803,0.316451,0.430835,-0.845127,32.379169,118.128334,16.902252,-0.113942,0.067111,0.784781,-0.605501,22.089445,135.628235,4.07405,-0.004445,0.875953,0.247729,0.413904,-5.824762,84.079407,8.45379,0.17158,0.946493,-0.088721,0.258535,2.052495,51.616203,-7.470944,-0.019312,0.940131,0.025646,0.339299,-15.762266,7.142094,-3.66313,-0.124444,0.865814,0.078776,0.478199,7.903248,83.635208,22.367699,0.031763,0.816056,-0.277344,0.506086,18.666019,48.233849,21.724041,0.012602,0.846081,0.036908,0.531625,2.682975,7.663932,41.933846,-0.019312,0.940131,0.025646,0.339299,-6.080619,1.7003,-15.15421,0.012602,0.846081,0.036908,0.531625,16.001657,2.048422,35.116871
6,0.05,0.005708,0.922366,0.015838,0.385951,1.075677,83.842766,15.38215,-0.00326,0.928166,0.057841,0.36763,1.06209,91.854248,15.651676,0.012065,0.931966,-0.023636,0.361572,-0.007776,113.729332,17.963526,0.151451,0.923623,-0.213841,0.279741,0.922973,137.211639,17.132687,0.090837,0.952519,-0.237991,0.166782,7.858578,149.345016,10.960891,-0.05572,0.858382,0.068031,0.505419,-2.670416,131.876572,15.178315,0.409257,-0.561507,0.156773,-0.701884,-10.693382,131.429825,0.636359,0.269249,0.151749,-0.476302,-0.823173,-2.527628,114.100243,-16.189146,0.418868,0.218663,-0.50579,-0.721743,9.797316,135.434753,-16.35313,-0.093509,0.957907,0.044986,0.267667,3.098085,131.834412,20.448895,0.363446,0.894352,0.019671,-0.260103,17.041182,134.41069,29.108507,-0.000416,0.315554,0.43147,-0.845138,32.352245,118.096115,16.881557,-0.113341,0.06631,0.785128,-0.605253,22.062891,135.613922,4.083192,-0.004553,0.875794,0.247894,0.41414,-5.787004,84.065224,8.423904,0.171975,0.946323,-0.089256,0.25871,2.106598,51.608158,-7.505254,-0.018942,0.940201,0.025271,0.339153,-15.75604,7.156217,-3.66298,-0.124331,0.865885,0.07878,0.478099,7.938358,83.620308,22.340397,0.031776,0.815872,-0.277824,0.506119,18.694071,48.2169,21.691154,0.011709,0.846167,0.036353,0.531547,2.68639,7.672638,41.932922,-0.018942,0.940201,0.025271,0.339153,-6.083302,1.699943,-15.154696,0.011709,0.846167,0.036353,0.531547,16.009119,2.056603,35.124298
7,0.058333,0.005662,0.922285,0.016106,0.386134,1.11084,83.858452,15.351011,-0.003425,0.928151,0.058342,0.367586,1.094859,91.869804,15.624205,0.012212,0.932025,-0.022998,0.361458,0.010107,113.745026,17.954121,0.150406,0.923818,-0.214298,0.279313,0.936365,137.228531,17.153637,0.091731,0.952129,-0.239258,0.166706,7.843945,149.365158,10.95681,-0.055955,0.858375,0.068901,0.505286,-2.656504,131.89537,15.193161,0.408533,-0.561329,0.156017,-0.702616,-10.683075,131.456253,0.652961,0.268494,0.153053,-0.476331,-0.823161,-2.495063,114.172379,-16.208696,0.418362,0.22028,-0.505512,-0.721739,9.810411,135.521973,-16.302565,-0.09327,0.957894,0.045222,0.26776,3.113236,131.847412,20.462332,0.363998,0.893924,0.019801,-0.260795,17.056154,134.413834,29.125166,0.000451,0.314501,0.432024,-0.845248,32.328362,118.084465,16.869417,-0.112231,0.065555,0.785667,-0.604842,22.030355,135.613571,4.094389,-0.004379,0.875493,0.247561,0.414978,-5.749081,84.082146,8.390084,0.172176,0.94622,-0.089501,0.258866,2.138285,51.612728,-7.516976,-0.018636,0.940263,0.024924,0.339023,-15.748451,7.171681,-3.660841,-0.124085,0.866039,0.078522,0.477926,7.970761,83.634766,22.311937,0.031696,0.815826,-0.278067,0.506066,18.702057,48.223854,21.668037,0.013176,0.846092,0.036345,0.531633,2.690379,7.692111,41.93169,-0.018636,0.940263,0.024924,0.339023,-6.083438,1.702389,-15.152867,0.013176,0.846092,0.036345,0.531633,15.999842,2.05334,35.115921
8,0.066667,0.00557,0.922269,0.016362,0.386162,1.153634,83.902115,15.318229,-0.003559,0.928154,0.05884,0.367498,1.134699,91.913345,15.594644,0.012228,0.932084,-0.022352,0.361344,0.036669,113.785049,17.942684,0.150053,0.923929,-0.214545,0.278945,0.952548,137.269943,17.170671,0.092189,0.951828,-0.240652,0.166168,7.849406,149.406174,10.961163,-0.056105,0.858492,0.069905,0.504933,-2.638473,131.937607,15.204534,0.407559,-0.561049,0.155805,-0.703452,-10.676321,131.510025,0.670221,0.267528,0.154083,-0.476455,-0.823212,-2.468923,114.260742,-16.217436,0.417833,0.221486,-0.505118,-0.721953,9.815657,135.623718,-16.248085,-0.093114,0.957819,0.045538,0.268029,3.132541,131.885712,20.472273,0.364623,0.893446,0.019321,-0.261593,17.071646,134.443695,29.143732,0.001462,0.313576,0.432542,-0.845326,32.299374,118.089127,16.866255,-0.110743,0.065018,0.786161,-0.604532,21.994505,135.626373,4.106097,-0.004104,0.87532,0.24678,0.41581,-5.705882,84.126091,8.35691,0.172277,0.946204,-0.089439,0.258879,2.154764,51.62793,-7.504607,-0.018422,0.940338,0.024457,0.338861,-15.739477,7.189167,-3.656996,-0.123613,0.866332,0.077926,0.477616,8.01315,83.678139,22.279545,0.031533,0.815818,-0.278067,0.506088,18.693981,48.251663,21.65262,0.012232,0.846137,0.035252,0.531657,2.694526,7.718924,41.923939,-0.018422,0.940338,0.024457,0.338861,-6.082384,1.704448,-15.14833,0.012232,0.846137,0.035252,0.531657,16.00667,2.066492,35.124733
9,0.075,0.005508,0.922277,0.01683,0.386125,1.198895,83.970398,15.283259,-0.003824,0.928195,0.059224,0.367331,1.176158,91.981392,15.566198,0.012271,0.932176,-0.021739,0.361145,0.061701,113.847092,17.925354,0.149888,0.924006,-0.214742,0.278626,0.968914,137.333191,17.180702,0.092361,0.951549,-0.242046,0.165644,7.860053,149.467941,10.961954,-0.055587,0.858935,0.07034,0.504176,-2.621042,132.001923,15.209779,0.407275,-0.56065,0.155382,-0.704028,-10.68621,131.593796,0.690046,0.267104,0.155213,-0.476479,-0.823124,-2.449277,114.371552,-16.210808,0.41714,0.222844,-0.504976,-0.722035,9.81701,135.745178,-16.186642,-0.093243,0.957739,0.04577,0.26823,3.152212,131.945847,20.475021,0.365969,0.893046,0.018948,-0.261108,17.086943,134.505295,29.153072,0.003447,0.312888,0.433115,-0.845281,32.277454,118.091431,16.908663,-0.109197,0.064635,0.786789,-0.604038,21.95853,135.650574,4.114363,-0.003649,0.875168,0.245548,0.416862,-5.661204,84.19677,8.322595,0.172276,0.94627,-0.089057,0.258773,2.151177,51.653481,-7.470089,-0.018089,0.940394,0.023974,0.33876,-15.733615,7.208118,-3.654861,-0.122963,0.866653,0.077092,0.477336,8.058993,83.744026,22.243925,0.031346,0.816059,-0.277907,0.505799,18.669945,48.296108,21.643126,0.013541,0.846073,0.034686,0.531765,2.699919,7.753709,41.918339,-0.018089,0.940394,0.023974,0.33876,-6.084347,1.7063,-15.144592,0.013541,0.846073,0.034686,0.531765,15.99703,2.06665,35.118591
