Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.034401,0.910523,0.006672,0.41197,-4.166623,88.636848,12.719881,-0.012242,0.913754,0.123162,0.386957,-3.708514,96.633186,13.044487,-0.004376,0.924258,0.009819,0.381616,-6.291777,117.910538,17.776974,0.132243,0.933049,-0.175834,0.284628,-6.658226,141.420517,18.125271,0.088239,0.9611,-0.206979,0.160188,-0.45478,154.317123,12.776685,-0.085168,0.858832,0.092355,0.496613,-9.85951,136.003738,15.757788,0.431131,-0.542293,0.12387,-0.710423,-18.037806,135.097229,1.324156,0.291989,0.166988,-0.492079,-0.802942,-8.319695,118.687477,-15.598313,0.446028,0.24959,-0.496148,-0.701855,3.014937,140.564423,-16.071474,-0.110728,0.943422,0.04935,0.308641,-4.321835,136.008377,21.270544,0.402197,0.880535,-0.001485,-0.250786,8.719756,138.973419,31.12759,0.068531,0.357332,0.424401,-0.829157,22.760578,120.895042,19.897308,-0.098193,0.146965,0.776908,-0.604297,13.546035,136.591904,4.298122,0.039067,0.884737,0.065952,0.459744,-10.600897,89.303001,5.39053,0.074574,0.937069,-0.00435,0.341059,-10.914944,52.731037,-0.257549,-0.063782,0.939936,0.075127,0.326816,-17.774599,5.206913,-2.310495,-0.058738,0.866912,-0.110619,0.48247,2.267652,87.970703,20.049232,-0.06089,0.865005,-0.111489,0.485416,2.086336,52.124874,29.244429,-0.012047,0.855555,0.090162,0.509658,1.947069,5.615511,41.355236,-0.063782,0.939936,0.075127,0.326816,-7.832408,1.658403,-14.308542,-0.012047,0.855555,0.090162,0.509658,15.417892,1.808803,33.645626
1,0.008333,0.034422,0.910442,0.006794,0.412147,-4.180937,88.629303,12.73793,-0.012212,0.913774,0.123194,0.386901,-3.723403,96.625587,13.064544,-0.004358,0.924316,0.009763,0.381479,-6.305531,117.900993,17.798611,0.131852,0.933169,-0.175605,0.284559,-6.670143,141.411026,18.144825,0.087988,0.961153,-0.206794,0.160248,-0.479367,154.314453,12.797946,-0.085256,0.858959,0.092298,0.496389,-9.87253,135.994263,15.778798,0.430934,-0.542379,0.123625,-0.71052,-18.057728,135.083282,1.349358,0.291626,0.166887,-0.492227,-0.803004,-8.341254,118.685356,-15.58551,0.445739,0.249637,-0.496276,-0.701932,2.988436,140.566345,-16.055521,-0.110724,0.943497,0.04941,0.308403,-4.333215,135.999008,21.289909,0.402289,0.880683,-0.001888,-0.250117,8.713273,138.964005,31.140495,0.068733,0.35728,0.424201,-0.829265,22.767443,120.873413,19.946629,-0.097953,0.146891,0.776664,-0.604667,13.52568,136.590668,4.314919,0.039104,0.884634,0.066223,0.459901,-10.61233,89.296768,5.406167,0.074552,0.936993,-0.004426,0.341271,-10.918505,52.727665,-0.260806,-0.063634,0.939879,0.075348,0.326957,-17.778189,5.203286,-2.307752,-0.059288,0.867376,-0.110011,0.481707,2.250456,87.961838,20.069693,-0.060572,0.864988,-0.111909,0.48539,2.134377,52.110874,29.245907,-0.01211,0.855812,0.09046,0.509172,1.949328,5.606824,41.376488,-0.063634,0.939879,0.075348,0.326957,-7.833505,1.659764,-14.305215,-0.01211,0.855812,0.09046,0.509172,15.41361,1.809742,33.650711
2,0.016667,0.034323,0.910359,0.006857,0.412337,-4.195975,88.625862,12.757021,-0.012139,0.913772,0.123194,0.386908,-3.740353,96.622238,13.083991,-0.004297,0.924339,0.009808,0.381422,-6.319338,117.895699,17.818836,0.131653,0.933241,-0.175613,0.284409,-6.682075,141.405716,18.168133,0.087722,0.96126,-0.206532,0.160088,-0.497703,154.310852,12.818019,-0.085245,0.859028,0.092342,0.496263,-9.885184,135.989502,15.801809,0.43109,-0.542732,0.123124,-0.710242,-18.074614,135.078964,1.374741,0.291461,0.166932,-0.492261,-0.803034,-8.371371,118.688843,-15.575268,0.445485,0.24971,-0.496352,-0.702013,2.955872,140.571121,-16.039749,-0.110435,0.943638,0.049048,0.308132,-4.345172,135.993118,21.312222,0.401815,0.880591,-0.001369,-0.251202,8.709003,138.953705,31.153948,0.068294,0.356556,0.424278,-0.829573,22.754854,120.892807,19.901827,-0.098117,0.146257,0.777224,-0.604073,13.50596,136.604553,4.326969,0.039156,0.884448,0.066517,0.460212,-10.624442,89.292053,5.422575,0.074523,0.936856,-0.004538,0.341652,-10.921926,52.726139,-0.26544,-0.06371,0.939893,0.07542,0.326885,-17.781874,5.201444,-2.304079,-0.060044,0.867706,-0.10927,0.481188,2.232493,87.959671,20.091469,-0.059995,0.865303,-0.112408,0.484784,2.19705,52.103363,29.247417,-0.012165,0.855961,0.090742,0.50887,1.949083,5.603385,41.392445,-0.06371,0.939893,0.07542,0.326885,-7.838178,1.660811,-14.303213,-0.012165,0.855961,0.090742,0.50887,15.409857,1.815163,33.656208
3,0.025,0.034302,0.910302,0.007048,0.412462,-4.2119,88.623009,12.772611,-0.012607,0.913719,0.123004,0.387076,-3.75791,96.61937,13.102296,-0.003354,0.924316,0.010195,0.381478,-6.352446,117.887306,17.819639,0.131072,0.933412,-0.17583,0.283984,-6.681174,141.397293,18.202663,0.087436,0.961407,-0.206224,0.159762,-0.514034,154.304703,12.838161,-0.08531,0.859121,0.092428,0.496074,-9.891883,135.989136,15.828247,0.43096,-0.542983,0.123098,-0.710133,-18.087149,135.077301,1.404577,0.291166,0.166637,-0.492456,-0.803082,-8.397503,118.686852,-15.552891,0.445307,0.249671,-0.496556,-0.701996,2.925566,140.572266,-16.024305,-0.111092,0.943607,0.049459,0.307925,-4.352429,135.976807,21.339209,0.40176,0.880508,-0.001367,-0.251579,8.701144,138.95401,31.176716,0.068357,0.356451,0.424315,-0.829595,22.739563,120.897247,19.908709,-0.097994,0.146041,0.777266,-0.604092,13.490272,136.607269,4.339142,0.039222,0.884301,0.066668,0.460465,-10.638381,89.290329,5.436528,0.074428,0.93678,-0.004529,0.341883,-10.933368,52.72628,-0.263591,-0.063839,0.93988,0.075394,0.326903,-17.784065,5.200222,-2.301634,-0.060974,0.868095,-0.10852,0.480537,2.21458,87.955681,20.108694,-0.059116,0.866151,-0.113099,0.483215,2.272548,52.095604,29.2498,-0.01194,0.856087,0.090996,0.508618,1.941135,5.600524,41.411617,-0.063839,0.93988,0.075394,0.326903,-7.838816,1.660262,-14.299676,-0.01194,0.856087,0.090996,0.508618,15.396905,1.816089,33.664833
4,0.033333,0.034347,0.910237,0.00708,0.4126,-4.233285,88.622559,12.79003,-0.012012,0.913729,0.123252,0.386993,-3.778892,96.618858,13.120551,-0.004082,0.924339,0.009756,0.381426,-6.354425,117.893661,17.860001,0.131406,0.933363,-0.175636,0.284109,-6.706884,141.403809,18.210882,0.087096,0.961504,-0.206086,0.15954,-0.531196,154.310913,12.855497,-0.08519,0.859296,0.092163,0.495842,-9.912351,135.989151,15.84418,0.43134,-0.542908,0.122856,-0.710002,-18.115952,135.07518,1.425385,0.291276,0.166591,-0.492648,-0.802935,-8.419134,118.685463,-15.52869,0.445167,0.249712,-0.496729,-0.701948,2.894235,140.572876,-16.008509,-0.110407,0.94379,0.049305,0.307635,-4.372362,135.98996,21.354616,0.401649,0.880516,-0.001566,-0.251727,8.692181,138.94841,31.183212,0.068627,0.355924,0.424317,-0.829797,22.731356,120.893921,19.912529,-0.097634,0.145524,0.778038,-0.60328,13.462692,136.607773,4.352431,0.039256,0.884077,0.066815,0.460871,-10.657475,89.290924,5.452037,0.074293,0.936769,-0.004437,0.341942,-10.947059,52.728523,-0.258966,-0.063825,0.939846,0.075433,0.326996,-17.782452,5.200439,-2.301305,-0.061774,0.868062,-0.107591,0.480704,2.190903,87.954193,20.128023,-0.058563,0.866635,-0.113612,0.482293,2.33181,52.086544,29.238445,-0.011949,0.856159,0.09103,0.50849,1.943328,5.596408,41.41745,-0.063825,0.939846,0.075433,0.326996,-7.834958,1.661555,-14.297801,-0.011949,0.856159,0.09103,0.50849,15.397106,1.813177,33.666626
5,0.041667,0.034341,0.910241,0.007183,0.412591,-4.251433,88.624123,12.803965,-0.01186,0.913701,0.123434,0.387007,-3.797809,96.620415,13.135946,-0.004137,0.924323,0.009622,0.381468,-6.370023,117.89048,17.884497,0.131424,0.933402,-0.175713,0.283924,-6.722502,141.400726,18.228548,0.086844,0.961673,-0.205755,0.159085,-0.547173,154.306656,12.869888,-0.084912,0.859389,0.092195,0.495722,-9.927752,135.985382,15.863117,0.431578,-0.543057,0.122849,-0.709745,-18.136894,135.079239,1.446985,0.291329,0.166441,-0.492778,-0.802867,-8.448226,118.681526,-15.504022,0.445189,0.249561,-0.4969,-0.701867,2.859986,140.568207,-15.993386,-0.110384,0.943861,0.049249,0.307437,-4.388271,135.987793,21.374062,0.401638,0.880445,-0.001858,-0.251992,8.680498,138.946686,31.196903,0.068554,0.35593,0.424275,-0.829822,22.713324,120.890366,19.921204,-0.097608,0.145486,0.777958,-0.603397,13.443404,136.603851,4.362491,0.039216,0.883905,0.066957,0.461184,-10.675775,89.293221,5.466171,0.074217,0.936715,-0.004338,0.342107,-10.955791,52.732002,-0.252816,-0.063762,0.939874,0.075353,0.326945,-17.780756,5.202758,-2.302771,-0.06245,0.86794,-0.106783,0.481018,2.172907,87.955032,20.141758,-0.05804,0.86706,-0.114007,0.481498,2.38295,52.080772,29.2248,-0.01199,0.856146,0.090928,0.50853,1.943684,5.593401,41.412632,-0.063762,0.939874,0.075353,0.326945,-7.8352,1.660772,-14.299959,-0.01199,0.856146,0.090928,0.50853,15.398018,1.807985,33.663837
6,0.05,0.034254,0.910267,0.007314,0.412538,-4.26909,88.626831,12.818403,-0.012038,0.913695,0.123549,0.386978,-3.817574,96.623184,13.151685,-0.003772,0.924348,0.009561,0.381413,-6.399776,117.900398,17.903713,0.130445,0.933638,-0.175655,0.283637,-6.735273,141.410843,18.251698,0.087229,0.961629,-0.205796,0.159085,-0.588807,154.326447,12.883171,-0.084881,0.859584,0.091747,0.495472,-9.944727,135.998199,15.88578,0.432091,-0.54317,0.122537,-0.709401,-18.162266,135.084274,1.474924,0.291631,0.166322,-0.492868,-0.802726,-8.475925,118.683334,-15.474296,0.445325,0.249401,-0.49709,-0.701702,2.82814,140.567673,-15.978109,-0.110241,0.943947,0.049309,0.307212,-4.404542,135.995697,21.396019,0.40176,0.880332,-0.001846,-0.252192,8.669868,138.950165,31.212685,0.068749,0.355887,0.424355,-0.829784,22.692558,120.890823,19.929251,-0.09749,0.145494,0.778026,-0.603327,13.425711,136.601349,4.370816,0.039131,0.883803,0.06704,0.461375,-10.694404,89.295433,5.481417,0.074142,0.936828,-0.004132,0.341819,-10.964838,52.734547,-0.240149,-0.063918,0.939922,0.075109,0.326833,-17.777004,5.20407,-2.304083,-0.063082,0.867763,-0.106026,0.481422,2.156223,87.958229,20.155392,-0.057433,0.867553,-0.114375,0.480594,2.429887,52.077911,29.212782,-0.01226,0.856081,0.090622,0.508688,1.935649,5.591899,41.403667,-0.063918,0.939922,0.075109,0.326833,-7.833192,1.656552,-14.301087,-0.01226,0.856081,0.090622,0.508688,15.393494,1.802073,33.663132
7,0.058333,0.034181,0.910333,0.007477,0.412396,-4.289157,88.634781,12.834299,-0.011941,0.913735,0.123565,0.386883,-3.839733,96.631172,13.169408,-0.003657,0.924385,0.009567,0.381323,-6.417919,117.909111,17.924173,0.130487,0.933691,-0.175665,0.283436,-6.748458,141.419586,18.274502,0.086953,0.961726,-0.20575,0.158715,-0.602288,154.334717,12.904528,-0.084775,0.859685,0.091691,0.495326,-9.959502,136.007843,15.908689,0.43218,-0.543283,0.122784,-0.709216,-18.182442,135.095291,1.500823,0.291624,0.165995,-0.492974,-0.802732,-8.505455,118.681572,-15.441367,0.445161,0.249307,-0.497516,-0.701538,2.797636,140.563141,-15.959353,-0.110074,0.944028,0.049288,0.307028,-4.418236,136.003662,21.417841,0.402189,0.880353,-0.002076,-0.251432,8.661153,138.953705,31.22921,0.069306,0.356005,0.424374,-0.829677,22.685772,120.871796,19.984379,-0.096916,0.145891,0.777668,-0.603784,13.408587,136.596649,4.38623,0.039049,0.883755,0.067098,0.461466,-10.716866,89.303421,5.499413,0.074018,0.936915,-0.00387,0.34161,-10.979314,52.742638,-0.223176,-0.063727,0.939945,0.075031,0.326822,-17.772261,5.210194,-2.305137,-0.063542,0.867451,-0.105238,0.482096,2.138552,87.966133,20.169184,-0.057086,0.867853,-0.114759,0.480003,2.463084,52.07782,29.193121,-0.012246,0.856048,0.090505,0.508764,1.930382,5.596438,41.400063,-0.063727,0.939945,0.075031,0.326822,-7.830572,1.658258,-14.302593,-0.012246,0.856048,0.090505,0.508764,15.388913,1.803147,33.662415
8,0.066667,0.033906,0.910438,0.007616,0.412184,-4.30473,88.646164,12.851182,-0.011825,0.913784,0.123592,0.38676,-3.860159,96.642822,13.186396,-0.003639,0.924418,0.009676,0.381241,-6.433167,117.917862,17.943951,0.130489,0.933739,-0.175647,0.283288,-6.76488,141.428238,18.299355,0.086714,0.961802,-0.205693,0.158455,-0.619885,154.343658,12.9287,-0.084587,0.859763,0.091675,0.495225,-9.976059,136.016846,15.93296,0.432332,-0.54329,0.122866,-0.709104,-18.203377,135.108871,1.527305,0.291676,0.165759,-0.493148,-0.802654,-8.527811,118.688538,-15.409277,0.445466,0.248743,-0.49755,-0.701521,2.772871,140.576416,-15.941109,-0.109869,0.944062,0.049049,0.307033,-4.433814,136.01178,21.441122,0.401979,0.880105,-0.001889,-0.252635,8.646962,138.957947,31.251801,0.068876,0.355777,0.424596,-0.829697,22.649254,120.892838,19.952286,-0.097103,0.14583,0.778163,-0.60313,13.389388,136.607788,4.397902,0.038861,0.883906,0.067116,0.461188,-10.736218,89.311066,5.519271,0.073987,0.937241,-0.003469,0.340724,-10.987613,52.749371,-0.198038,-0.063739,0.940003,0.074862,0.326692,-17.766571,5.216199,-2.308678,-0.063861,0.866914,-0.104556,0.483167,2.126758,87.981262,20.183092,-0.05687,0.867903,-0.115039,0.479871,2.485281,52.08535,29.175499,-0.012315,0.855959,0.090252,0.508956,1.923358,5.607784,41.395618,-0.063739,0.940003,0.074862,0.326692,-7.828252,1.659319,-14.307456,-0.012315,0.855959,0.090252,0.508956,15.384616,1.808445,33.665688
9,0.075,0.033469,0.910618,0.007959,0.411816,-4.314188,88.654739,12.867138,-0.011832,0.913873,0.123457,0.386594,-3.878114,96.651787,13.204299,-0.003601,0.924456,0.00987,0.381144,-6.448772,117.932472,17.957819,0.130659,0.933755,-0.175775,0.283077,-6.782278,141.442688,18.322397,0.086529,0.961898,-0.205597,0.158097,-0.633362,154.354828,12.948376,-0.084638,0.859881,0.0916,0.495025,-9.993526,136.031952,15.954584,0.432541,-0.543321,0.122857,-0.708955,-18.227142,135.120331,1.552758,0.291686,0.165534,-0.493269,-0.802623,-8.553167,118.694794,-15.379691,0.445365,0.248456,-0.497644,-0.701619,2.74564,140.584244,-15.922697,-0.109696,0.94413,0.049138,0.306874,-4.450119,136.025192,21.461576,0.402408,0.880146,-0.002303,-0.251806,8.635173,138.96553,31.267988,0.069271,0.355941,0.424691,-0.829546,22.641205,120.875099,20.013681,-0.096682,0.146003,0.778032,-0.603326,13.373425,136.612961,4.417819,0.038752,0.884066,0.067182,0.460882,-10.752185,89.31469,5.540492,0.073923,0.937469,-0.003144,0.340113,-10.99616,52.753033,-0.177345,-0.063693,0.940051,0.074852,0.326564,-17.760172,5.218741,-2.310766,-0.063921,0.866512,-0.104039,0.483991,2.123808,87.994781,20.193785,-0.056865,0.867763,-0.115331,0.480054,2.496437,52.091454,29.155958,-0.012377,0.856027,0.089938,0.508897,1.917863,5.620298,41.399681,-0.063693,0.940051,0.074852,0.326564,-7.82546,1.660902,-14.312251,-0.012377,0.856027,0.089938,0.508897,15.377172,1.813465,33.670044
