Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.001384,0.948478,-0.038205,0.314529,-5.983461,86.31321,16.370022,-0.018001,0.952911,0.004708,0.302678,-5.769769,94.305794,15.796061,0.011292,0.950639,-0.081071,0.299309,-6.584156,116.208054,15.753874,0.163944,0.934331,-0.227572,0.219907,-4.938064,139.408356,12.288194,0.089197,0.973771,-0.18123,0.104741,1.878016,151.204239,5.373651,-0.043717,0.908579,-0.001215,0.415418,-8.946351,134.085464,11.39641,-0.51362,0.347323,0.61487,-0.487335,-19.762852,132.748856,-1.143641,-0.894446,-0.259252,0.254688,0.260556,-19.696501,108.37178,-8.61664,0.501381,0.059218,-0.472127,-0.722639,1.33531,125.420723,-17.777416,-0.012118,0.958951,-0.087654,0.269411,-2.534509,134.296921,15.857349,0.547102,0.836814,0.017762,-0.010321,11.663127,135.467773,24.406757,0.202466,0.524802,0.597111,-0.571882,21.891117,112.131027,23.470814,0.2285,0.294183,0.820221,-0.434144,28.197226,123.371925,3.351028,-0.028195,0.901934,0.229429,0.364804,-13.824881,86.103935,10.536374,0.111704,0.956482,-0.050006,0.264885,-5.748001,53.051819,-4.017991,-0.031357,0.95446,0.04581,0.293127,-17.291031,6.431046,-2.264635,-0.090625,0.918551,0.023872,0.384032,1.857957,86.522476,22.203671,-0.021577,0.892817,-0.210734,0.397496,8.697664,50.165653,23.156586,-0.035267,0.876331,0.062796,0.476295,2.497686,6.418538,42.065907,-0.031357,0.95446,0.04581,0.293127,-8.577119,1.667886,-14.785513,-0.035267,0.876331,0.062796,0.476295,15.446404,2.236778,33.685215
1,0.008333,0.001138,0.948252,-0.038414,0.315184,-5.983792,86.301445,16.434807,-0.018246,0.952616,0.00434,0.303598,-5.772388,94.293793,15.85657,0.010261,0.950299,-0.081346,0.300348,-6.591989,116.194427,15.794973,0.163366,0.934239,-0.227284,0.221023,-4.984338,139.393677,12.304291,0.088409,0.973807,-0.180925,0.105594,1.825386,151.20018,5.401623,-0.045343,0.90774,-0.001161,0.417075,-8.980408,134.061859,11.410977,-0.513334,0.345347,0.61443,-0.489591,-19.746241,132.678101,-1.167497,-0.894642,-0.260865,0.254273,0.258671,-19.5825,108.298073,-8.629366,0.50193,0.059451,-0.472282,-0.722137,1.413436,125.398842,-17.775845,-0.012507,0.958561,-0.087806,0.270729,-2.577952,134.291306,15.884489,0.547157,0.836827,0.016988,-0.007155,11.595717,135.479553,24.471174,0.20311,0.526965,0.596149,-0.570666,21.823462,112.136932,23.691872,0.228848,0.297109,0.819185,-0.433924,28.184855,123.28228,3.529996,-0.028366,0.901937,0.229567,0.364697,-13.817162,86.085823,10.590588,0.112085,0.956307,-0.049694,0.265414,-5.726927,53.039124,-3.968667,-0.031393,0.954364,0.046248,0.293369,-17.297676,6.423557,-2.260263,-0.092073,0.917692,0.025154,0.385658,1.849577,86.517075,22.279026,-0.021136,0.891774,-0.210587,0.399932,8.82131,50.184483,23.198677,-0.030805,0.875683,0.062617,0.477818,2.537652,6.42958,42.06229,-0.031393,0.954364,0.046248,0.293369,-8.576126,1.673614,-14.780842,-0.030805,0.875683,0.062617,0.477818,15.474998,2.177046,33.699677
2,0.016667,0.00098,0.947989,-0.038624,0.315951,-5.985296,86.292862,16.48114,-0.018676,0.952327,0.00442,0.304475,-5.774755,94.28495,15.899089,0.009433,0.949986,-0.081572,0.301304,-6.61318,116.180588,15.834366,0.162898,0.934176,-0.226889,0.222038,-5.03582,139.378876,12.323511,0.087726,0.973825,-0.18073,0.10633,1.769,151.196701,5.435393,-0.046733,0.906945,-0.001516,0.418647,-9.02175,134.039825,11.42807,-0.514577,0.345269,0.613466,-0.48955,-19.739697,132.610382,-1.186144,-0.894647,-0.261636,0.253639,0.258498,-19.512821,108.235863,-8.66433,0.502187,0.060227,-0.472576,-0.721702,1.478489,125.364235,-17.76965,-0.012775,0.957945,-0.089326,0.272394,-2.628033,134.28389,15.91329,0.547022,0.836948,0.016234,-0.004599,11.515353,135.499054,24.546024,0.204303,0.528615,0.595311,-0.569589,21.752146,112.156418,23.896898,0.228286,0.299716,0.819637,-0.431568,28.147537,123.199417,3.696316,-0.02856,0.901866,0.22948,0.364911,-13.809207,86.072441,10.624443,0.112459,0.956067,-0.049159,0.266218,-5.704934,53.023602,-3.922138,-0.031658,0.954258,0.046565,0.293635,-17.297667,6.411034,-2.282266,-0.093607,0.916474,0.026425,0.388091,1.838615,86.51329,22.337837,-0.020468,0.891248,-0.210562,0.401151,8.947165,50.206631,23.234121,-0.026732,0.875218,0.062054,0.478986,2.581482,6.448066,42.061718,-0.031658,0.954258,0.046565,0.293635,-8.565713,1.67292,-14.800077,-0.026732,0.875218,0.062054,0.478986,15.502251,2.120196,33.712124
3,0.025,0.000929,0.947631,-0.038983,0.316978,-5.98398,86.281769,16.528772,-0.019185,0.951958,0.004524,0.305593,-5.771767,94.273415,15.941243,0.008595,0.949587,-0.081872,0.302501,-6.632688,116.167496,15.873039,0.162456,0.934082,-0.226385,0.223268,-5.084077,139.364182,12.338929,0.08684,0.97384,-0.180605,0.107126,1.717942,151.194824,5.470061,-0.048163,0.906187,-0.001499,0.420122,-9.059336,134.017746,11.440256,-0.515907,0.345504,0.612377,-0.489348,-19.731646,132.546539,-1.207806,-0.894647,-0.262512,0.252944,0.258291,-19.444994,108.175919,-8.696617,0.502766,0.061049,-0.47281,-0.721076,1.540183,125.335823,-17.756563,-0.013535,0.957416,-0.089803,0.274056,-2.676675,134.277237,15.940335,0.547005,0.836987,0.015333,-0.001815,11.435875,135.525635,24.618673,0.204959,0.531014,0.594354,-0.56812,21.674541,112.18026,24.113516,0.228338,0.302345,0.818865,-0.431173,28.135756,123.113396,3.879323,-0.028689,0.901702,0.229514,0.365286,-13.795183,86.057381,10.655287,0.112904,0.955881,-0.048961,0.266733,-5.675318,53.01025,-3.886476,-0.031847,0.954187,0.046698,0.293822,-17.304256,6.405443,-2.282658,-0.094951,0.91527,0.02762,0.390516,1.827224,86.506157,22.402256,-0.01999,0.890691,-0.210488,0.402449,9.057765,50.223042,23.27564,-0.023631,0.874978,0.061558,0.479652,2.626724,6.459632,42.069721,-0.031847,0.954187,0.046698,0.293822,-8.565188,1.67308,-14.79768,-0.023631,0.874978,0.061558,0.479652,15.530128,2.072746,33.724079
4,0.033333,0.00078,0.94725,-0.039177,0.318092,-5.977057,86.271439,16.565001,-0.019665,0.951549,0.004491,0.306835,-5.765422,94.26284,15.974031,0.00781,0.949187,-0.081644,0.303836,-6.645529,116.149208,15.896885,0.162003,0.933936,-0.226073,0.22452,-5.130226,139.348251,12.363786,0.085837,0.973854,-0.180501,0.107978,1.669773,151.188492,5.509461,-0.049357,0.905425,-0.001422,0.421626,-9.093243,133.994385,11.455289,-0.517112,0.345653,0.611279,-0.489344,-19.719624,132.489532,-1.227434,-0.894647,-0.263534,0.252256,0.25792,-19.369701,108.121277,-8.721276,0.503474,0.061987,-0.472605,-0.720636,1.604608,125.317955,-17.736536,-0.014659,0.956805,-0.089916,0.276088,-2.723032,134.266205,15.972246,0.546813,0.83712,0.014971,0.000803,11.351325,135.557144,24.7062,0.206267,0.532415,0.59396,-0.566745,21.600811,112.214211,24.323053,0.228678,0.304534,0.819492,-0.428251,28.111088,123.051003,4.051843,-0.028763,0.901582,0.229448,0.365618,-13.77444,86.042244,10.673366,0.113316,0.9557,-0.048816,0.267233,-5.64607,52.993168,-3.85922,-0.031911,0.954094,0.046932,0.294083,-17.309505,6.395963,-2.285523,-0.09618,0.913763,0.02879,0.393647,1.820324,86.500626,22.456636,-0.019762,0.889632,-0.210418,0.404831,9.163865,50.239777,23.311762,-0.021189,0.874658,0.060842,0.480439,2.665828,6.472623,42.074059,-0.031911,0.954094,0.046932,0.294083,-8.562498,1.671135,-14.797842,-0.021189,0.874658,0.060842,0.480439,15.558785,2.030416,33.74155
5,0.041667,0.000653,0.946805,-0.039341,0.319392,-5.970535,86.259201,16.598848,-0.01993,0.950997,0.00438,0.308525,-5.759178,94.250397,16.005018,0.006456,0.948608,-0.081592,0.305686,-6.647789,116.113937,15.918204,0.16164,0.933793,-0.225463,0.225987,-5.18672,139.314301,12.370882,0.085081,0.973925,-0.180157,0.108513,1.614096,151.168198,5.541039,-0.050068,0.904778,-0.00083,0.422929,-9.130899,133.948212,11.45252,-0.518063,0.345618,0.609846,-0.49015,-19.718348,132.431274,-1.261288,-0.894741,-0.265025,0.251554,0.256751,-19.277945,108.057877,-8.733595,0.504258,0.063122,-0.473135,-0.719641,1.671545,125.305054,-17.709997,-0.01575,0.955914,-0.091329,0.278639,-2.778005,134.242279,15.992414,0.546774,0.837154,0.014251,0.002934,11.248212,135.58815,24.795242,0.206776,0.534453,0.593585,-0.565031,21.49947,112.244438,24.523138,0.228242,0.306448,0.820172,-0.425808,28.093439,122.991112,4.226454,-0.028709,0.90113,0.229613,0.366631,-13.751714,86.025612,10.686,0.113937,0.955473,-0.048843,0.267775,-5.606213,52.981915,-3.849229,-0.03203,0.953918,0.046778,0.294665,-17.327478,6.398535,-2.29603,-0.097381,0.912295,0.030006,0.396654,1.810643,86.492783,22.511696,-0.019555,0.88865,-0.210426,0.406988,9.266982,50.25444,23.344524,-0.019167,0.874514,0.060164,0.480872,2.705436,6.486836,42.083652,-0.03203,0.953918,0.046778,0.294665,-8.564582,1.670647,-14.796071,-0.019167,0.874514,0.060164,0.480872,15.585121,1.996647,33.756336
6,0.05,0.000405,0.94635,-0.039217,0.320755,-5.958025,86.249939,16.619528,-0.020655,0.950518,0.004465,0.309949,-5.750219,94.241295,16.026608,0.005779,0.948147,-0.081312,0.307201,-6.669715,116.097473,15.932168,0.161322,0.933662,-0.225118,0.227095,-5.237214,139.300354,12.389791,0.084362,0.973981,-0.179913,0.108978,1.563586,151.163025,5.575183,-0.051124,0.903984,-0.000514,0.4245,-9.169461,133.927612,11.459297,-0.519292,0.346106,0.608364,-0.490347,-19.709148,132.384705,-1.291017,-0.894749,-0.266363,0.250777,0.256099,-19.193914,108.00766,-8.746621,0.504866,0.064486,-0.4735,-0.718853,1.737244,125.30265,-17.673695,-0.01667,0.95537,-0.091309,0.28045,-2.830948,134.232361,16.018549,0.546471,0.837342,0.014014,0.005636,11.160648,135.612457,24.871042,0.207469,0.536079,0.592985,-0.563865,21.427605,112.274529,24.721163,0.228272,0.308785,0.820099,-0.424241,28.067585,122.933044,4.406382,-0.028418,0.900656,0.229607,0.367821,-13.72215,86.011482,10.684498,0.114263,0.955309,-0.048984,0.268195,-5.577043,52.966331,-3.847657,-0.031814,0.95392,0.047223,0.294609,-17.332041,6.39143,-2.295263,-0.09856,0.910674,0.030984,0.4,1.8061,86.488388,22.554558,-0.019528,0.887371,-0.210399,0.409786,9.366556,50.271545,23.384056,-0.016994,0.874398,0.05976,0.481216,2.744778,6.502771,42.099251,-0.031814,0.95392,0.047223,0.294609,-8.571784,1.674428,-14.801266,-0.016994,0.874398,0.05976,0.481216,15.609297,1.969946,33.771587
7,0.058333,6.2e-05,0.94589,-0.038789,0.322162,-5.936011,86.251022,16.631256,-0.021612,0.94994,0.004756,0.311647,-5.734729,94.24292,16.04336,0.005114,0.947552,-0.081156,0.309085,-6.697318,116.086708,15.94636,0.160791,0.93358,-0.22444,0.228477,-5.289672,139.291138,12.404045,0.083874,0.973958,-0.179849,0.109661,1.506325,151.17038,5.613546,-0.051842,0.903458,-0.000621,0.425531,-9.209424,133.911667,11.459754,-0.520337,0.345972,0.606757,-0.491323,-19.717529,132.346573,-1.313904,-0.894884,-0.268063,0.249942,0.254665,-19.098013,107.964615,-8.745438,0.505904,0.065728,-0.473911,-0.717739,1.805112,125.31588,-17.628836,-0.017483,0.954717,-0.091253,0.282634,-2.88894,134.227936,16.043186,0.546058,0.837592,0.013945,0.008168,11.060861,135.639587,24.956459,0.207597,0.537886,0.592407,-0.562704,21.349089,112.310577,24.917021,0.228133,0.311157,0.819841,-0.423081,28.049639,122.900482,4.583566,-0.027957,0.900175,0.229478,0.36911,-13.682455,86.007843,10.673358,0.114612,0.95516,-0.049014,0.268572,-5.550647,52.956413,-3.851967,-0.031572,0.953819,0.04734,0.294943,-17.338566,6.389451,-2.310714,-0.099694,0.909563,0.031712,0.402183,1.810434,86.494194,22.589155,-0.019224,0.886702,-0.210555,0.411166,9.46583,50.297379,23.421902,-0.014852,0.874346,0.059208,0.481449,2.782861,6.533757,42.127399,-0.031572,0.953819,0.04734,0.294943,-8.571939,1.673738,-14.812744,-0.014852,0.874346,0.059208,0.481449,15.62962,1.95486,33.797516
8,0.066667,-0.000556,0.945429,-0.038422,0.323554,-5.895416,86.247055,16.641384,-0.022519,0.949364,0.005127,0.313328,-5.704544,94.23941,16.056131,0.00416,0.946974,-0.080817,0.310951,-6.709507,116.076981,15.960447,0.16031,0.93343,-0.224105,0.229752,-5.342325,139.284393,12.421944,0.083449,0.973963,-0.179705,0.110173,1.450807,151.173859,5.646495,-0.052701,0.902749,-0.0001,0.426926,-9.246052,133.895828,11.463329,-0.521397,0.34627,0.605159,-0.49196,-19.711637,132.313522,-1.343071,-0.895019,-0.269801,0.24895,0.253322,-19.003887,107.925323,-8.74619,0.507092,0.067394,-0.474124,-0.716604,1.8741,125.334076,-17.576143,-0.017816,0.953987,-0.09192,0.284855,-2.943521,134.22699,16.07037,0.545614,0.837861,0.013611,0.010432,10.964008,135.661804,25.04578,0.20771,0.539097,0.592261,-0.561657,21.274784,112.342812,25.112814,0.228448,0.312827,0.820621,-0.420157,28.030828,122.886536,4.7677,-0.027556,0.899952,0.229337,0.369773,-13.624275,85.993721,10.661114,0.115097,0.955044,-0.049232,0.268738,-5.51224,52.935837,-3.860574,-0.032596,0.953731,0.047526,0.295087,-17.349836,6.381655,-2.314155,-0.10036,0.908666,0.0324,0.403986,1.833441,86.500397,22.621655,-0.019427,0.885829,-0.210911,0.412851,9.55182,50.316704,23.443451,-0.012809,0.874659,0.05855,0.48102,2.836259,6.568256,42.172745,-0.032596,0.953731,0.047526,0.295087,-8.568378,1.681076,-14.811466,-0.012809,0.874659,0.05855,0.48102,15.65322,1.942303,33.82299
9,0.075,-0.000968,0.944939,-0.03826,0.325001,-5.872903,86.248528,16.651609,-0.023523,0.948761,0.005339,0.315072,-5.688215,94.241074,16.066952,0.003885,0.946382,-0.080289,0.31289,-6.737502,116.075943,15.964381,0.160636,0.933124,-0.223917,0.23095,-5.383101,139.287476,12.447941,0.082546,0.974039,-0.179682,0.110218,1.428509,151.176224,5.689812,-0.053645,0.902095,0.000325,0.428191,-9.276712,133.895065,11.469877,-0.522552,0.346714,0.603578,-0.492364,-19.703033,132.291656,-1.365893,-0.89516,-0.271424,0.247856,0.252161,-18.913483,107.898453,-8.744234,0.508107,0.069131,-0.474481,-0.715483,1.945376,125.360107,-17.514688,-0.019036,0.953199,-0.091277,0.287607,-2.99304,134.230209,16.10232,0.545205,0.838078,0.014447,0.012952,10.860647,135.705475,25.154119,0.20784,0.540716,0.591953,-0.560376,21.191153,112.395607,25.305981,0.227991,0.314687,0.820101,-0.420032,28.015751,122.879204,4.94243,-0.027214,0.899534,0.229183,0.370909,-13.58341,85.987534,10.648024,0.115455,0.954945,-0.04934,0.268916,-5.479923,52.923035,-3.86337,-0.033605,0.953717,0.047511,0.295021,-17.35289,6.377804,-2.318778,-0.101135,0.9082,0.033019,0.404789,1.837605,86.509529,22.655195,-0.01953,0.886211,-0.210826,0.412069,9.62509,50.340389,23.465675,-0.010689,0.875018,0.058086,0.480475,2.938211,6.588915,42.198166,-0.033605,0.953717,0.047511,0.295021,-8.562678,1.686303,-14.81335,-0.010689,0.875018,0.058086,0.480475,15.723265,1.920264,33.823292
