Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.011837,0.904491,-0.032126,0.425117,-7.10808,88.494995,15.901248,-0.02936,0.909557,0.03962,0.412644,-6.717475,96.492226,15.516062,0.032502,0.908029,-0.086315,0.408628,-8.656861,118.905762,16.593651,0.176473,0.846515,-0.288257,0.411311,-5.610034,142.021103,13.532166,0.201497,0.799499,-0.415039,0.384633,3.672632,152.473526,7.368417,-0.053573,0.863376,-0.052334,0.498972,-9.440462,136.794632,11.74146,-0.464336,0.404877,0.647601,-0.448419,-17.686384,134.389954,-2.480302,-0.915892,-0.084427,0.296368,0.257253,-21.934799,109.994759,-8.556214,0.489309,-0.303368,-0.551507,-0.603642,1.218686,118.773232,-22.831285,0.029511,0.919791,-0.092218,0.380277,-4.252578,136.884613,17.583904,0.575363,0.811687,0.027933,0.096658,7.527607,137.147934,29.29689,0.370762,0.783589,0.451505,-0.211347,15.667001,113.195435,32.478085,0.139208,0.735154,0.662948,-0.025881,31.207926,103.656723,16.196899,0.023837,0.87708,0.113137,0.466221,-13.347594,88.437302,8.376075,0.081436,0.935116,0.00965,0.344722,-10.991024,52.419876,0.209099,-0.066921,0.92995,0.077551,0.353131,-17.991039,5.005777,-3.356681,-0.074582,0.859322,-0.049404,0.503549,-0.868567,88.552696,23.426422,-0.039922,0.846424,-0.105244,0.520477,2.033741,52.138184,29.348225,-0.03902,0.833004,0.085077,0.545293,0.016568,5.295548,39.908051,-0.066921,0.92995,0.077551,0.353131,-7.373554,1.593006,-14.802835,-0.03902,0.833004,0.085077,0.545293,14.243033,1.755094,33.546818
1,0.008333,0.012353,0.904603,-0.0325,0.424835,-7.17259,88.496628,15.827333,-0.028747,0.909888,0.038369,0.412074,-6.772079,96.493271,15.440135,0.032549,0.908204,-0.087938,0.407889,-8.662896,118.916878,16.47934,0.17687,0.846095,-0.290906,0.410139,-5.585642,142.018768,13.347583,0.202558,0.798885,-0.41674,0.383511,3.720813,152.412338,7.120501,-0.050196,0.866859,-0.057194,0.492712,-9.426878,136.793121,11.577744,-0.458561,0.40977,0.649195,-0.447611,-17.89073,134.410873,-2.51921,-0.914992,-0.081143,0.299218,0.258213,-22.447834,110.010765,-8.346706,0.488511,-0.309061,-0.549555,-0.603182,0.639683,118.671486,-22.799425,0.031694,0.917772,-0.09922,0.383204,-4.229609,136.891693,17.411701,0.581476,0.806191,0.026652,0.105975,7.47187,137.188553,29.202518,0.370003,0.784112,0.453199,-0.207066,15.154341,113.139603,32.76899,0.134209,0.739384,0.659662,-0.012082,30.777014,103.56356,16.666912,0.023403,0.877184,0.113029,0.466075,-13.416536,88.44516,8.305793,0.080303,0.935454,0.009407,0.344077,-11.036871,52.424397,0.160234,-0.067068,0.930392,0.077926,0.351852,-17.946362,4.992244,-3.341455,-0.075032,0.858706,-0.049256,0.504547,-0.928645,88.548096,23.348875,-0.040637,0.845946,-0.105601,0.521126,2.000686,52.137482,29.281347,-0.038827,0.833012,0.084853,0.545329,0.015338,5.307609,39.903641,-0.067068,0.930392,0.077926,0.351852,-7.357719,1.590714,-14.81763,-0.038827,0.833012,0.084853,0.545329,14.24,1.757972,33.543495
2,0.016667,0.012727,0.904727,-0.032861,0.424533,-7.242098,88.505859,15.749913,-0.028083,0.910393,0.037372,0.411095,-6.833847,96.501968,15.359905,0.03269,0.908565,-0.090114,0.406596,-8.678228,118.934128,16.372837,0.176992,0.845924,-0.29312,0.408861,-5.558138,142.017365,13.147343,0.203621,0.798276,-0.418205,0.382621,3.760517,152.363998,6.860624,-0.046357,0.870085,-0.061895,0.486798,-9.415894,136.793854,11.407401,-0.449814,0.409972,0.652168,-0.451959,-18.084541,134.452408,-2.571449,-0.914705,-0.078778,0.303438,0.255019,-22.847376,110.01799,-8.082026,0.48826,-0.314234,-0.54658,-0.603415,0.116381,118.560623,-22.799788,0.033729,0.915538,-0.106031,0.386535,-4.202312,136.902283,17.22661,0.587252,0.800659,0.025884,0.115803,7.409543,137.238068,29.104662,0.370019,0.783405,0.456677,-0.202009,14.636644,113.108513,33.057629,0.129976,0.74132,0.658434,0.004038,30.325096,103.488327,17.12796,0.022707,0.877344,0.113029,0.465807,-13.490876,88.458229,8.232363,0.079849,0.935353,0.008973,0.344468,-11.068552,52.435101,0.1099,-0.067298,0.930366,0.07778,0.35191,-17.950462,4.9952,-3.340729,-0.075549,0.85798,-0.048899,0.505738,-0.99332,88.55349,23.267464,-0.041703,0.844283,-0.105923,0.523667,1.973816,52.146042,29.200581,-0.038657,0.832995,0.084381,0.54544,0.026494,5.331171,39.895775,-0.067298,0.930366,0.07778,0.35191,-7.358644,1.592244,-14.813545,-0.038657,0.832995,0.084381,0.54544,14.249593,1.766195,33.540726
3,0.025,0.013403,0.904786,-0.033403,0.424343,-7.323167,88.510635,15.678802,-0.027501,0.910941,0.035723,0.410066,-6.901504,96.50589,15.28546,0.033044,0.909018,-0.091673,0.405205,-8.690672,118.947495,16.243769,0.177738,0.845696,-0.295539,0.407265,-5.530968,142.016296,12.954275,0.204506,0.79811,-0.419274,0.381323,3.813076,152.30394,6.608724,-0.042825,0.872947,-0.066733,0.481328,-9.40492,136.796921,11.238074,-0.441886,0.41229,0.654876,-0.453752,-18.260012,134.487381,-2.628769,-0.914423,-0.075212,0.306775,0.253106,-23.300537,110.044189,-7.845592,0.488841,-0.318653,-0.542226,-0.604554,-0.421807,118.414215,-22.793129,0.035845,0.913206,-0.113529,0.38972,-4.174053,136.908035,17.041698,0.593083,0.794847,0.025604,0.125763,7.35077,137.290497,29.00281,0.370186,0.781992,0.461379,-0.196419,14.104221,113.087318,33.325897,0.126385,0.741341,0.658811,0.020199,29.869736,103.422462,17.559832,0.022007,0.87728,0.113274,0.465902,-13.574752,88.470612,8.163542,0.079404,0.935218,0.00841,0.344953,-11.097636,52.449249,0.049737,-0.067115,0.930329,0.077725,0.352054,-17.956713,5.001587,-3.339054,-0.076501,0.857565,-0.048394,0.506348,-1.071582,88.550659,23.194063,-0.042313,0.843488,-0.10648,0.524785,1.970397,52.150291,29.132706,-0.038446,0.833106,0.084094,0.54533,0.029876,5.351705,39.900173,-0.067115,0.930329,0.077725,0.352054,-7.363141,1.595008,-14.809179,-0.038446,0.833106,0.084094,0.54533,14.248625,1.775687,33.541584
4,0.033333,0.013744,0.904908,-0.033819,0.424039,-7.40122,88.516609,15.602768,-0.027149,0.911349,0.034137,0.409317,-6.971914,96.511269,15.205566,0.033554,0.909249,-0.093419,0.404245,-8.71708,118.963608,16.107037,0.177996,0.84559,-0.297553,0.405902,-5.506155,142.015625,12.750119,0.205357,0.797955,-0.420209,0.380158,3.85013,152.25827,6.350052,-0.039492,0.875543,-0.071504,0.476186,-9.396494,136.801437,11.055345,-0.433718,0.415106,0.657571,-0.455166,-18.424313,134.521088,-2.704546,-0.914304,-0.071027,0.309828,0.251019,-23.764002,110.077576,-7.61309,0.48998,-0.322769,-0.53666,-0.606413,-0.957882,118.235565,-22.787119,0.037625,0.910875,-0.120369,0.392942,-4.154021,136.914825,16.848446,0.5988,0.788926,0.025039,0.135676,7.282667,137.347672,28.892153,0.370106,0.780619,0.466248,-0.190445,13.556496,113.084534,33.585854,0.124701,0.740191,0.659789,0.035281,29.408455,103.376152,18.001999,0.021636,0.877064,0.113507,0.466269,-13.657671,88.479393,8.091542,0.078767,0.935003,0.007798,0.345693,-11.145024,52.460747,-0.023382,-0.067301,0.930274,0.077633,0.352186,-17.964994,5.002454,-3.341562,-0.077648,0.857447,-0.048058,0.506404,-1.14477,88.553825,23.113993,-0.042611,0.843342,-0.107164,0.524856,1.981745,52.16415,29.074236,-0.03808,0.833309,0.08363,0.545116,0.029482,5.38204,39.910988,-0.067301,0.930274,0.077633,0.352186,-7.366761,1.595557,-14.807287,-0.03808,0.833309,0.08363,0.545116,14.240458,1.787741,33.545341
5,0.041667,0.013988,0.905018,-0.034175,0.423767,-7.482548,88.520798,15.524676,-0.026622,0.911772,0.032738,0.408524,-7.047416,96.514961,15.123856,0.033837,0.909491,-0.095451,0.403201,-8.744419,118.9729,15.979128,0.178685,0.845373,-0.299606,0.40454,-5.487068,142.005966,12.537949,0.206135,0.798066,-0.420859,0.378784,3.891473,152.197357,6.088822,-0.035859,0.87795,-0.076298,0.471271,-9.393248,136.795258,10.869132,-0.425829,0.418429,0.659837,-0.456291,-18.584894,134.554337,-2.788399,-0.914046,-0.066192,0.312967,0.249382,-24.218061,110.115196,-7.380506,0.490564,-0.32654,-0.530899,-0.608987,-1.485734,118.035271,-22.789509,0.039096,0.908927,-0.125968,0.395545,-4.137895,136.915771,16.650408,0.604631,0.782774,0.023704,0.145342,7.22683,137.39064,28.760475,0.370202,0.778641,0.471848,-0.184466,13.004285,113.080147,33.831211,0.122368,0.737452,0.662218,0.051559,28.941294,103.330872,18.408306,0.021235,0.876899,0.113674,0.466558,-13.743382,88.485161,8.017092,0.078052,0.934747,0.007216,0.346559,-11.196208,52.468063,-0.093913,-0.067526,0.93025,0.077636,0.352205,-17.96867,4.998136,-3.342298,-0.079093,0.857538,-0.047455,0.506084,-1.221715,88.556442,23.032261,-0.042862,0.842445,-0.10788,0.526128,2.020782,52.179264,29.006819,-0.037585,0.833391,0.083211,0.545089,0.035891,5.414036,39.910252,-0.067526,0.93025,0.077636,0.352205,-7.368016,1.594023,-14.806616,-0.037585,0.833391,0.083211,0.545089,14.241062,1.800394,33.542587
6,0.05,0.014378,0.905171,-0.034722,0.423384,-7.568355,88.523827,15.448122,-0.025829,0.912164,0.0312,0.407818,-7.124019,96.517204,15.041849,0.033754,0.909668,-0.097577,0.402297,-8.75961,118.981621,15.849893,0.179093,0.845247,-0.301436,0.403261,-5.469333,141.995651,12.313967,0.206975,0.798261,-0.42134,0.377378,3.923553,152.143631,5.817431,-0.032431,0.88023,-0.081221,0.466419,-9.387722,136.785339,10.672767,-0.417222,0.419936,0.662812,-0.458542,-18.738314,134.577957,-2.881933,-0.914147,-0.061378,0.316017,0.246377,-24.636538,110.145142,-7.164481,0.491433,-0.330998,-0.524503,-0.611417,-1.978815,117.803238,-22.813866,0.040678,0.906107,-0.134774,0.398938,-4.120909,136.918945,16.44331,0.610071,0.776665,0.024023,0.155011,7.150034,137.480789,28.637005,0.370458,0.77684,0.477389,-0.177145,12.442438,113.128998,34.028889,0.121302,0.734653,0.664213,0.066264,28.480995,103.293358,18.80901,0.02057,0.87684,0.113987,0.466621,-13.835306,88.490875,7.945636,0.07745,0.934692,0.006726,0.346854,-11.233576,52.476997,-0.162363,-0.067567,0.930254,0.077532,0.352209,-17.967676,4.997417,-3.348839,-0.080735,0.857769,-0.046584,0.505513,-1.301403,88.556786,22.950607,-0.042932,0.841925,-0.108778,0.52677,2.081269,52.192966,28.928757,-0.037278,0.833432,0.082322,0.545184,0.047796,5.447003,39.905621,-0.067567,0.930254,0.077532,0.352209,-7.366725,1.590761,-14.812119,-0.037278,0.833432,0.082322,0.545184,14.248352,1.804765,33.543976
7,0.058333,0.014667,0.905304,-0.034977,0.423069,-7.65589,88.521889,15.369171,-0.02529,0.91248,0.029468,0.407275,-7.205775,96.514847,14.96101,0.033852,0.909757,-0.099526,0.40161,-8.787354,118.990585,15.708974,0.17984,0.844925,-0.3036,0.401978,-5.459107,141.986237,12.089968,0.207633,0.798687,-0.421461,0.375976,3.958643,152.079361,5.544167,-0.029365,0.882045,-0.085931,0.462332,-9.389596,136.777725,10.472138,-0.409576,0.423268,0.664984,-0.459226,-18.872627,134.596939,-2.994575,-0.913965,-0.055945,0.318689,0.244899,-25.061205,110.184273,-6.971361,0.49358,-0.334014,-0.514665,-0.616387,-2.463952,117.568542,-22.838316,0.042202,0.903939,-0.141034,0.401526,-4.114246,136.921097,16.234646,0.616052,0.770099,0.022905,0.164019,7.083669,137.535202,28.492933,0.369674,0.775935,0.481836,-0.170588,11.855552,113.151085,34.214439,0.12149,0.731731,0.666233,0.077088,28.005594,103.262802,19.212149,0.019959,0.876805,0.11434,0.466628,-13.927897,88.492188,7.870898,0.076837,0.934641,0.006154,0.347137,-11.274196,52.482426,-0.238574,-0.067756,0.930227,0.07748,0.352255,-17.971806,4.993052,-3.355236,-0.082561,0.858063,-0.045399,0.504826,-1.383883,88.55159,22.867445,-0.042831,0.841598,-0.109896,0.527068,2.163146,52.201771,28.835484,-0.036107,0.83339,0.08184,0.545398,0.060371,5.478483,39.895508,-0.067756,0.930227,0.07748,0.352255,-7.368159,1.587203,-14.816268,-0.036107,0.83339,0.08184,0.545398,14.253304,1.803768,33.535526
8,0.066667,0.014512,0.905553,-0.035256,0.422518,-7.738422,88.528511,15.29181,-0.025103,0.91281,0.028014,0.406648,-7.288915,96.521225,14.878268,0.034352,0.909788,-0.101872,0.400908,-8.835822,119.002747,15.571031,0.180276,0.844813,-0.305514,0.400565,-5.445169,141.974579,11.859848,0.208413,0.79917,-0.421494,0.374479,3.986665,152.021744,5.263792,-0.026306,0.883809,-0.091436,0.458071,-9.393106,136.7715,10.267219,-0.402244,0.426753,0.667016,-0.459535,-19.012123,134.607193,-3.105384,-0.91318,-0.049782,0.321698,0.245224,-25.489754,110.223213,-6.786901,0.49607,-0.335559,-0.499653,-0.625829,-2.965456,117.331406,-22.881989,0.044038,0.901687,-0.147154,0.404187,-4.109492,136.921341,16.02199,0.621189,0.763944,0.022071,0.173282,7.011935,137.578232,28.347513,0.369266,0.774466,0.486573,-0.164595,11.300412,113.183914,34.398827,0.122112,0.728651,0.668029,0.088846,27.536106,103.251144,19.581556,0.019528,0.876787,0.114843,0.466556,-14.019629,88.494202,7.801259,0.076174,0.93456,0.005478,0.347512,-11.321168,52.491714,-0.325702,-0.06799,0.930187,0.077347,0.352346,-17.980957,4.991836,-3.362212,-0.084275,0.858335,-0.043857,0.504218,-1.457215,88.562813,22.782362,-0.042709,0.841324,-0.111257,0.52723,2.259958,52.223976,28.713572,-0.035731,0.833353,0.08036,0.545701,0.075523,5.528599,39.875202,-0.06799,0.930187,0.077347,0.352346,-7.373314,1.584996,-14.819249,-0.035731,0.833353,0.08036,0.545701,14.263752,1.808532,33.531101
9,0.075,0.014049,0.905763,-0.035531,0.422059,-7.830596,88.537849,15.226703,-0.02465,0.913035,0.026131,0.406296,-7.38616,96.530464,14.805809,0.034558,0.90968,-0.104219,0.400533,-8.879172,119.009758,15.429796,0.181052,0.84457,-0.307043,0.399558,-5.43746,141.958176,11.622,0.209047,0.799729,-0.421563,0.372851,4.016387,151.963196,4.993482,-0.02389,0.885213,-0.095957,0.454553,-9.398706,136.757858,10.053536,-0.394233,0.428354,0.669612,-0.461209,-19.128408,134.605789,-3.240736,-0.913446,-0.044809,0.324215,0.241854,-25.852781,110.245941,-6.627869,0.500133,-0.338691,-0.48842,-0.629763,-3.394537,117.068016,-22.937653,0.045661,0.89966,-0.152737,0.406447,-4.11061,136.91893,15.803884,0.626429,0.757643,0.021006,0.181998,6.945108,137.616745,28.186146,0.368295,0.773722,0.49031,-0.159092,10.742285,113.219658,34.546623,0.12123,0.726506,0.669173,0.098493,27.075226,103.250099,19.917913,0.019092,0.876706,0.115376,0.466594,-14.119627,88.493446,7.742772,0.075446,0.934754,0.005026,0.347156,-11.374031,52.498817,-0.403144,-0.068148,0.93015,0.077416,0.352396,-17.985138,4.987878,-3.372292,-0.086043,0.858973,-0.041881,0.502999,-1.541565,88.582245,22.710632,-0.041864,0.841326,-0.113269,0.526867,2.369497,52.253159,28.576527,-0.034843,0.833097,0.07899,0.546347,0.018701,5.594343,39.856613,-0.068148,0.93015,0.077416,0.352396,-7.374792,1.584981,-14.827999,-0.034843,0.833097,0.07899,0.546347,14.203768,1.823062,33.535721
