Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.016338,0.911081,0.029795,0.410825,-0.401457,85.275871,17.471684,-0.02554,0.91801,0.083068,0.386916,-0.836346,93.273376,17.799274,0.012584,0.924863,0.001129,0.38009,-3.280095,114.922966,20.717358,0.166548,0.924856,-0.180525,0.290369,-2.752888,138.430862,20.991404,0.07945,0.963195,-0.194443,0.167738,4.436068,150.912949,15.899306,-0.047776,0.86364,0.075944,0.49606,-6.165919,133.132248,18.652483,-0.614854,0.289992,0.601921,-0.418988,-14.527653,133.013,4.296181,-0.841876,-0.355311,0.202676,0.352025,-11.794595,111.060165,-8.380387,0.436959,0.174111,-0.504582,-0.723982,7.222431,132.237885,-10.984195,-0.081218,0.955536,0.086219,0.270039,-0.61225,132.943649,24.145899,0.384699,0.872067,0.054961,-0.297464,13.35984,134.748764,32.952629,0.006486,0.280893,0.48807,-0.826344,26.797844,118.474899,18.64621,-0.064443,0.012923,0.798321,-0.598634,18.00536,137.777084,7.334832,0.013673,0.869721,0.222665,0.440248,-6.872062,85.224159,10.144218,0.169272,0.946026,-0.057885,0.270242,-0.496832,51.900696,-4.634535,-0.023663,0.933737,0.034022,0.355552,-17.392862,6.916419,-3.767896,-0.117761,0.862602,0.071343,0.486786,6.069149,85.327583,24.799147,0.026524,0.82767,-0.229391,0.511507,16.157961,49.723839,24.487123,-0.024746,0.843792,0.045383,0.534175,2.769452,6.788862,41.432564,-0.023663,0.933737,0.034022,0.355552,-7.245647,1.762466,-14.98678,-0.024746,0.843792,0.045383,0.534175,16.528543,1.979363,34.879051
1,0.008333,-0.015578,0.911437,0.029852,0.41006,-0.371281,85.4496,17.413965,-0.024673,0.918364,0.084075,0.385915,-0.795157,93.447449,17.747761,0.011764,0.925295,0.002544,0.379057,-3.215114,115.068176,20.720427,0.165842,0.925357,-0.180472,0.289207,-2.74853,138.576767,21.040874,0.079877,0.963258,-0.194943,0.166588,4.413216,151.067947,15.932777,-0.047622,0.863721,0.078058,0.495606,-6.1529,133.273987,18.698757,-0.61665,0.288176,0.603357,-0.415522,-14.530066,133.192719,4.351191,-0.839594,-0.356756,0.201946,0.356406,-11.831711,111.34639,-8.515371,0.434252,0.176331,-0.504847,-0.724887,7.143374,132.582993,-10.93926,-0.082068,0.955611,0.087453,0.269119,-0.586656,133.088806,24.179544,0.385098,0.871751,0.053739,-0.298098,13.397299,134.912704,32.963531,0.00811,0.279474,0.487874,-0.826927,26.800352,118.610489,18.656624,-0.062127,0.011912,0.798251,-0.598993,17.947538,137.925293,7.339307,0.01549,0.870629,0.219352,0.440057,-6.854637,85.411339,10.097703,0.167484,0.946653,-0.056173,0.269523,-0.708458,51.983429,-4.541532,-0.02397,0.933706,0.033789,0.355635,-17.403601,6.922498,-3.769095,-0.116193,0.863496,0.067911,0.486068,6.112076,85.487862,24.730227,0.025521,0.828339,-0.227529,0.511307,15.981186,49.821587,24.570154,-0.024745,0.843832,0.045196,0.534129,2.766789,6.79982,41.431915,-0.02397,0.933706,0.033789,0.355635,-7.251959,1.765387,-14.98251,-0.024745,0.843832,0.045196,0.534129,16.524197,1.985466,34.878437
2,0.016667,-0.014368,0.911845,0.029541,0.409217,-0.354394,85.629066,17.352047,-0.023918,0.918663,0.085162,0.385012,-0.758242,93.627785,17.68964,0.011345,0.925668,0.003872,0.378147,-3.161385,115.22673,20.718855,0.165041,0.925977,-0.179926,0.288018,-2.736359,138.735382,21.089178,0.080235,0.96326,-0.196086,0.165054,4.39207,151.243774,15.976567,-0.047332,0.864063,0.080269,0.494684,-6.135733,133.431549,18.742188,-0.617326,0.284532,0.605065,-0.414545,-14.544165,133.392014,4.412749,-0.837881,-0.358653,0.201249,0.35892,-11.844629,111.644432,-8.619782,0.431872,0.178539,-0.505529,-0.725294,7.068959,132.95166,-10.900343,-0.082882,0.955782,0.088278,0.267989,-0.558576,133.244568,24.211807,0.385081,0.871036,0.052609,-0.300403,13.441071,135.090744,32.966099,0.008935,0.277607,0.488022,-0.82746,26.77446,118.792343,18.589912,-0.059979,0.010665,0.798589,-0.598786,17.891317,138.087433,7.336602,0.017401,0.871236,0.215816,0.440533,-6.851962,85.609268,10.048328,0.165548,0.947081,-0.054442,0.269571,-0.937239,52.072121,-4.435578,-0.024,0.933666,0.033654,0.355752,-17.418489,6.930828,-3.769115,-0.114703,0.864033,0.064655,0.485912,6.143174,85.648857,24.655767,0.024267,0.828616,-0.225734,0.511713,15.803714,49.925171,24.646223,-0.024402,0.843878,0.044957,0.534092,2.767838,6.819219,41.431767,-0.024,0.933666,0.033654,0.355752,-7.264216,1.77026,-14.978559,-0.024402,0.843878,0.044957,0.534092,16.520374,1.993137,34.87669
3,0.025,-0.013365,0.912166,0.029552,0.408534,-0.339575,85.798523,17.280149,-0.023253,0.918989,0.086117,0.38406,-0.728581,93.797684,17.624784,0.011118,0.926091,0.005154,0.377101,-3.11688,115.382446,20.704712,0.164132,0.926575,-0.179278,0.287018,-2.724046,138.890793,21.12639,0.080523,0.963192,-0.197044,0.16417,4.368856,151.418884,16.012661,-0.047412,0.864449,0.082065,0.493706,-6.12119,133.587402,18.775177,-0.618729,0.281944,0.606747,-0.411753,-14.561495,133.571808,4.464443,-0.835701,-0.360278,0.200469,0.362788,-11.891144,111.936333,-8.759302,0.429253,0.180984,-0.50615,-0.725809,6.973522,133.304855,-10.864555,-0.083503,0.955872,0.089204,0.267166,-0.5316,133.396118,24.231941,0.384654,0.871044,0.052693,-0.300912,13.479246,135.256454,32.965294,0.010087,0.276067,0.487326,-0.828371,26.813803,118.979523,18.56588,-0.058383,0.009612,0.798159,-0.599535,17.85799,138.251572,7.336236,0.019073,0.872095,0.212436,0.440407,-6.848604,85.796219,9.986617,0.163677,0.947302,-0.053022,0.270217,-1.155074,52.156448,-4.347178,-0.024334,0.933603,0.033388,0.35592,-17.435961,6.941274,-3.770536,-0.113458,0.864613,0.061147,0.485626,6.169456,85.800835,24.573683,0.023315,0.829303,-0.223813,0.511488,15.627805,50.02346,24.738689,-0.024386,0.84392,0.044724,0.534046,2.765563,6.830126,41.4333,-0.024334,0.933603,0.033388,0.35592,-7.275084,1.77694,-14.972262,-0.024386,0.84392,0.044724,0.534046,16.516043,1.997786,34.878525
4,0.033333,-0.012292,0.91252,0.029121,0.407809,-0.332002,85.966942,17.215204,-0.022694,0.91932,0.087018,0.383097,-0.702227,93.966942,17.560873,0.010948,0.926513,0.006484,0.376048,-3.078882,115.537575,20.687557,0.163493,0.927125,-0.178762,0.285924,-2.71653,139.045364,21.163733,0.080702,0.963163,-0.198066,0.163018,4.348198,151.588303,16.047361,-0.047714,0.864667,0.084033,0.492963,-6.111833,133.742966,18.807625,-0.61974,0.278468,0.608386,-0.410177,-14.575538,133.74855,4.510708,-0.833654,-0.362438,0.199734,0.365741,-11.907405,112.222878,-8.891456,0.42691,0.183489,-0.507339,-0.725732,6.884852,133.670639,-10.832212,-0.08424,0.956037,0.090439,0.265927,-0.509799,133.546356,24.251427,0.38431,0.870907,0.051703,-0.301917,13.518894,135.423309,32.952518,0.010429,0.274838,0.48687,-0.829044,26.836031,119.151779,18.530893,-0.057054,0.008803,0.797844,-0.600093,17.826214,138.417709,7.333353,0.020814,0.872891,0.209103,0.440346,-6.853145,85.979828,9.932509,0.161702,0.947612,-0.051489,0.270615,-1.382833,52.241196,-4.2551,-0.024648,0.933582,0.033108,0.355979,-17.450806,6.948832,-3.771396,-0.112096,0.865096,0.057876,0.485482,6.18914,85.954056,24.4979,0.022056,0.829501,-0.221931,0.512043,15.446177,50.125134,24.820024,-0.023946,0.843909,0.044544,0.534097,2.764568,6.845671,41.429565,-0.024648,0.933582,0.033108,0.355979,-7.286152,1.780119,-14.967671,-0.023946,0.843909,0.044544,0.534097,16.510944,2.001523,34.874897
5,0.041667,-0.011306,0.91281,0.02906,0.407193,-0.328225,86.118965,17.141558,-0.021991,0.919661,0.087793,0.382143,-0.68338,94.1194,17.493025,0.010467,0.926937,0.007719,0.374993,-3.039574,115.669022,20.6626,0.162398,0.927799,-0.177966,0.284857,-2.719398,139.176483,21.183699,0.08143,0.963102,-0.198797,0.16212,4.303374,151.743149,16.067829,-0.047523,0.864962,0.085665,0.492183,-6.110219,133.872406,18.82489,-0.621366,0.276154,0.609748,-0.407247,-14.600078,133.907532,4.543531,-0.831176,-0.364401,0.199124,0.369739,-11.951145,112.494675,-9.041926,0.423894,0.186925,-0.508098,-0.726092,6.773475,134.017151,-10.801116,-0.085159,0.956143,0.091573,0.264864,-0.495636,133.675552,24.255735,0.383487,0.871361,0.050645,-0.301831,13.546632,135.575241,32.929951,0.010835,0.273929,0.485805,-0.829963,26.898628,119.314865,18.527992,-0.056018,0.007492,0.797413,-0.600782,17.801834,138.582947,7.329401,0.022218,0.873739,0.205847,0.44013,-6.859647,86.148544,9.868132,0.160021,0.948144,-0.049854,0.270058,-1.590857,52.314419,-4.167518,-0.025386,0.933513,0.032796,0.356136,-17.468763,6.954169,-3.777828,-0.111164,0.865544,0.054479,0.485292,6.203197,86.089386,24.414986,0.021123,0.82994,-0.220026,0.512193,15.28141,50.21682,24.917797,-0.024023,0.843968,0.04437,0.534016,2.763924,6.852546,41.430347,-0.025386,0.933513,0.032796,0.356136,-7.293623,1.784868,-14.964303,-0.024023,0.843968,0.04437,0.534016,16.508839,2.005161,34.875004
6,0.05,-0.010241,0.913146,0.028696,0.406492,-0.336136,86.264259,17.071175,-0.020967,0.919988,0.088475,0.381253,-0.673071,94.265396,17.424526,0.009935,0.927307,0.008961,0.374062,-2.993869,115.789436,20.637497,0.162017,0.928236,-0.177566,0.283899,-2.718226,139.296432,21.203068,0.081321,0.963205,-0.199241,0.161015,4.28488,151.873352,16.085407,-0.047046,0.86539,0.087352,0.491178,-6.103405,133.990311,18.840767,-0.622282,0.272448,0.611247,-0.406096,-14.627588,134.063171,4.580015,-0.829111,-0.366961,0.198445,0.372202,-11.968292,112.759766,-9.174444,0.421804,0.190278,-0.509235,-0.725641,6.66472,134.374146,-10.772162,-0.086118,0.956345,0.092211,0.263599,-0.477753,133.793961,24.260162,0.382538,0.871616,0.049712,-0.302455,13.581273,135.722961,32.900696,0.010488,0.273162,0.484983,-0.830701,26.951099,119.487,18.487736,-0.055469,0.006417,0.796713,-0.601773,17.796131,138.743439,7.319203,0.023783,0.874286,0.202948,0.440307,-6.87916,86.309471,9.808266,0.158167,0.948454,-0.04857,0.270294,-1.804324,52.392948,-4.099407,-0.02524,0.93346,0.032638,0.3563,-17.485779,6.963852,-3.780751,-0.110317,0.866422,0.051272,0.484267,6.206888,86.21904,24.334085,0.020181,0.830428,-0.218271,0.51219,15.118914,50.307484,25.000149,-0.023583,0.844084,0.044273,0.533859,2.762055,6.865552,41.429348,-0.02524,0.93346,0.032638,0.3563,-7.308848,1.788554,-14.962827,-0.023583,0.844084,0.044273,0.533859,16.50013,2.008543,34.866802
7,0.058333,-0.009444,0.913478,0.028637,0.405768,-0.341029,86.389603,16.996311,-0.020304,0.920382,0.089126,0.380186,-0.665635,94.391045,17.354265,0.00984,0.927779,0.009958,0.372866,-2.966303,115.906433,20.606295,0.161112,0.928928,-0.175951,0.283156,-2.711562,139.412613,21.21336,0.08132,0.963033,-0.200573,0.160392,4.251338,152.022552,16.12215,-0.047836,0.865657,0.089323,0.490276,-6.097709,134.107513,18.85017,-0.623484,0.269172,0.612561,-0.404454,-14.648821,134.186691,4.605575,-0.826515,-0.36975,0.198076,0.375398,-11.981073,112.994827,-9.318498,0.419077,0.193747,-0.510172,-0.725646,6.542876,134.714828,-10.742469,-0.086872,0.956372,0.093776,0.262701,-0.458071,133.906815,24.254854,0.381492,0.871926,0.049353,-0.30294,13.612334,135.848923,32.873913,0.010129,0.272208,0.48417,-0.831492,27.007967,119.649109,18.444239,-0.055065,0.005224,0.796272,-0.602405,17.78965,138.897507,7.311787,0.024991,0.874903,0.200202,0.440272,-6.895846,86.448112,9.744135,0.156724,0.948762,-0.047313,0.270279,-1.990295,52.454002,-4.034249,-0.02575,0.933313,0.032399,0.356672,-17.512098,6.96964,-3.791121,-0.109144,0.866517,0.048489,0.48465,6.213787,86.331085,24.248489,0.018819,0.83035,-0.216812,0.512989,14.952982,50.379925,25.053776,-0.023948,0.844156,0.043936,0.533758,2.760175,6.871876,41.430508,-0.02575,0.933313,0.032399,0.356672,-7.321762,1.793373,-14.960535,-0.023948,0.844156,0.043936,0.533758,16.49822,2.012113,34.86993
8,0.066667,-0.008612,0.913788,0.028758,0.405081,-0.343942,86.503677,16.918331,-0.019617,0.92067,0.089826,0.37936,-0.656866,94.505249,17.28371,0.009349,0.928114,0.010954,0.372018,-2.936425,115.996864,20.574202,0.160321,0.929413,-0.175319,0.282404,-2.720017,139.502533,21.215923,0.081476,0.963057,-0.200857,0.159808,4.212296,152.130203,16.126951,-0.047896,0.865883,0.091058,0.489552,-6.101499,134.195267,18.850883,-0.624822,0.266004,0.613747,-0.402683,-14.675987,134.298447,4.62051,-0.823761,-0.3727,0.197722,0.378706,-11.995934,113.220123,-9.472511,0.416303,0.197233,-0.511563,-0.725324,6.410813,135.050613,-10.714802,-0.087728,0.956575,0.094783,0.261312,-0.45184,133.995987,24.245144,0.379793,0.872403,0.049022,-0.303756,13.637773,135.961487,32.827431,0.0086,0.271492,0.483165,-0.832328,27.074114,119.824944,18.364767,-0.055233,0.004349,0.795366,-0.603592,17.803505,139.04538,7.301955,0.026057,0.875587,0.197675,0.439992,-6.909955,86.577591,9.676435,0.155219,0.949064,-0.046309,0.27026,-2.161231,52.513103,-3.982573,-0.026093,0.933332,0.032326,0.356603,-17.524097,6.974584,-3.790305,-0.108713,0.867302,0.045525,0.483628,6.22207,86.429771,24.160227,0.018302,0.830978,-0.215418,0.512578,14.830163,50.451027,25.129274,-0.023837,0.844203,0.043839,0.533695,2.754752,6.883201,41.433895,-0.026093,0.933332,0.032326,0.356603,-7.332007,1.800064,-14.958914,-0.023837,0.844203,0.043839,0.533695,16.490328,2.019138,34.871346
9,0.075,-0.007712,0.914135,0.028406,0.404339,-0.365466,86.593651,16.849857,-0.018707,0.921005,0.090301,0.378478,-0.662632,94.595787,17.216167,0.008981,0.928473,0.011862,0.371103,-2.908485,116.068756,20.540377,0.15967,0.929808,-0.17507,0.281626,-2.723347,139.573761,21.215084,0.081156,0.96321,-0.200641,0.159321,4.184483,152.212234,16.119642,-0.047974,0.866238,0.092831,0.488583,-6.102069,134.265182,18.849068,-0.62593,0.262119,0.614598,-0.402213,-14.707793,134.391388,4.637743,-0.820941,-0.376005,0.197962,0.381428,-11.976428,113.419319,-9.603169,0.412879,0.200959,-0.513023,-0.725226,6.283395,135.380859,-10.69481,-0.088615,0.956778,0.095746,0.259916,-0.441678,134.066086,24.232071,0.378639,0.873258,0.049033,-0.302734,13.666919,136.056427,32.77737,0.008066,0.271037,0.481893,-0.833219,27.17948,119.952286,18.349632,-0.055339,0.003537,0.794321,-0.604963,17.824871,139.176483,7.290833,0.026961,0.876182,0.195685,0.439643,-6.943501,86.680374,9.61902,0.153828,0.949385,-0.04546,0.27007,-2.324357,52.561497,-3.948367,-0.026473,0.933279,0.032399,0.356708,-17.542187,6.974161,-3.793119,-0.108297,0.867977,0.043235,0.48272,6.21257,86.506935,24.080694,0.017495,0.831167,-0.214403,0.512725,14.714527,50.506474,25.17244,-0.023559,0.844259,0.043834,0.533621,2.750314,6.893918,41.43943,-0.026473,0.933279,0.032399,0.356708,-7.343319,1.805944,-14.958466,-0.023559,0.844259,0.043834,0.533621,16.482235,2.025236,34.872646
