straight,Head,Core,Right_Leg,Left_Leg,Right_Arm,Left_Arm,Acceleration,Velocity,Position,Joint Angle,rotation,Overall
p22_straight_main_001,0.202942217,0.39641701,0.237057743,0.217934283,0.239573438,0.239867261,0.047834247,0.047661296,0.047622249,0.515402791,0.665437571,0.620427137
p22_straight_main_002,0.256380009,0.464580454,0.283377415,0.251629414,0.351588379,0.281093639,0.055736446,0.056232718,0.052591911,0.523429653,0.923736575,0.803644499
p22_straight_main_003,0.210058588,0.406033153,0.223399538,0.213906581,0.252917439,0.250482724,0.047795445,0.047661798,0.047620392,0.454062631,0.740809034,0.654785113
p22_straight_main_004,0.188105849,0.371813807,0.20826929,0.221768297,0.212888798,0.246856314,0.048177817,0.048180071,0.048545259,0.451140861,0.661449262,0.598356741
p22_straight_main_005,0.170852292,0.375930766,0.225841658,0.218978525,0.236860825,0.256405658,0.04780694,0.047873743,0.04770393,0.419797496,0.733929481,0.639689886
p22_straight_main_006,0.240181009,0.475277745,0.265883654,0.220441397,0.343238447,0.257935598,0.047928769,0.048069369,0.049209452,0.516492532,0.870750254,0.764472937
p22_straight_main_007,0.12937355,0.326479014,0.209406474,0.228324617,0.188258513,0.234473996,0.048115479,0.04799544,0.047655559,0.427966874,0.598869638,0.547598809
p22_straight_main_008,0.24787867,0.439484554,0.277198147,0.231074174,0.31914337,0.254882611,0.048406364,0.052345765,0.049310601,0.547558403,0.817619433,0.736601124
p22_straight_main_009,0.243694499,0.43359209,0.262544872,0.235778277,0.324471539,0.263273173,0.04828236,0.048004923,0.055128128,0.486814061,0.873739913,0.757662157
p22_straight_main_010,0.179269727,0.360203796,0.202266061,0.219566986,0.190377512,0.242463136,0.048116568,0.048170204,0.048339004,0.410220562,0.657270215,0.583155319
p22_straight_main_011,0.224950805,0.428282391,0.238315529,0.224260544,0.254095855,0.267845951,0.047766297,0.04768318,0.047625663,0.457500153,0.799431929,0.696852396
p22_straight_main_012,0.251754525,0.479349136,0.254135769,0.232018354,0.340088569,0.271877344,0.047976981,0.048038437,0.048927359,0.542799598,0.864656632,0.768099522
p22_straight_main_013,0.228983014,0.483817342,0.29049537,0.24042688,0.333667126,0.271732875,0.04799071,0.047934278,0.051333798,0.555382072,0.875482061,0.779452064
p22_straight_main_014,0.11502157,0.31299476,0.186857698,0.204676578,0.174513922,0.211532396,0.048115462,0.047839542,0.047619237,0.441868286,0.490216673,0.475712157
p22_straight_main_015,0.207489017,0.411024607,0.211821985,0.215013603,0.24552245,0.258455351,0.047750949,0.047660856,0.047625012,0.446350916,0.740796364,0.652462729
p22_straight_main_016,0.172186722,0.386110269,0.28703582,0.235480545,0.267387675,0.238785909,0.048196481,0.048025521,0.047705388,0.496052147,0.757812247,0.679284217
p22_straight_main_017,0.193254077,0.386427147,0.204356083,0.214596704,0.242496632,0.251102897,0.047781844,0.047650772,0.047674068,0.438134305,0.711595792,0.629557346
p22_straight_main_018,0.160655809,0.346535171,0.185896034,0.215659322,0.202831011,0.23968375,0.048100614,0.047922782,0.047769753,0.433298183,0.609083865,0.556348161
p22_straight_main_019,0.243138072,0.471607359,0.268892087,0.227713171,0.318487794,0.257115524,0.047892783,0.048083187,0.049507176,0.495387636,0.876778856,0.76236149
p22_straight_main_020,0.208251774,0.409134792,0.224714793,0.219812428,0.251963125,0.262970172,0.047793598,0.047662961,0.047624364,0.459703228,0.755117995,0.666493565
p22_straight_main_021,0.16855312,0.365940218,0.203567686,0.219606634,0.221083289,0.250751685,0.048224477,0.048068381,0.047620177,0.437297047,0.668489631,0.599131856
p22_straight_main_022,0.174215438,0.362111196,0.207618474,0.227477017,0.207597285,0.26404428,0.048098311,0.047957083,0.047675965,0.426845598,0.69290851,0.613089636
p22_straight_main_023,0.234182525,0.473755971,0.260712177,0.230658928,0.308086121,0.251921189,0.04780427,0.047652126,0.048231619,0.480632065,0.869493417,0.752835011
p22_straight_main_024,0.233992538,0.476465942,0.264994504,0.235764097,0.312816082,0.26461493,0.047982867,0.047932517,0.048079735,0.511337389,0.867073059,0.760352358
p22_straight_main_025,0.238065463,0.467123573,0.269007058,0.227145297,0.324293048,0.257580035,0.047810511,0.047654963,0.048165006,0.498922773,0.876463269,0.76320112
p22_straight_main_026,0.202501682,0.447950953,0.243292086,0.224913322,0.297506115,0.245356924,0.047755688,0.047651158,0.047621281,0.486519335,0.798925969,0.705203979
p22_straight_main_027,0.23488104,0.422565678,0.243761334,0.237297512,0.337445348,0.271761387,0.048257579,0.048098439,0.050463289,0.517159223,0.848115691,0.74882875
p22_straight_main_028,0.210795366,0.409239645,0.227385968,0.224017467,0.257852108,0.260769561,0.047818924,0.047676055,0.047626538,0.486659445,0.741312745,0.664916755
p22_straight_main_029,0.156115474,0.347322238,0.201021494,0.227680236,0.192810033,0.236832336,0.048135054,0.048037308,0.047718092,0.441817044,0.611273654,0.560436671
p22_straight_main_030,0.187837027,0.35655676,0.182705125,0.213700855,0.221713368,0.254443484,0.048243394,0.048147266,0.047761195,0.446447542,0.64475317,0.585261482
p22_straight_post_001,0.242660813,0.479683277,0.306646181,0.231190568,0.260101274,0.291378111,0.047823185,0.047701672,0.048067386,0.484999114,0.907645604,0.780851657
