Format Version,1.23,Take Name,p23_hook_right_main_025,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-03 04.06.16.904 오후,Total Frames in Take,1285,Total Exported Frames,1285,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.008847,0.942092,0.007511,0.335152,7.841673,83.162376,22.342770,-0.043390,0.926603,0.123843,0.352401,7.684950,90.381607,22.402147,0.017406,0.932172,0.050779,0.358013,5.127532,105.106842,25.435839,0.096456,0.965357,0.004012,0.242418,5.057068,123.029755,27.367088,0.043093,0.991318,-0.071921,0.101292,8.398216,136.356384,26.556973,0.032951,0.917614,0.077560,0.388436,1.819616,117.847786,24.997000,-0.564332,0.598970,-0.284310,0.491867,-9.807619,119.864441,13.174415,-0.560069,0.543460,-0.284360,0.556878,-6.994937,97.612755,6.926833,-0.601671,0.439158,-0.383052,0.546263,-1.759234,78.041771,0.862650,-0.023083,0.924226,0.010824,0.380994,7.050511,117.363380,29.683327,0.600862,0.767510,0.202203,0.094912,18.887529,117.938339,41.455643,0.620157,0.750337,0.220546,-0.061309,24.939003,95.570320,39.190247,0.607164,0.768864,0.165167,-0.113663,29.157778,78.497978,32.283737,0.052350,0.942856,0.151635,0.292041,1.015112,83.059929,16.780508,0.067124,0.989492,0.026220,0.125346,0.662950,50.150375,5.798863,-0.005177,0.974352,0.060388,0.216714,-4.982630,5.902627,2.726417,-0.046310,0.932351,-0.084848,0.348394,14.668235,83.264832,27.905031,0.068231,0.932341,-0.110098,0.337586,15.613111,49.217960,34.513908,-0.030669,0.903266,0.037329,0.426352,6.600798,6.006074,41.633400,-0.005177,0.974352,0.060388,0.216714,0.795200,1.804694,-9.806706,-0.030669,0.903266,0.037329,0.426352,17.244076,1.544939,33.026749
1,0.008333,-0.008628,0.942080,0.008165,0.335177,7.838875,83.152542,22.339243,-0.043408,0.926611,0.123659,0.352444,7.681962,90.371689,22.408571,0.017479,0.932166,0.050809,0.358023,5.124248,105.107323,25.438711,0.096494,0.965350,0.004173,0.242427,5.055817,123.030029,27.371925,0.043177,0.991317,-0.071858,0.101301,8.396952,136.356949,26.566345,0.032995,0.917610,0.077581,0.388439,1.817808,117.848694,25.001213,-0.564575,0.598769,-0.284368,0.491799,-9.809258,119.866982,13.178748,-0.559827,0.543778,-0.284054,0.556968,-6.986895,97.613373,6.942413,-0.601646,0.439273,-0.382810,0.546367,-1.758000,78.044952,0.857990,-0.022962,0.924243,0.010858,0.380958,7.048567,117.363182,29.687578,0.600828,0.767483,0.202409,0.094902,18.886671,117.933990,41.458996,0.619998,0.750450,0.220621,-0.061273,24.940132,95.567108,39.187672,0.607340,0.768667,0.165262,-0.113923,29.167944,78.490906,32.279186,0.052206,0.942859,0.151756,0.291995,1.012541,83.057587,16.776571,0.067837,0.989177,0.025963,0.127484,0.671775,50.149525,5.790103,-0.005244,0.974081,0.060187,0.217981,-5.032826,5.909175,2.720129,-0.046396,0.932302,-0.084913,0.348498,14.665211,83.247498,27.901915,0.068281,0.932416,-0.110058,0.337381,15.613268,49.201962,34.517166,-0.030867,0.903250,0.037687,0.426340,6.599514,5.989912,41.633816,-0.005244,0.974081,0.060187,0.217981,0.777080,1.805910,-9.796409,-0.030867,0.903250,0.037687,0.426340,17.245628,1.539972,33.024876
2,0.016667,-0.008668,0.942073,0.008221,0.335195,7.838306,83.154449,22.337786,-0.043459,0.926599,0.123680,0.352462,7.680578,90.373573,22.407679,0.017580,0.932159,0.050891,0.358024,5.121587,105.106422,25.437271,0.096808,0.965317,0.004329,0.242430,5.055502,123.028709,27.374533,0.043048,0.991338,-0.071733,0.101246,8.403831,136.354187,26.575127,0.033045,0.917629,0.077675,0.388370,1.816815,117.848328,25.002649,-0.564624,0.598858,-0.284222,0.491719,-9.811918,119.869209,13.182264,-0.559833,0.543803,-0.283894,0.557018,-6.990629,97.616310,6.942919,-0.601502,0.439392,-0.382583,0.546590,-1.758859,78.049469,0.852807,-0.022851,0.924235,0.010896,0.380985,7.047511,117.361069,29.688904,0.600774,0.767444,0.202671,0.094996,18.885115,117.927956,41.461014,0.619709,0.750597,0.220957,-0.061178,24.940760,95.562035,39.186062,0.607491,0.768483,0.165584,-0.113891,29.183897,78.485039,32.272224,0.052195,0.942873,0.151711,0.291976,1.012196,83.059166,16.774841,0.067846,0.989168,0.025977,0.127546,0.671027,50.150089,5.791433,-0.005199,0.974075,0.060166,0.218017,-5.034077,5.909925,2.719751,-0.046385,0.932294,-0.084941,0.348513,14.664414,83.249733,27.900728,0.068235,0.932337,-0.110081,0.337599,15.611031,49.204456,34.517517,-0.031629,0.903319,0.037071,0.426192,6.598766,5.992293,41.635380,-0.005199,0.974075,0.060166,0.218017,0.776257,1.805831,-9.796318,-0.031629,0.903319,0.037071,0.426192,17.246717,1.536204,33.031895
3,0.025000,-0.008983,0.942109,0.006958,0.335115,7.832743,83.170654,22.344503,-0.043351,0.926554,0.124132,0.352433,7.676837,90.389969,22.395702,0.017674,0.932141,0.050980,0.358054,5.118553,105.106148,25.436306,0.096830,0.965334,0.004383,0.242353,5.054419,123.027977,27.377745,0.043217,0.991360,-0.071503,0.101115,8.402809,136.353516,26.579594,0.033151,0.917602,0.077789,0.388402,1.815280,117.848541,25.004452,-0.564514,0.598785,-0.284369,0.491849,-9.812403,119.874191,13.183850,-0.559622,0.543795,-0.283939,0.557215,-6.990963,97.621170,6.944981,-0.601430,0.439207,-0.382867,0.546618,-1.760564,78.058327,0.849785,-0.022769,0.924217,0.011066,0.381029,7.045629,117.359581,29.690918,0.600606,0.767389,0.203246,0.095279,18.882238,117.921745,41.464256,0.619397,0.750730,0.221456,-0.060899,24.944765,95.558159,39.184654,0.607735,0.768230,0.165957,-0.113748,29.204727,78.482094,32.267895,0.052280,0.942874,0.151614,0.292008,1.005789,83.062660,16.782827,0.067047,0.989502,0.026303,0.125293,0.657405,50.152161,5.803915,-0.005086,0.974354,0.060381,0.216709,-4.980624,5.903876,2.725290,-0.046324,0.932336,-0.084769,0.348452,14.659697,83.278641,27.906176,0.068074,0.932208,-0.110082,0.337988,15.606978,49.230942,34.510410,-0.030619,0.903300,0.037009,0.426313,6.605065,6.016841,41.629620,-0.005086,0.974354,0.060381,0.216709,0.796192,1.805219,-9.808065,-0.030619,0.903300,0.037009,0.426313,17.246012,1.547186,33.024506
4,0.033333,-0.008658,0.942074,0.008368,0.335188,7.834730,83.156082,22.336039,-0.043539,0.926570,0.123688,0.352524,7.676427,90.375175,22.407978,0.017733,0.932125,0.051100,0.358074,5.115030,105.106964,25.436581,0.096749,0.965381,0.004342,0.242199,5.051288,123.028275,27.382814,0.043568,0.991386,-0.071244,0.100891,8.397441,136.354248,26.582373,0.033240,0.917581,0.077822,0.388437,1.812122,117.849556,25.007984,-0.564485,0.598829,-0.284332,0.491849,-9.814446,119.878426,13.186844,-0.559599,0.543783,-0.283882,0.557279,-6.994492,97.625885,6.945604,-0.601283,0.439336,-0.382787,0.546732,-1.762452,78.065445,0.847918,-0.022632,0.924223,0.011143,0.381019,7.042236,117.359200,29.694563,0.600455,0.767348,0.203731,0.095519,18.879282,117.916176,41.467705,0.618861,0.750991,0.222167,-0.060546,24.948118,95.554688,39.184387,0.607819,0.768042,0.166779,-0.113365,29.235516,78.483673,32.263786,0.052337,0.942861,0.151532,0.292081,1.008537,83.061829,16.773182,0.067031,0.989467,0.026214,0.125600,0.655566,50.150013,5.798356,-0.005038,0.974341,0.060552,0.216721,-4.981054,5.901110,2.725990,-0.046462,0.932285,-0.084985,0.348517,14.660922,83.250336,27.898895,0.068247,0.932355,-0.110027,0.337567,15.611404,49.206070,34.520336,-0.030820,0.903230,0.037730,0.426382,6.599959,5.993006,41.633751,-0.005038,0.974341,0.060552,0.216721,0.795933,1.806787,-9.808699,-0.030820,0.903230,0.037730,0.426382,17.246586,1.543570,33.025185
5,0.041667,-0.008889,0.942094,0.007642,0.335144,7.832029,83.167061,22.342251,-0.043597,0.926547,0.123840,0.352526,7.674094,90.386253,22.403198,0.017921,0.932110,0.051217,0.358088,5.111247,105.106499,25.433271,0.096828,0.965349,0.004670,0.242288,5.052287,123.027130,27.385824,0.043481,0.991379,-0.071199,0.101035,8.398649,136.353607,26.594948,0.033337,0.917582,0.077967,0.388399,1.811776,117.850128,25.009098,-0.564349,0.598876,-0.284350,0.491937,-9.815578,119.883766,13.189543,-0.559646,0.543695,-0.283888,0.557315,-6.998739,97.632202,6.943403,-0.601215,0.439495,-0.382631,0.546789,-1.762470,78.071037,0.847287,-0.022499,0.924156,0.011158,0.381190,7.041661,117.356720,29.695616,0.600261,0.767359,0.204210,0.095632,18.874582,117.909279,41.473118,0.618323,0.751331,0.222593,-0.060267,24.953260,95.551216,39.182346,0.607530,0.768174,0.167319,-0.113229,29.268663,78.480103,32.261005,0.052299,0.942887,0.151553,0.291993,1.005380,83.064667,16.780094,0.067020,0.989497,0.026297,0.125350,0.654293,50.153015,5.804706,-0.005115,0.974344,0.060462,0.216729,-4.981165,5.904374,2.726549,-0.046361,0.932310,-0.084888,0.348487,14.658679,83.269447,27.904406,0.068084,0.932174,-0.110009,0.338104,15.605201,49.223385,34.517193,-0.030737,0.903245,0.037319,0.426394,6.603719,6.007960,41.628914,-0.005115,0.974344,0.060462,0.216729,0.796583,1.808071,-9.807147,-0.030737,0.903245,0.037319,0.426394,17.248362,1.547411,33.023636
