Format Version,1.23,Take Name,p23_hook_right_post_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-03 04.08.07.823 오후,Total Frames in Take,1286,Total Exported Frames,1286,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.007474,0.933593,0.000654,0.358257,7.645216,83.220726,21.445856,-0.048194,0.919376,0.121153,0.371142,7.541056,90.441093,21.416000,0.008164,0.925135,0.047105,0.376617,4.814040,105.195236,24.272083,0.074009,0.950099,0.020975,0.302317,4.446731,123.139633,25.954109,0.034187,0.975439,-0.067872,0.206746,7.210472,136.619263,25.671175,0.030971,0.915790,0.062970,0.395480,1.371603,117.886162,23.525978,-0.596582,0.601686,-0.270574,0.457006,-10.075380,119.665733,11.491330,-0.574039,0.589157,-0.231284,0.519500,-7.059651,97.192932,6.203627,-0.648406,0.476370,-0.313010,0.504645,-2.853049,77.795761,-1.130380,-0.034941,0.918070,0.009154,0.394770,6.413399,117.530037,28.426191,0.590432,0.773464,0.205409,0.104645,17.870384,118.481003,40.545025,0.604712,0.763248,0.214798,-0.075084,24.409973,96.214752,38.666515,0.651327,0.744475,0.100421,-0.106983,29.292429,79.315269,31.564072,0.060908,0.939164,0.132405,0.311015,1.100427,83.101952,15.554944,0.074724,0.987815,0.029767,0.133234,-0.011409,49.880638,5.611733,-0.009457,0.972009,0.064197,0.225805,-6.257440,5.747041,2.091977,-0.044651,0.923180,-0.080939,0.373087,14.190006,83.339500,27.336767,0.068728,0.917971,-0.092290,0.379589,14.954912,49.237202,33.677685,-0.038542,0.871585,0.042202,0.486902,6.180396,5.709115,38.920738,-0.009457,0.972009,0.064197,0.225805,-0.203750,1.776103,-10.351501,-0.038542,0.871585,0.042202,0.486902,17.968817,1.489946,31.815290
1,0.008333,-0.007481,0.933575,0.000785,0.358304,7.646330,83.223129,21.445024,-0.048172,0.919372,0.121175,0.371148,7.541397,90.443489,21.416899,0.008073,0.925130,0.047255,0.376611,4.816232,105.189384,24.272243,0.073963,0.950106,0.020982,0.302304,4.443874,123.133324,25.958008,0.034220,0.975439,-0.067851,0.206747,7.206334,136.613220,25.674824,0.031118,0.915781,0.063017,0.395481,1.370230,117.879486,23.528776,-0.596606,0.601105,-0.271060,0.457451,-10.076437,119.664146,11.494590,-0.573342,0.589579,-0.231664,0.519623,-7.040404,97.190872,6.220625,-0.648233,0.476338,-0.313352,0.504685,-2.861372,77.787086,-1.124903,-0.035087,0.918078,0.009145,0.394737,6.412114,117.523766,28.428921,0.590515,0.773519,0.205042,0.104491,17.869625,118.479347,40.546886,0.604686,0.763298,0.214633,-0.075256,24.406137,96.211853,38.672417,0.651405,0.744408,0.100329,-0.107066,29.287985,79.315659,31.569969,0.060897,0.939193,0.132341,0.310956,1.102144,83.105072,15.553430,0.074730,0.987848,0.029820,0.132977,-0.011016,49.882484,5.614646,-0.009377,0.972021,0.064168,0.225767,-6.257840,5.749252,2.091758,-0.044588,0.923237,-0.081015,0.372936,14.190516,83.341179,27.336618,0.068713,0.917979,-0.092214,0.379592,14.950496,49.239349,33.680634,-0.038423,0.871556,0.042195,0.486964,6.179694,5.709827,38.917969,-0.009377,0.972021,0.064168,0.225767,-0.205905,1.777051,-10.352166,-0.038423,0.871556,0.042195,0.486964,17.968098,1.488884,31.813553
2,0.016667,-0.007502,0.933587,0.000810,0.358270,7.644115,83.223557,21.446869,-0.048132,0.919370,0.121220,0.371144,7.538778,90.443916,21.418972,0.008079,0.925127,0.047232,0.376621,4.814251,105.189552,24.276022,0.073946,0.950096,0.021022,0.302337,4.442371,123.133560,25.961109,0.034214,0.975429,-0.067809,0.206809,7.204146,136.613617,25.678968,0.031073,0.915794,0.063112,0.395439,1.368625,117.879723,23.532013,-0.596660,0.601122,-0.270990,0.457399,-10.079219,119.664192,11.498917,-0.573468,0.589574,-0.231353,0.519628,-7.042406,97.191063,6.224752,-0.648321,0.476490,-0.312861,0.504733,-2.860161,77.805588,-1.121598,-0.035041,0.918086,0.009125,0.394725,6.410401,117.524040,28.432274,0.590514,0.773580,0.204864,0.104398,17.868345,118.478462,40.549923,0.604566,0.763423,0.214480,-0.075395,24.405857,96.211113,38.677303,0.651880,0.743988,0.100073,-0.107332,29.291824,79.318359,31.575853,0.060938,0.939169,0.132327,0.311027,1.099506,83.105316,15.555750,0.074675,0.987850,0.029855,0.132984,-0.015904,49.882816,5.616918,-0.009473,0.972028,0.064228,0.225713,-6.257496,5.749038,2.091592,-0.044596,0.923238,-0.081025,0.372932,14.188725,83.341797,27.337986,0.068694,0.917920,-0.092206,0.379739,14.948991,49.240120,33.682831,-0.038687,0.871562,0.042145,0.486936,6.179195,5.710229,38.918785,-0.009473,0.972028,0.064228,0.225713,-0.205875,1.779051,-10.353189,-0.038687,0.871562,0.042145,0.486936,17.969137,1.491702,31.815487
3,0.025000,-0.007537,0.933594,0.000927,0.358253,7.643752,83.225250,21.447786,-0.048104,0.919385,0.121165,0.371129,7.537327,90.445595,21.421282,0.008082,0.925133,0.047316,0.376597,4.814692,105.189323,24.276747,0.073901,0.950104,0.021145,0.302313,4.441809,123.133049,25.964674,0.034216,0.975434,-0.067785,0.206793,7.201375,136.613602,25.685263,0.031095,0.915822,0.063045,0.395385,1.368264,117.879417,23.534895,-0.596596,0.601083,-0.271063,0.457490,-10.080981,119.663597,11.503082,-0.573374,0.589588,-0.231404,0.519693,-7.043795,97.190628,6.228451,-0.648142,0.476705,-0.312965,0.504695,-2.864200,77.809753,-1.117840,-0.035081,0.918065,0.009148,0.394769,6.410295,117.523262,28.434864,0.590510,0.773539,0.204938,0.104573,17.866982,118.478607,40.553642,0.604519,0.763429,0.214596,-0.075374,24.403015,96.210480,38.685123,0.652118,0.743785,0.100030,-0.107332,29.291079,79.319672,31.582218,0.060914,0.939193,0.132303,0.310969,1.098929,83.107155,15.556896,0.074642,0.988103,0.030113,0.131052,-0.016038,49.884010,5.620167,-0.009388,0.971989,0.064259,0.225876,-6.258538,5.751172,2.084652,-0.044597,0.923196,-0.081038,0.373033,14.188576,83.343346,27.338678,0.068679,0.917963,-0.092190,0.379642,14.947865,49.241825,33.684460,-0.038492,0.871555,0.042386,0.486944,6.180387,5.711487,38.920551,-0.009388,0.971989,0.064259,0.225876,-0.203592,1.781468,-10.358607,-0.038492,0.871555,0.042386,0.486944,17.969786,1.496052,31.814503
4,0.033333,-0.007602,0.933618,0.000986,0.358188,7.643146,83.224396,21.449068,-0.048153,0.919363,0.121320,0.371125,7.535542,90.444717,21.423037,0.008209,0.925131,0.047174,0.376616,4.808397,105.194817,24.283689,0.073799,0.950081,0.021239,0.302404,4.441673,123.138954,25.968603,0.034138,0.975401,-0.067761,0.206966,7.198009,136.620209,25.691166,0.030987,0.915797,0.063126,0.395438,1.366366,117.885971,23.539637,-0.596690,0.601189,-0.270911,0.457318,-10.081699,119.667969,11.506378,-0.573427,0.589681,-0.231352,0.519553,-7.046639,97.194832,6.231240,-0.648199,0.476672,-0.312838,0.504732,-2.869945,77.809692,-1.115561,-0.035095,0.918099,0.009368,0.394684,6.408168,117.528900,28.439775,0.590508,0.773541,0.204913,0.104616,17.867077,118.481827,40.556641,0.604568,0.763406,0.214548,-0.075355,24.402761,96.213402,38.690411,0.651838,0.744049,0.099991,-0.107243,29.289165,79.319725,31.588116,0.060952,0.939181,0.132302,0.310998,1.097520,83.105614,15.559083,0.074618,0.987885,0.029933,0.132741,-0.019581,49.882778,5.621546,-0.009295,0.972047,0.064368,0.225600,-6.256077,5.748653,2.091532,-0.044615,0.923273,-0.081136,0.372818,14.188769,83.343170,27.339054,0.068776,0.918145,-0.092083,0.379211,14.948098,49.242867,33.691341,-0.038397,0.871508,0.042379,0.487036,6.178690,5.711970,38.919556,-0.009295,0.972047,0.064368,0.225600,-0.208694,1.781361,-10.356176,-0.038397,0.871508,0.042379,0.487036,17.968756,1.495094,31.815472
5,0.041667,-0.007658,0.933613,0.001034,0.358200,7.643066,83.224945,21.450323,-0.048294,0.919369,0.121326,0.371090,7.534463,90.445259,21.424646,0.008388,0.925156,0.047296,0.376535,4.803154,105.196358,24.284229,0.073897,0.950105,0.021093,0.302315,4.440891,123.139969,25.975666,0.034049,0.975424,-0.067689,0.206898,7.200780,136.620422,25.694895,0.030925,0.915750,0.063139,0.395549,1.363927,117.888573,23.545370,-0.596575,0.601143,-0.271083,0.457427,-10.081327,119.669052,11.509219,-0.573348,0.589675,-0.231423,0.519614,-7.048025,97.195374,6.235360,-0.648235,0.476631,-0.312893,0.504690,-2.872657,77.811234,-1.111519,-0.035113,0.918106,0.009458,0.394662,6.406538,117.528572,28.444460,0.590525,0.773563,0.204796,0.104587,17.865971,118.480888,40.560867,0.604492,0.763458,0.214587,-0.075325,24.401020,96.212097,38.696739,0.651906,0.744002,0.100085,-0.107066,29.290688,79.320618,31.595459,0.060939,0.939195,0.132307,0.310958,1.097605,83.105545,15.560171,0.074632,0.987862,0.029925,0.132901,-0.018975,49.882690,5.622664,-0.009449,0.972029,0.064381,0.225668,-6.256274,5.748725,2.092110,-0.044599,0.923230,-0.081144,0.372924,14.188528,83.344345,27.340475,0.068742,0.918067,-0.092080,0.379407,14.945877,49.244030,33.692951,-0.038438,0.871534,0.042418,0.486983,6.178215,5.712658,38.920166,-0.009449,0.972029,0.064381,0.225668,-0.205731,1.782730,-10.354472,-0.038438,0.871534,0.042418,0.486983,17.967918,1.497268,31.814606
