Format Version,1.23,Take Name,p23_jap_pre_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-03 02.57.54.224 오후,Total Frames in Take,1192,Total Exported Frames,1192,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.002149,0.936832,0.034853,0.348033,-1.682102,85.877289,14.737213,-0.023941,0.935644,0.091158,0.340128,-1.886556,93.087540,15.198408,0.028082,0.934428,0.128358,0.331029,-3.322371,106.291367,17.272562,-0.002920,0.977012,0.056335,0.205584,-3.902312,123.520508,21.885120,0.019430,0.996497,-0.033631,0.074067,-3.589134,137.292175,21.769983,-0.034467,0.829265,0.257784,0.494649,-6.929147,118.662308,18.680464,0.308050,-0.481189,-0.027249,-0.820256,-15.381739,121.952797,4.741685,0.105398,0.430761,-0.446187,-0.777337,-2.116555,115.715500,-15.231442,0.117456,0.472950,-0.149784,-0.860283,2.629290,131.851761,-3.390884,-0.106839,0.906776,0.313714,0.260625,-1.446526,117.695168,22.982321,0.315954,0.856705,0.206016,-0.351833,12.544783,118.197952,31.957489,-0.057801,0.134500,0.445478,-0.883243,26.239670,108.377373,13.797056,0.059672,0.113372,0.398039,-0.908378,15.936586,122.961449,10.415035,0.059578,0.915483,0.086649,0.388372,-8.361164,86.055634,8.987998,0.073861,0.974272,0.013141,0.212524,-9.824925,51.796089,1.808509,-0.008641,0.959395,0.052870,0.276934,-16.180887,6.367519,-0.810380,-0.063757,0.922191,-0.105415,0.366588,4.996958,85.698936,20.486427,0.003734,0.887125,-0.091308,0.452391,6.408975,51.728065,28.935688,-0.041770,0.825785,0.031944,0.561529,2.308819,6.549713,36.223843,-0.008641,0.959395,0.052870,0.276934,-8.904481,2.075570,-12.483994,-0.041770,0.825785,0.031944,0.561529,15.136205,2.169768,31.333601
1,0.008333,-0.002121,0.936844,0.034929,0.347993,-1.680009,85.878807,14.731751,-0.023983,0.935675,0.091210,0.340027,-1.884447,93.088982,15.194118,0.028118,0.934474,0.128351,0.330898,-3.321551,106.292297,17.269302,-0.002987,0.977016,0.056334,0.205568,-3.899592,123.521439,21.882122,0.019554,0.996484,-0.033659,0.074195,-3.588241,137.293152,21.766562,-0.034473,0.829339,0.257769,0.494534,-6.927505,118.663361,18.678301,0.308302,-0.481255,-0.027502,-0.820114,-15.383877,121.952347,4.741463,0.105499,0.430776,-0.446039,-0.777401,-2.122490,115.718163,-15.235162,0.117384,0.472964,-0.149722,-0.860296,2.628056,131.851837,-3.394844,-0.106711,0.906839,0.313629,0.260562,-1.443692,117.695999,22.978588,0.315889,0.856692,0.205909,-0.351986,12.549617,118.196556,31.950764,-0.057936,0.134408,0.445502,-0.883236,26.241213,108.378639,13.786414,0.059676,0.113275,0.397833,-0.908480,15.938643,122.963013,10.409814,0.059575,0.915485,0.086617,0.388376,-8.359562,86.058060,8.983137,0.073875,0.974237,0.013063,0.212682,-9.823985,51.798103,1.805700,-0.008748,0.959410,0.052805,0.276890,-16.182314,6.369534,-0.807555,-0.063813,0.922222,-0.105452,0.366489,4.999545,85.699554,20.480366,0.003803,0.887182,-0.091369,0.452268,6.415146,51.729729,28.933233,-0.041804,0.825799,0.031913,0.561508,2.307874,6.552449,36.224041,-0.008748,0.959410,0.052805,0.276890,-8.906080,2.076656,-12.480937,-0.041804,0.825799,0.031913,0.561508,15.135134,2.172337,31.333614
2,0.016667,-0.001884,0.936773,0.034713,0.348207,-1.688229,85.875343,14.736362,-0.023813,0.935712,0.090885,0.340023,-1.888475,93.085747,15.196949,0.028101,0.934494,0.128377,0.330833,-3.318393,106.291428,17.265692,-0.003087,0.977045,0.056224,0.205458,-3.896980,123.520348,21.879227,0.019736,0.996491,-0.033609,0.074075,-3.587891,137.292068,21.760033,-0.034631,0.829261,0.257965,0.494550,-6.924985,118.662193,18.675617,0.307970,-0.481363,-0.027371,-0.820180,-15.380457,121.950256,4.738015,0.105258,0.430724,-0.446092,-0.777431,-2.123878,115.717079,-15.242107,0.117378,0.472896,-0.149783,-0.860323,2.626712,131.849136,-3.398226,-0.106671,0.906872,0.313625,0.260469,-1.440552,117.695045,22.975161,0.315807,0.856727,0.205595,-0.352158,12.554647,118.195518,31.944387,-0.058652,0.134689,0.445716,-0.883038,26.242798,108.376801,13.777874,0.059202,0.113435,0.396520,-0.909065,15.949592,122.969353,10.405175,0.059543,0.915499,0.086759,0.388315,-8.365175,86.057312,8.984806,0.073886,0.974246,0.013006,0.212643,-9.824083,51.798820,1.799305,-0.008780,0.959370,0.052828,0.277021,-16.184551,6.370258,-0.808823,-0.064093,0.922262,-0.105327,0.366375,4.988718,85.693375,20.487919,0.003965,0.887296,-0.091374,0.452040,6.426629,51.724209,28.939680,-0.041603,0.825779,0.032139,0.561539,2.307801,6.547120,36.225159,-0.008780,0.959370,0.052828,0.277021,-8.904847,2.078229,-12.480354,-0.041603,0.825779,0.032139,0.561539,15.134918,2.168938,31.332636
3,0.025000,-0.001837,0.936804,0.034721,0.348122,-1.688637,85.874313,14.732061,-0.023721,0.935741,0.090860,0.339956,-1.888236,93.084717,15.193015,0.028091,0.934511,0.128391,0.330781,-3.315714,106.292725,17.262423,-0.003208,0.977053,0.056371,0.205378,-3.894538,123.521545,21.876326,0.019863,0.996492,-0.033726,0.073973,-3.589683,137.293396,21.760338,-0.034493,0.829368,0.257959,0.494384,-6.922676,118.663315,18.672947,0.308230,-0.481410,-0.027391,-0.820054,-15.383935,121.953545,4.739371,0.105398,0.430621,-0.446095,-0.777467,-2.129684,115.714088,-15.240333,0.117361,0.472898,-0.149926,-0.860300,2.624196,131.848175,-3.402297,-0.106880,0.906852,0.313758,0.260292,-1.437752,117.696320,22.971899,0.315926,0.856730,0.205240,-0.352251,12.559024,118.203735,31.938272,-0.058620,0.134737,0.445816,-0.882982,26.240194,108.374695,13.772090,0.059310,0.113351,0.396327,-0.909153,15.951148,122.968864,10.397935,0.059500,0.915498,0.086820,0.388310,-8.366625,86.057068,8.981742,0.073931,0.974260,0.012939,0.212568,-9.821171,51.798950,1.793551,-0.008500,0.959362,0.052901,0.277046,-16.187160,6.370836,-0.808898,-0.064158,0.922258,-0.105385,0.366358,4.989351,85.691559,20.482380,0.004026,0.887401,-0.091390,0.451831,6.430058,51.723827,28.939421,-0.041762,0.825775,0.031982,0.561541,2.307276,6.547051,36.224594,-0.008500,0.959362,0.052901,0.277046,-8.909336,2.078638,-12.481536,-0.041762,0.825775,0.031982,0.561541,15.134925,2.167841,31.334391
4,0.033333,-0.001914,0.936842,0.034600,0.348031,-1.686787,85.871445,14.730094,-0.023616,0.935761,0.090866,0.339908,-1.886785,93.081963,15.189043,0.028062,0.934505,0.128501,0.330759,-3.312249,106.296326,17.260618,-0.003144,0.977044,0.056249,0.205455,-3.893248,123.524185,21.877804,0.019819,0.996478,-0.033768,0.074152,-3.585839,137.295959,21.758955,-0.034524,0.829483,0.257736,0.494306,-6.920817,118.666168,18.673573,0.308072,-0.481518,-0.027427,-0.820049,-15.384573,121.951088,4.740258,0.105248,0.430484,-0.446060,-0.777584,-2.135521,115.715240,-15.244039,0.117317,0.472739,-0.150011,-0.860379,2.624636,131.847427,-3.405126,-0.106737,0.906886,0.313800,0.260182,-1.435662,117.699089,22.972212,0.315913,0.856690,0.205348,-0.352299,12.564054,118.203079,31.934196,-0.058619,0.134687,0.445743,-0.883027,26.243979,108.377579,13.765147,0.059135,0.113388,0.396316,-0.909164,15.951964,122.970177,10.392167,0.059498,0.915554,0.086931,0.388155,-8.365886,86.052116,8.980996,0.073986,0.974223,0.012831,0.212724,-9.818436,51.795341,1.786033,-0.008621,0.959345,0.052920,0.277096,-16.191069,6.367728,-0.808860,-0.064004,0.922225,-0.105308,0.366490,4.992312,85.690773,20.479193,0.003897,0.887241,-0.091490,0.452127,6.423918,51.720524,28.927685,-0.042571,0.825879,0.031146,0.561375,2.305106,6.545338,36.224941,-0.008621,0.959345,0.052920,0.277096,-8.910858,2.076915,-12.480522,-0.042571,0.825879,0.031146,0.561375,15.133188,2.159955,31.341394
5,0.041667,-0.001872,0.936869,0.034836,0.347936,-1.684022,85.875519,14.724299,-0.024332,0.935973,0.090661,0.339327,-1.884586,93.085800,15.186669,0.027947,0.934784,0.128637,0.329924,-3.325021,106.301094,17.247547,-0.002626,0.977126,0.056363,0.205040,-3.907349,123.527946,21.868361,0.019909,0.996477,-0.033810,0.074125,-3.587368,137.299484,21.755079,-0.034599,0.829346,0.257621,0.494590,-6.937790,118.668785,18.668564,0.308310,-0.481304,-0.027416,-0.820085,-15.392052,121.952309,4.729152,0.105456,0.430665,-0.446004,-0.777488,-2.132767,115.713646,-15.247479,0.117409,0.472665,-0.150025,-0.860404,2.623202,131.847321,-3.407662,-0.106609,0.906961,0.313713,0.260079,-1.444779,117.703987,22.957676,0.315651,0.856943,0.204581,-0.352363,12.557631,118.206200,31.915558,-0.059068,0.134776,0.445725,-0.882993,26.243519,108.375122,13.754024,0.059233,0.113223,0.396087,-0.909278,15.950378,122.970963,10.385129,0.059514,0.915538,0.086882,0.388201,-8.364296,86.058273,8.976628,0.073977,0.974194,0.012780,0.212863,-9.818924,51.801037,1.784270,-0.008576,0.959358,0.052841,0.277069,-16.191383,6.373185,-0.806828,-0.063969,0.922169,-0.105345,0.366627,4.996251,85.692764,20.471972,0.003841,0.887107,-0.091521,0.452383,6.423438,51.722752,28.922171,-0.042426,0.825807,0.031231,0.561488,2.305756,6.548050,36.223049,-0.008576,0.959358,0.052841,0.277069,-8.912433,2.079954,-12.478391,-0.042426,0.825807,0.031231,0.561488,15.134427,2.162357,31.341326
