Format Version,1.23,Take Name,p23_straight_main_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-03 03.25.53.667 오후,Total Frames in Take,1249,Total Exported Frames,1249,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.030485,0.925664,0.041398,0.374838,5.340614,83.716515,20.147001,-0.042797,0.924821,0.060188,0.373165,4.708376,90.906181,20.535765,0.002740,0.927683,0.019684,0.372839,2.770085,106.357147,21.775887,0.148868,0.918679,-0.117419,0.346526,2.598865,124.188362,22.464056,0.224895,0.890604,-0.267437,0.291073,8.508472,136.306305,19.635204,-0.027367,0.921822,0.057713,0.382314,-0.380774,118.824623,20.143341,-0.601142,0.543599,-0.226386,0.540257,-12.124582,118.719421,8.368998,0.561108,0.067349,-0.406822,-0.717717,-4.531086,96.467278,0.560305,0.646219,0.175786,-0.259696,-0.695743,8.767199,109.757980,-6.691505,-0.061327,0.882218,0.025477,0.466135,4.698740,118.685600,25.009520,0.579180,0.801359,0.112209,0.098909,13.976955,120.090103,38.739246,0.417796,0.461076,0.524543,-0.581129,21.645643,96.542580,39.446442,0.254081,0.562279,0.666732,-0.418036,21.193645,100.677658,21.493305,0.074367,0.901847,0.088157,0.416378,-0.980559,83.492607,14.007963,0.070793,0.957859,0.005579,0.278323,-3.107935,49.390335,6.267581,-0.032657,0.935842,0.125482,0.327701,-9.196358,3.907961,3.965977,-0.054377,0.934159,-0.101340,0.337817,11.661787,83.940430,26.286039,0.032287,0.929157,-0.085427,0.358227,12.822303,49.832870,34.206383,-0.056620,0.891410,0.090231,0.440500,7.253526,4.653513,40.437515,-0.032657,0.935842,0.125482,0.327701,-0.373740,1.759474,-7.222666,-0.056620,0.891410,0.090231,0.440500,18.535679,1.840572,31.926310
1,0.008333,-0.030900,0.925875,0.041439,0.374278,5.372220,83.712875,20.212290,-0.043187,0.924786,0.060362,0.373179,4.734442,90.902122,20.599739,0.002552,0.927589,0.019842,0.373067,2.783299,106.348083,21.839987,0.148195,0.918980,-0.117294,0.346057,2.603587,124.179115,22.530848,0.224652,0.891048,-0.267236,0.290084,8.494027,136.304657,19.694632,-0.027706,0.921859,0.057860,0.382178,-0.372434,118.814384,20.207800,-0.601381,0.543183,-0.226626,0.540309,-12.119078,118.700363,8.436372,0.561201,0.066983,-0.407185,-0.717473,-4.508576,96.447166,0.647268,0.646305,0.176053,-0.259777,-0.695565,8.779678,109.736275,-6.625459,-0.062032,0.882421,0.025614,0.465648,4.704697,118.676910,25.076508,0.578498,0.802095,0.110798,0.098527,13.995108,120.100845,38.795982,0.417234,0.462265,0.523283,-0.581723,21.706638,96.568314,39.535862,0.255549,0.562473,0.664167,-0.420953,21.247213,100.672379,21.606871,0.074569,0.901718,0.088141,0.416623,-0.955899,83.481941,14.080672,0.071199,0.957827,0.006296,0.278314,-3.094300,49.381588,6.334888,-0.033159,0.935818,0.125458,0.327727,-9.199931,3.905305,3.959821,-0.054602,0.934716,-0.101021,0.336333,11.700338,83.943810,26.343906,0.033344,0.929805,-0.085405,0.356450,12.895775,49.833450,34.246983,-0.055794,0.891472,0.090389,0.440448,7.249435,4.660124,40.451958,-0.033159,0.935818,0.125458,0.327727,-0.373194,1.760827,-7.226339,-0.055794,0.891472,0.090389,0.440448,18.525156,1.840632,31.934395
2,0.016667,-0.031114,0.926135,0.041634,0.373594,5.405687,83.709167,20.279732,-0.043840,0.924769,0.060585,0.373108,4.764286,90.897995,20.669088,0.002442,0.927528,0.020139,0.373203,2.791547,106.343445,21.908392,0.147795,0.919263,-0.117148,0.345527,2.604149,124.174072,22.607611,0.224375,0.891494,-0.267217,0.288945,8.481489,136.304901,19.766844,-0.028172,0.921812,0.057740,0.382277,-0.368918,118.809189,20.281128,-0.598881,0.541557,-0.229830,0.543355,-12.112186,118.679581,8.506493,0.559303,0.065542,-0.407950,-0.718653,-4.486780,96.421448,0.746126,0.646258,0.176246,-0.260139,-0.695425,8.794017,109.724411,-6.556732,-0.062555,0.882701,0.025612,0.465048,4.706793,118.671547,25.151312,0.577475,0.802961,0.109704,0.098699,14.013621,120.111931,38.857929,0.417801,0.462750,0.522123,-0.581973,21.782106,96.599701,39.645786,0.256164,0.562304,0.663412,-0.421994,21.294617,100.666214,21.710840,0.074680,0.901543,0.088030,0.417006,-0.931219,83.475372,14.157307,0.071645,0.957892,0.007189,0.277954,-3.076598,49.374805,6.414406,-0.033892,0.935841,0.125421,0.327600,-9.199366,3.905484,3.951720,-0.054493,0.935112,-0.100232,0.335483,11.742593,83.942963,26.402157,0.033958,0.930020,-0.085777,0.355742,12.956980,49.820641,34.250511,-0.056511,0.891689,0.090292,0.439937,7.250886,4.656956,40.470974,-0.033892,0.935841,0.125421,0.327600,-0.370421,1.766863,-7.233819,-0.056511,0.891689,0.090292,0.439937,18.521980,1.844003,31.945133
3,0.025000,-0.031382,0.926499,0.041560,0.372676,5.434630,83.700302,20.360935,-0.044180,0.924827,0.060695,0.372906,4.790433,90.888969,20.748495,0.002228,0.927509,0.020227,0.373245,2.807028,106.331993,21.987335,0.147419,0.919592,-0.116869,0.344906,2.611332,124.162529,22.686607,0.224136,0.891979,-0.267277,0.287577,8.474609,136.299744,19.843990,-0.028465,0.921815,0.058183,0.382181,-0.359024,118.796280,20.359806,-0.601971,0.542832,-0.226173,0.540194,-12.104172,118.663132,8.587082,0.561328,0.066960,-0.407475,-0.717211,-4.464619,96.417931,0.803554,0.646056,0.176103,-0.260286,-0.695594,8.813550,109.710205,-6.478826,-0.062894,0.882851,0.025283,0.464735,4.716259,118.660965,25.230497,0.576177,0.803760,0.109307,0.100214,14.031343,120.116982,38.929855,0.419093,0.462472,0.521533,-0.581793,21.859095,96.627335,39.800316,0.255658,0.562829,0.664515,-0.419860,21.337986,100.671814,21.806374,0.074647,0.901552,0.088294,0.416937,-0.914052,83.460777,14.250941,0.072269,0.958106,0.008101,0.277027,-3.050081,49.363117,6.492641,-0.034085,0.935753,0.125450,0.327822,-9.206517,3.903327,3.939704,-0.054699,0.935710,-0.099444,0.334016,11.783312,83.939819,26.470926,0.034979,0.930650,-0.086036,0.353927,13.042170,49.808052,34.271042,-0.056330,0.891840,0.090316,0.439650,7.252709,4.654926,40.491127,-0.034085,0.935753,0.125450,0.327822,-0.371055,1.767237,-7.241172,-0.056330,0.891840,0.090316,0.439650,18.517250,1.840179,31.957218
4,0.033333,-0.031802,0.926754,0.041231,0.372042,5.474114,83.694748,20.449341,-0.044871,0.924835,0.061098,0.372737,4.826312,90.883423,20.830677,0.002337,0.927509,0.020168,0.373249,2.819187,106.318390,22.072992,0.146493,0.919984,-0.116530,0.344368,2.627889,124.148987,22.771738,0.223798,0.892379,-0.267178,0.286689,8.463849,136.298126,19.923925,-0.028803,0.921774,0.058763,0.382164,-0.343784,118.783417,20.445084,-0.602537,0.543016,-0.225341,0.539726,-12.088717,118.647293,8.672185,0.561538,0.067363,-0.407606,-0.716935,-4.440441,96.408875,0.877838,0.646002,0.176045,-0.260659,-0.695519,8.830607,109.709457,-6.399688,-0.063455,0.882992,0.025305,0.464390,4.731450,118.646988,25.315798,0.575516,0.804333,0.108461,0.100330,14.054838,120.119713,39.007717,0.418278,0.463760,0.520930,-0.581895,21.919146,96.643616,39.913380,0.256497,0.563251,0.663070,-0.421065,21.419434,100.666557,21.935566,0.074882,0.901482,0.088419,0.417019,-0.882421,83.445587,14.347905,0.072584,0.958988,0.009403,0.273836,-3.028793,49.351948,6.574820,-0.034271,0.935762,0.125560,0.327734,-9.188522,3.898448,3.919785,-0.054792,0.936382,-0.098544,0.332379,11.830648,83.943901,26.550776,0.036018,0.931489,-0.086338,0.351535,13.130541,49.800362,34.292423,-0.056484,0.892221,0.090087,0.438903,7.258564,4.658806,40.519119,-0.034271,0.935762,0.125560,0.327734,-0.353600,1.767105,-7.262423,-0.056484,0.892221,0.090087,0.438903,18.509785,1.839970,31.969006
5,0.041667,-0.032221,0.927067,0.041135,0.371237,5.511983,83.694305,20.546463,-0.045168,0.924955,0.061033,0.372414,4.859419,90.882713,20.924818,0.002008,0.927568,0.020380,0.373093,2.846276,106.306564,22.161646,0.146028,0.920371,-0.116605,0.343506,2.641371,124.136909,22.863089,0.223598,0.892985,-0.266753,0.285350,8.462979,136.289902,20.002312,-0.029055,0.921748,0.059074,0.382160,-0.326882,118.769371,20.536589,-0.602847,0.542845,-0.225139,0.539636,-12.071441,118.629478,8.763360,0.561425,0.067425,-0.408124,-0.716722,-4.409491,96.394241,0.973402,0.645791,0.176544,-0.260612,-0.695606,8.847015,109.710228,-6.314354,-0.063840,0.883108,0.025246,0.464119,4.750010,118.636169,25.405663,0.575041,0.804629,0.107986,0.101188,14.080134,120.121574,39.091621,0.418136,0.464726,0.520718,-0.581417,21.962976,96.653748,40.049068,0.256467,0.563865,0.662875,-0.420569,21.488035,100.651360,22.060766,0.074828,0.901536,0.088959,0.416798,-0.854634,83.436913,14.455893,0.073948,0.958943,0.010129,0.273599,-2.983447,49.349419,6.651086,-0.034249,0.935420,0.124843,0.328986,-9.244995,3.915587,3.899360,-0.054881,0.937009,-0.097384,0.330936,11.878599,83.951691,26.637035,0.037075,0.931911,-0.086646,0.350229,13.223630,49.792904,34.303345,-0.056435,0.892340,0.089900,0.438704,7.260224,4.663339,40.530090,-0.034249,0.935420,0.124843,0.328986,-0.382625,1.764235,-7.257263,-0.056435,0.892340,0.089900,0.438704,18.506966,1.839068,31.975885
