Format Version,1.23,Take Name,p23_straight_pre_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-03 03.19.39.346 오후,Total Frames in Take,1247,Total Exported Frames,1247,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.040720,0.825268,0.042758,0.561646,4.245832,83.911949,18.102634,-0.051266,0.822837,0.069828,0.561637,3.412888,91.089424,18.282124,0.008415,0.826302,0.044401,0.561412,0.908103,106.243874,19.164154,0.023905,0.900339,0.027330,0.433673,0.266603,124.016312,20.642191,0.057719,0.955030,-0.017113,0.290335,1.909805,137.692947,20.500666,-0.015091,0.785254,0.104846,0.610045,-1.419090,118.814171,17.018671,0.343086,-0.273061,0.473157,-0.764102,-5.663673,120.547379,1.032972,0.634662,0.384636,-0.027135,-0.669719,4.323565,97.991142,-1.261831,-0.634547,-0.491733,-0.147632,0.577714,18.398872,108.499458,8.368685,-0.040749,0.792413,0.042603,0.607130,1.180531,118.365570,23.541031,0.533763,0.784362,0.229612,0.217143,5.495489,118.579254,39.600254,0.202200,0.498946,0.632150,-0.557274,13.817162,95.364082,41.966774,0.220106,0.452271,0.690246,-0.520159,19.399038,104.809677,26.716995,0.055654,0.790420,0.138455,0.594112,1.021566,83.742882,9.900765,0.103885,0.944006,0.003561,0.313125,3.702941,50.268776,-0.084148,-0.013954,0.924839,0.083226,0.370880,-5.206198,5.315882,-3.382140,-0.047669,0.834254,-0.108822,0.538429,7.470098,84.081017,26.304501,0.037225,0.812773,-0.062630,0.578007,6.151061,50.035667,34.464073,-0.080524,0.740453,0.072806,0.663283,0.044299,4.577699,37.164589,-0.013954,0.924839,0.083226,0.370880,4.334883,1.840299,-13.606048,-0.080524,0.740453,0.072806,0.663283,14.113027,1.821241,35.710979
1,0.008333,-0.040720,0.824879,0.042688,0.562223,4.236961,83.904305,18.114876,-0.051135,0.822395,0.069722,0.562308,3.404465,91.081871,18.292955,0.008356,0.825826,0.044134,0.562133,0.903938,106.237968,19.172592,0.023230,0.900026,0.027051,0.434375,0.264779,124.011276,20.641058,0.057260,0.954826,-0.016954,0.291104,1.895621,137.689240,20.486975,-0.015556,0.784506,0.104718,0.611017,-1.416086,118.807877,17.017109,0.342744,-0.272120,0.473708,-0.764250,-5.620723,120.530128,1.019670,0.634879,0.385537,-0.026256,-0.669030,4.366128,97.970184,-1.240170,-0.634640,-0.492602,-0.147612,0.576876,18.414234,108.479454,8.425089,-0.040930,0.791860,0.042464,0.607848,1.172144,118.361679,23.544163,0.533508,0.783954,0.230127,0.218693,5.457613,118.581177,39.611202,0.202270,0.499400,0.632463,-0.556486,13.759306,95.363495,42.022823,0.219283,0.452853,0.691005,-0.518990,19.373587,104.793037,26.772871,0.055423,0.789596,0.139596,0.594962,1.024132,83.735260,9.908520,0.104620,0.943739,0.002998,0.313692,3.777299,50.281586,-0.125214,-0.013747,0.924748,0.082333,0.371312,-5.209090,5.342439,-3.400901,-0.047927,0.834086,-0.108642,0.538702,7.449790,84.073341,26.321232,0.037313,0.812772,-0.062518,0.578015,6.149970,50.026989,34.479694,-0.080641,0.740470,0.072978,0.663231,0.042567,4.568336,37.167149,-0.013747,0.924748,0.082333,0.371312,4.336867,1.841179,-13.611489,-0.080641,0.740470,0.072978,0.663231,14.112252,1.817723,35.711704
2,0.016667,-0.040664,0.824498,0.042650,0.562789,4.228390,83.896202,18.124666,-0.050973,0.821954,0.069603,0.562983,3.396752,91.073883,18.302172,0.008399,0.825347,0.043887,0.562855,0.901303,106.233063,19.179720,0.023112,0.899679,0.026939,0.435107,0.267081,124.007118,20.641249,0.056115,0.954687,-0.016975,0.291780,1.897355,137.685135,20.485453,-0.015519,0.784050,0.104230,0.611687,-1.409722,118.803230,17.016117,0.342440,-0.271125,0.474119,-0.764485,-5.587156,120.519081,1.010870,0.635091,0.386211,-0.025529,-0.668467,4.407146,97.959023,-1.214601,-0.634859,-0.493140,-0.147836,0.576117,18.436092,108.468796,8.478414,-0.040747,0.791253,0.041766,0.608698,1.167068,118.358086,23.547768,0.533195,0.783782,0.230373,0.219812,5.418605,118.584846,39.623718,0.201334,0.501159,0.632283,-0.555448,13.712538,95.368431,42.073971,0.219020,0.454140,0.689716,-0.519692,19.382015,104.769882,26.836771,0.055121,0.789106,0.140638,0.595394,1.026698,83.728294,9.913937,0.105436,0.943484,0.002488,0.314190,3.846157,50.292755,-0.161760,-0.013648,0.924555,0.081425,0.371996,-5.223135,5.369112,-3.421535,-0.048199,0.833918,-0.108506,0.538966,7.430082,84.064110,26.335398,0.037400,0.812773,-0.062408,0.578019,6.148728,50.017525,34.495804,-0.079970,0.740445,0.073765,0.663253,0.040634,4.558206,37.170399,-0.013648,0.924555,0.081425,0.371996,4.333886,1.842768,-13.613123,-0.079970,0.740445,0.073765,0.663253,14.110224,1.811298,35.707054
3,0.025000,-0.040734,0.824142,0.043006,0.563276,4.227506,83.897743,18.125448,-0.050871,0.821523,0.069728,0.563605,3.392032,91.074898,18.306124,0.008442,0.824892,0.043668,0.563537,0.897067,106.229416,19.186438,0.022885,0.899420,0.026823,0.435660,0.267321,124.004128,20.641865,0.055238,0.954624,-0.016936,0.292157,1.894160,137.682510,20.482338,-0.015567,0.783453,0.104016,0.612486,-1.405577,118.799850,17.015488,0.341949,-0.269984,0.474772,-0.764703,-5.550418,120.513191,1.001497,0.635398,0.386860,-0.024724,-0.667831,4.443774,97.949196,-1.184145,-0.634973,-0.493491,-0.149070,0.575373,18.454126,108.457924,8.536502,-0.040656,0.790738,0.041452,0.609395,1.160388,118.355583,23.551456,0.533125,0.783706,0.230022,0.220619,5.383944,118.584679,39.634747,0.198794,0.504058,0.631879,-0.554198,13.663973,95.367630,42.125607,0.219369,0.455435,0.686545,-0.522601,19.423233,104.756340,26.916260,0.055140,0.788131,0.141630,0.596447,1.035600,83.732971,9.910847,0.106050,0.943249,0.001827,0.314691,3.909622,50.317192,-0.214845,-0.013334,0.924492,0.080267,0.372416,-5.229620,5.405223,-3.439945,-0.048390,0.833780,-0.108471,0.539169,7.419412,84.062515,26.340052,0.037428,0.812645,-0.062361,0.578202,6.148545,50.016678,34.505219,-0.080095,0.740439,0.073811,0.663239,0.040231,4.557011,37.173405,-0.013334,0.924492,0.080267,0.372416,4.330238,1.845270,-13.617173,-0.080095,0.740439,0.073811,0.663239,14.110501,1.813469,35.710316
4,0.033333,-0.040824,0.823809,0.042967,0.563761,4.224697,83.897873,18.134039,-0.050782,0.821117,0.069642,0.564215,3.388374,91.074966,18.313025,0.008457,0.824447,0.043484,0.564202,0.897090,106.226585,19.190683,0.022652,0.899177,0.026625,0.436186,0.270319,124.001862,20.640512,0.054295,0.954571,-0.016837,0.292512,1.894511,137.680496,20.475079,-0.015551,0.782988,0.103744,0.613127,-1.398346,118.797157,17.012817,0.341745,-0.269176,0.475289,-0.764758,-5.517092,120.507797,0.991811,0.635734,0.387384,-0.023828,-0.667239,4.474360,97.939339,-1.159998,-0.635038,-0.494355,-0.149430,0.574465,18.467598,108.440109,8.586109,-0.040590,0.790120,0.041206,0.610217,1.157065,118.353821,23.552982,0.532601,0.783420,0.230689,0.222199,5.347462,118.584183,39.644920,0.201452,0.502413,0.632406,-0.554131,13.620461,95.369667,42.182373,0.217492,0.455315,0.690946,-0.517667,19.346714,104.736710,26.930342,0.055062,0.787615,0.142687,0.596885,1.042547,83.732018,9.915675,0.106687,0.943159,0.001304,0.314749,3.971404,50.336693,-0.261652,-0.013349,0.924381,0.079218,0.372915,-5.237211,5.437011,-3.460364,-0.048524,0.833686,-0.108317,0.539333,7.406847,84.063721,26.352406,0.037399,0.812709,-0.062261,0.578125,6.148091,50.016464,34.513519,-0.080908,0.740502,0.073517,0.663103,0.047497,4.555449,37.176411,-0.013349,0.924381,0.079218,0.372915,4.330193,1.849565,-13.620835,-0.080908,0.740502,0.073517,0.663103,14.119853,1.821251,35.715908
5,0.041667,-0.040937,0.823507,0.043071,0.564185,4.223294,83.894203,18.140102,-0.050651,0.820730,0.069636,0.564789,3.384693,91.071037,18.318964,0.008468,0.824017,0.043219,0.564850,0.896261,106.222603,19.196995,0.023048,0.898981,0.026511,0.436576,0.274019,123.998703,20.638769,0.052825,0.954677,-0.016876,0.292433,1.909870,137.675980,20.476536,-0.015660,0.782494,0.103658,0.613770,-1.391012,118.793175,17.010571,0.341193,-0.267884,0.476014,-0.765007,-5.483408,120.501709,0.982586,0.636001,0.387816,-0.023317,-0.666752,4.508240,97.929092,-1.124312,-0.635217,-0.494648,-0.150479,0.573741,18.486975,108.429314,8.637106,-0.040506,0.789553,0.040882,0.610978,1.154103,118.351471,23.554859,0.532422,0.783047,0.231029,0.223582,5.313825,118.584419,39.654716,0.201121,0.503200,0.632665,-0.553241,13.565726,95.367088,42.234764,0.217588,0.456257,0.690876,-0.516890,19.334991,104.720161,26.986582,0.055275,0.786666,0.143857,0.597834,1.049742,83.728287,9.918415,0.107246,0.942760,0.000432,0.315755,4.029017,50.358105,-0.326543,-0.013529,0.924293,0.078132,0.373357,-5.249350,5.469280,-3.475739,-0.048653,0.833644,-0.108235,0.539403,7.396845,84.060127,26.361790,0.037451,0.812602,-0.062215,0.578277,6.148001,50.012493,34.522903,-0.080954,0.740465,0.073762,0.663112,0.045472,4.551306,37.178509,-0.013529,0.924293,0.078132,0.373357,4.325647,1.855139,-13.619584,-0.080954,0.740465,0.073762,0.663112,14.118958,1.823144,35.717575
