Format Version,1.23,Take Name,p24_jap_main_009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-04 03.19.07.344 오후,Total Frames in Take,1195,Total Exported Frames,1195,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.003847,0.913186,-0.019117,0.407076,-7.652091,88.608124,13.160401,-0.007273,0.890437,0.116222,0.439955,-7.488966,95.823814,12.930892,-0.012304,0.889210,0.037666,0.455781,-9.548246,113.212029,16.515802,0.044867,0.950162,-0.090656,0.294890,-10.561672,131.182220,17.521164,0.029646,0.978493,-0.173879,0.106954,-7.695393,144.202667,14.104848,-0.098872,0.837396,0.205131,0.496904,-13.059257,125.785042,14.767218,0.286133,-0.528908,-0.065244,-0.796321,-21.187923,126.424339,0.188135,0.090874,-0.033048,-0.550240,-0.829389,-11.129888,121.796524,-20.293526,0.075865,0.284033,-0.461439,-0.837045,-2.034492,142.819473,-23.883217,-0.126321,0.942071,0.165146,0.263195,-8.946438,125.697388,20.479969,0.329222,0.815521,0.199197,-0.432272,4.910499,128.220993,29.460520,0.133989,0.145576,0.501172,-0.842426,14.444902,119.728424,9.991294,0.169372,-0.155921,0.708330,-0.667286,4.857859,136.688354,1.998147,0.004892,0.907814,0.163173,0.386296,-13.539537,88.532928,6.611847,0.106068,0.916494,0.010819,0.385579,-9.473819,55.686939,-3.798132,0.058498,0.896767,-0.118649,0.422266,-17.793741,11.991364,-8.342054,-0.109377,0.908914,-0.019689,0.401901,-1.764643,88.683311,19.708956,0.022663,0.950212,-0.114360,0.288973,4.584699,54.845161,24.001036,0.048723,0.788435,-0.083299,0.607501,-0.296186,11.348495,33.132759,0.058498,0.896767,-0.118649,0.422266,-9.147045,3.004007,-15.533592,0.048723,0.788435,-0.083299,0.607501,11.231534,3.213947,30.269730
1,0.008333,0.003493,0.913257,-0.019063,0.406924,-7.637412,88.603615,13.210988,-0.007552,0.890443,0.116215,0.439941,-7.479303,95.819374,12.980082,-0.013135,0.889131,0.037815,0.455899,-9.546105,113.197693,16.558392,0.045458,0.950113,-0.090900,0.294882,-10.588741,131.166718,17.554703,0.029718,0.978595,-0.173557,0.106522,-7.705556,144.183105,14.137062,-0.098262,0.837531,0.205164,0.496784,-13.076708,125.764214,14.802517,0.288505,-0.528660,-0.067012,-0.795483,-21.213362,126.419853,0.228620,0.092067,-0.032066,-0.550094,-0.829393,-11.153982,121.799934,-20.254166,0.075580,0.284064,-0.461938,-0.836785,-2.052104,142.810547,-23.834360,-0.125986,0.942105,0.165397,0.263079,-8.965714,125.685921,20.516718,0.329827,0.815119,0.199655,-0.432358,4.896085,128.197556,29.493111,0.134306,0.144900,0.501713,-0.842169,14.408466,119.698204,10.016081,0.169720,-0.156603,0.708590,-0.666762,4.837141,136.671799,2.039633,0.004977,0.907865,0.163355,0.386097,-13.527092,88.523178,6.664505,0.106279,0.916609,0.011171,0.385237,-9.464134,55.681358,-3.759710,0.059704,0.896661,-0.117793,0.422563,-17.790668,11.990479,-8.336590,-0.109424,0.909250,-0.019639,0.401129,-1.747731,88.684052,19.757471,0.023013,0.950235,-0.113736,0.289114,4.609557,54.846470,24.042330,0.048695,0.788178,-0.083144,0.607858,-0.286440,11.338502,33.111965,0.059704,0.896661,-0.117793,0.422563,-9.149135,3.009126,-15.541819,0.048695,0.788178,-0.083144,0.607858,11.245975,3.207405,30.258047
2,0.016667,0.003100,0.913378,-0.018960,0.406659,-7.621664,88.603165,13.263970,-0.006511,0.890004,0.115638,0.440998,-7.469424,95.819016,13.032071,-0.014521,0.888226,0.039264,0.457496,-9.499935,113.216270,16.609137,0.045422,0.949814,-0.092045,0.295497,-10.612584,131.179886,17.627001,0.030095,0.978642,-0.173516,0.106045,-7.718364,144.186829,14.182901,-0.098655,0.837886,0.204704,0.496297,-13.070321,125.772186,14.857897,0.287559,-0.529141,-0.067013,-0.795505,-21.220564,126.404701,0.290562,0.091495,-0.032427,-0.549823,-0.829621,-11.184879,121.801735,-20.207668,0.075260,0.284166,-0.462510,-0.836463,-2.071594,142.804092,-23.785843,-0.126044,0.942299,0.165593,0.262230,-8.980392,125.700882,20.587286,0.331099,0.814529,0.199923,-0.432373,4.895826,128.218140,29.539818,0.135385,0.144157,0.502161,-0.841857,14.368439,119.685127,10.058105,0.169777,-0.157321,0.709589,-0.665514,4.807950,136.663956,2.085377,0.005051,0.907929,0.163560,0.385859,-13.515189,88.517227,6.721013,0.106472,0.916697,0.011536,0.384964,-9.454101,55.680130,-3.718799,0.059763,0.896722,-0.117775,0.422431,-17.785015,11.993668,-8.329758,-0.109349,0.909470,-0.019562,0.400655,-1.728139,88.689095,19.806927,0.023369,0.950372,-0.113488,0.288736,4.628874,54.850174,24.081543,0.049832,0.788067,-0.082453,0.608003,-0.287439,11.338652,33.123066,0.059763,0.896722,-0.117775,0.422431,-9.146460,3.012148,-15.538361,0.049832,0.788067,-0.082453,0.608003,11.239110,3.203696,30.256456
3,0.025000,0.002756,0.913455,-0.018844,0.406493,-7.606299,88.601967,13.311419,-0.005638,0.890133,0.117325,0.440303,-7.459313,95.817909,13.079002,-0.016491,0.888492,0.037889,0.457028,-9.479836,113.150810,16.713577,0.045004,0.949875,-0.091172,0.295634,-10.632425,131.116043,17.655569,0.030583,0.978626,-0.173266,0.106460,-7.754867,144.131714,14.230478,-0.097511,0.837837,0.205318,0.496352,-13.080284,125.690987,14.911798,0.287375,-0.529057,-0.067422,-0.795593,-21.236197,126.366219,0.349557,0.091284,-0.032637,-0.550095,-0.829456,-11.198944,121.784332,-20.152622,0.074817,0.284300,-0.462887,-0.836248,-2.096397,142.800980,-23.735857,-0.126747,0.942373,0.165062,0.261960,-8.985196,125.653473,20.637821,0.331007,0.814344,0.198981,-0.433226,4.889798,128.199310,29.584158,0.134994,0.143780,0.502558,-0.841748,14.330861,119.661583,10.089202,0.169892,-0.157806,0.710658,-0.664229,4.778945,136.663086,2.133548,0.005332,0.907606,0.163707,0.386554,-13.502234,88.511398,6.770698,0.106661,0.916858,0.011848,0.384519,-9.446920,55.677826,-3.682434,0.059669,0.896843,-0.117766,0.422189,-17.784552,11.995607,-8.321385,-0.109255,0.909673,-0.019514,0.400222,-1.710364,88.692535,19.852140,0.023718,0.950430,-0.113265,0.288603,4.644168,54.852043,24.118076,0.049378,0.788189,-0.082785,0.607838,-0.294849,11.337468,33.132519,0.059669,0.896843,-0.117766,0.422189,-9.148813,3.015193,-15.534735,0.049378,0.788189,-0.082785,0.607838,11.232633,3.202950,30.268425
4,0.033333,0.002283,0.913466,-0.018907,0.406468,-7.588434,88.598694,13.363230,-0.008794,0.890306,0.116667,0.440075,-7.447320,95.814636,13.127194,-0.012079,0.888985,0.038583,0.456148,-9.564816,113.217712,16.705767,0.044210,0.950211,-0.091930,0.294438,-10.586476,131.185577,17.743761,0.030322,0.978621,-0.173445,0.106297,-7.729510,144.197754,14.288314,-0.099663,0.838136,0.204652,0.495694,-13.079577,125.792526,14.977720,0.286819,-0.529649,-0.066787,-0.795454,-21.243143,126.390991,0.416411,0.090882,-0.033172,-0.549888,-0.829617,-11.231086,121.790924,-20.094015,0.074414,0.284551,-0.463250,-0.835998,-2.121487,142.797729,-23.686222,-0.126298,0.942342,0.165003,0.262325,-8.971406,125.695908,20.693670,0.332631,0.813529,0.199541,-0.433256,4.901003,128.225998,29.648479,0.136218,0.143320,0.502881,-0.841436,14.290712,119.650909,10.145126,0.169896,-0.157667,0.710399,-0.664537,4.751165,136.644958,2.183424,0.005566,0.907652,0.163853,0.386380,-13.484762,88.500061,6.822980,0.106924,0.916622,0.012083,0.385000,-9.442245,55.669998,-3.646103,0.058303,0.897025,-0.118532,0.421779,-17.790577,11.993307,-8.317735,-0.108976,0.909528,-0.019372,0.400634,-1.692106,88.697319,19.903481,0.023689,0.950424,-0.112848,0.288789,4.647086,54.852222,24.155674,0.050022,0.788169,-0.082312,0.607876,-0.280543,11.329100,33.134998,0.058303,0.897025,-0.118532,0.421779,-9.148712,3.010261,-15.520464,0.050022,0.788169,-0.082312,0.607876,11.244085,3.193944,30.261248
5,0.041667,0.001985,0.913594,-0.018666,0.406194,-7.574394,88.600037,13.408867,-0.008511,0.890325,0.116432,0.440105,-7.438705,95.816132,13.174218,-0.013408,0.888816,0.039040,0.456401,-9.539387,113.186172,16.742599,0.044517,0.950145,-0.091253,0.294816,-10.611441,131.151535,17.772997,0.030473,0.978642,-0.173244,0.106388,-7.749887,144.168259,14.338541,-0.098881,0.838166,0.205148,0.495594,-13.087700,125.750557,15.007294,0.286664,-0.529748,-0.066992,-0.795426,-21.259737,126.378342,0.451972,0.090539,-0.032815,-0.549972,-0.829613,-11.253842,121.788315,-20.063713,0.074263,0.284519,-0.463660,-0.835795,-2.148340,142.798187,-23.633448,-0.126391,0.942280,0.164934,0.262548,-8.983250,125.667480,20.726131,0.332734,0.813291,0.199602,-0.433595,4.884460,128.199615,29.687637,0.136242,0.142784,0.503175,-0.841348,14.257264,119.628670,10.174338,0.169842,-0.158373,0.711406,-0.663305,4.720398,136.640060,2.227204,0.005520,0.907875,0.163878,0.385846,-13.474679,88.498428,6.872231,0.107077,0.916724,0.012491,0.384701,-9.434759,55.668892,-3.599512,0.059641,0.897002,-0.117557,0.421913,-17.782896,11.996031,-8.307116,-0.108960,0.909862,-0.019286,0.399884,-1.674109,88.701645,19.945503,0.024202,0.950536,-0.112749,0.288416,4.670020,54.856087,24.186567,0.049530,0.788266,-0.082391,0.607778,-0.295145,11.333156,33.146103,0.059641,0.897002,-0.117557,0.421913,-9.149959,3.020214,-15.529531,0.049530,0.788266,-0.082391,0.607778,11.233913,3.203750,30.273857
