Format Version,1.23,Take Name,p24_uppercut_right_pre_010,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-04 04.46.40.744 오후,Total Frames in Take,1206,Total Exported Frames,1206,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.070166,0.912081,0.005331,0.403928,-2.305638,86.060104,18.046925,0.055332,0.884162,0.108460,0.451035,-1.412473,93.209770,18.526463,0.022230,0.884454,-0.004290,0.466077,-1.412338,112.022278,23.212523,0.055994,0.953733,-0.157854,0.249681,-0.631389,130.030594,23.449286,0.068505,0.956271,-0.284278,0.006176,2.710150,142.334991,18.267097,-0.064044,0.847357,0.170656,0.498760,-3.606803,124.794685,20.863995,0.200896,-0.614707,-0.041573,-0.761609,-11.863318,125.825294,6.379461,0.164816,-0.350414,-0.393400,-0.833836,-6.256503,121.549248,-15.809701,0.167571,-0.030429,-0.564103,-0.807949,4.441464,134.547562,-32.979958,-0.083894,0.953772,0.112017,0.265957,0.367546,124.546005,26.669273,0.425868,0.784294,0.114098,-0.436465,14.473626,126.223923,35.457737,0.239053,0.142928,0.517551,-0.809053,20.440243,112.989830,17.255047,0.240063,-0.163533,0.694917,-0.657812,11.466086,129.290680,7.109010,0.001975,0.906315,0.192052,0.376438,-8.151618,87.225182,11.564759,0.121292,0.960789,-0.039284,0.246232,-3.259194,55.089642,-0.564888,0.032282,0.962630,-0.123229,0.238989,-14.545320,11.831125,0.139556,-0.122058,0.928560,0.021636,0.349872,3.540341,84.895035,24.529091,0.018748,0.963237,-0.190532,0.188469,11.930235,51.266117,26.098305,-0.006752,0.904560,-0.065397,0.421247,7.104132,9.831765,42.194126,0.032282,0.962630,-0.123229,0.238989,-9.265434,2.955045,-9.890116,-0.006752,0.904560,-0.065397,0.421247,16.937120,2.669452,34.495426
1,0.008333,0.069926,0.912175,0.005411,0.403755,-2.286260,86.043503,18.113430,0.055573,0.884003,0.107960,0.451436,-1.396604,93.193642,18.592463,0.022096,0.884106,-0.003103,0.466754,-1.381484,112.041473,23.273785,0.056245,0.953508,-0.159021,0.249744,-0.624960,130.050323,23.546698,0.068097,0.956245,-0.284477,0.005596,2.730631,142.339828,18.338308,-0.065491,0.847444,0.170511,0.498474,-3.589306,124.815475,20.946575,0.200150,-0.615064,-0.041554,-0.761518,-11.849080,125.800880,6.460768,0.164081,-0.350794,-0.393541,-0.833755,-6.262682,121.542000,-15.736829,0.167046,-0.030331,-0.563917,-0.808191,4.417128,134.553833,-32.908134,-0.084060,0.953803,0.112377,0.265642,0.376230,124.560837,26.757612,0.426443,0.784147,0.114862,-0.435966,14.486957,126.242111,35.537941,0.240168,0.143021,0.517084,-0.809004,20.451042,113.002800,17.338228,0.240095,-0.163037,0.694666,-0.658189,11.459299,129.275772,7.171551,0.002566,0.906489,0.192692,0.375686,-8.135276,87.205399,11.633441,0.121453,0.961407,-0.038703,0.243819,-3.273387,55.087124,-0.554068,0.031833,0.962611,-0.123460,0.239008,-14.558933,11.828059,0.125283,-0.121836,0.928506,0.022182,0.350057,3.562755,84.881607,24.593418,0.019047,0.963287,-0.190422,0.188295,11.951395,51.250576,26.123751,-0.007374,0.904699,-0.065024,0.420996,7.104288,9.813476,42.206177,0.031833,0.962611,-0.123460,0.239008,-9.273119,2.949303,-9.898891,-0.007374,0.904699,-0.065024,0.420996,16.942263,2.666257,34.499836
2,0.016667,0.069708,0.912277,0.005586,0.403559,-2.268217,86.019577,18.177288,0.055200,0.884002,0.108074,0.451456,-1.382343,93.170128,18.657162,0.022002,0.884053,-0.003034,0.466859,-1.382117,112.020729,23.336433,0.055963,0.953536,-0.158826,0.249824,-0.629783,130.029755,23.610062,0.068128,0.956206,-0.284599,0.005703,2.718024,142.322678,18.404758,-0.066031,0.847373,0.170763,0.498436,-3.592314,124.794304,21.009081,0.199955,-0.615156,-0.042144,-0.761463,-11.850979,125.768539,6.521876,0.163868,-0.350644,-0.393971,-0.833657,-6.272106,121.535172,-15.682502,0.166763,-0.030183,-0.564435,-0.807894,4.396478,134.567139,-32.845516,-0.084730,0.953578,0.112855,0.266032,0.371906,124.540390,26.821053,0.422014,0.785438,0.105926,-0.440195,14.471931,126.236664,35.615688,0.235770,0.146428,0.516440,-0.810099,20.438454,112.973145,17.434402,0.240007,-0.162449,0.694397,-0.658650,11.450021,129.259186,7.235283,0.003273,0.906498,0.193427,0.375283,-8.120559,87.179306,11.699911,0.121653,0.962099,-0.038148,0.241061,-3.289406,55.081028,-0.552322,0.031808,0.962534,-0.123572,0.239261,-14.578173,11.822495,0.107335,-0.121995,0.928840,0.022764,0.349077,3.584123,84.859840,24.654665,0.019610,0.963356,-0.190428,0.187879,11.998434,51.233326,26.142517,-0.007459,0.904837,-0.064656,0.420754,7.109691,9.798368,42.217869,0.031808,0.962534,-0.123572,0.239261,-9.286782,2.941389,-9.911816,-0.007459,0.904837,-0.064656,0.420754,16.946325,2.660085,34.501534
3,0.025000,0.069685,0.912347,0.005660,0.403404,-2.249538,86.005234,18.235531,0.054040,0.884254,0.108898,0.450905,-1.364315,93.155823,18.716099,0.022404,0.884455,-0.003844,0.466072,-1.415474,111.985764,23.398586,0.056022,0.953665,-0.158404,0.249583,-0.636469,129.993942,23.652481,0.067902,0.956257,-0.284476,0.005995,2.708509,142.291687,18.456749,-0.065758,0.847200,0.171043,0.498670,-3.611286,124.760162,21.062180,0.199276,-0.615168,-0.041783,-0.761651,-11.863340,125.748512,6.572172,0.163161,-0.350661,-0.394262,-0.833650,-6.283783,121.522034,-15.633337,0.166418,-0.030076,-0.564671,-0.807804,4.373219,134.577316,-32.785820,-0.085373,0.953399,0.113049,0.266388,0.363018,124.506401,26.867262,0.421374,0.785919,0.105900,-0.439955,14.453055,126.219582,35.674606,0.235605,0.146505,0.515875,-0.810493,20.454525,112.968292,17.495916,0.240768,-0.161639,0.693828,-0.659171,11.444194,129.240433,7.303082,0.004065,0.906458,0.194040,0.375053,-8.104136,87.165199,11.760240,0.121684,0.962879,-0.037513,0.238014,-3.309891,55.083801,-0.550562,0.031127,0.962546,-0.123878,0.239144,-14.585855,11.821636,0.089496,-0.122123,0.929154,0.023125,0.348173,3.605060,84.845268,24.710823,0.020078,0.963437,-0.190296,0.187544,12.037535,51.222061,26.170326,-0.006346,0.904822,-0.063266,0.421015,7.116228,9.784296,42.228466,0.031127,0.962546,-0.123878,0.239144,-9.288561,2.937491,-9.923834,-0.006346,0.904822,-0.063266,0.421015,16.951790,2.664715,34.493519
4,0.033333,0.069337,0.912426,0.005775,0.403284,-2.230648,85.986588,18.294981,0.053840,0.884214,0.109109,0.450957,-1.350587,93.137856,18.774935,0.021975,0.884369,-0.003595,0.466257,-1.412602,111.969864,23.461863,0.055976,0.953609,-0.158485,0.249760,-0.651500,129.978790,23.716631,0.067930,0.956147,-0.284836,0.006040,2.694057,142.275742,18.519386,-0.066019,0.847113,0.171156,0.498745,-3.620073,124.742165,21.124939,0.199409,-0.615216,-0.042385,-0.761544,-11.868496,125.725624,6.632523,0.162935,-0.350650,-0.394682,-0.833501,-6.294054,121.516075,-15.577497,0.165953,-0.030103,-0.564817,-0.807797,4.347400,134.589233,-32.726025,-0.085440,0.953416,0.112125,0.266695,0.352081,124.492142,26.931658,0.424670,0.785323,0.114396,-0.435702,14.436266,126.214584,35.746567,0.240196,0.143793,0.515455,-0.809899,20.481323,113.005867,17.551336,0.241501,-0.161264,0.693986,-0.658828,11.429155,129.231720,7.370459,0.004895,0.906452,0.194741,0.374695,-8.087814,87.141876,11.821172,0.121532,0.963541,-0.037141,0.235455,-3.332419,55.079903,-0.555129,0.030788,0.962655,-0.123811,0.238786,-14.586088,11.811948,0.086163,-0.122015,0.929140,0.023333,0.348234,3.626518,84.831306,24.768791,0.020137,0.963298,-0.190038,0.188511,12.057076,51.206947,26.212809,-0.007780,0.905081,-0.063475,0.420403,7.118903,9.760610,42.243633,0.030788,0.962655,-0.123811,0.238786,-9.291655,2.931152,-9.931655,-0.007780,0.905081,-0.063475,0.420403,16.959465,2.651968,34.504974
5,0.041667,0.068989,0.912489,0.005858,0.403199,-2.208667,85.971260,18.350830,0.053416,0.884208,0.109398,0.450949,-1.333602,93.123207,18.829767,0.021688,0.884343,-0.003493,0.466321,-1.415166,111.950317,23.518089,0.056034,0.953548,-0.158544,0.249943,-0.664939,129.959717,23.771357,0.067826,0.956088,-0.285056,0.006196,2.683740,142.255722,18.573904,-0.066360,0.847005,0.171496,0.498767,-3.629995,124.721062,21.179714,0.199957,-0.615264,-0.043325,-0.761308,-11.876176,125.700905,6.685776,0.162972,-0.350430,-0.395221,-0.833330,-6.308205,121.508041,-15.529028,0.165570,-0.030108,-0.565093,-0.807682,4.320183,134.600677,-32.670803,-0.085758,0.953291,0.111937,0.267117,0.341491,124.473953,26.987017,0.420370,0.786551,0.105542,-0.439873,14.416342,126.206276,35.814896,0.235888,0.146909,0.514853,-0.810988,20.460575,112.971642,17.638227,0.241423,-0.160791,0.694090,-0.658863,11.408111,129.218002,7.429741,0.005746,0.906421,0.195517,0.374353,-8.067885,87.121613,11.877996,0.121750,0.963977,-0.036827,0.233601,-3.350424,55.081295,-0.568723,0.029987,0.962489,-0.124251,0.239329,-14.614894,11.816010,0.062604,-0.121977,0.929391,0.023482,0.347568,3.650551,84.820908,24.823666,0.020473,0.963360,-0.189783,0.188418,12.083256,51.196384,26.251141,-0.007780,0.905185,-0.062912,0.420265,7.121882,9.742599,42.255524,0.029987,0.962489,-0.124251,0.239329,-9.298530,2.929896,-9.938872,-0.007780,0.905185,-0.062912,0.420265,16.962990,2.646399,34.506149
