Format Version,1.23,Take Name,p25_jap_post_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-05 03.06.06.372 오후,Total Frames in Take,1194,Total Exported Frames,1194,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Hip,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Ab,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Chest,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Neck,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:Head,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LShoulder,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LUArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LFArm,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:LHand,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RShoulder,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RUArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RFArm,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:RHand,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LThigh,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LShin,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:LFoot,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RThigh,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RShin,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:RFoot,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:LToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe,TeslaAvatar_Man:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.005426,0.990903,-0.009256,0.134150,2.107943,84.425903,17.884323,-0.030720,0.983177,0.138089,0.115544,2.201478,91.490349,17.764992,0.028202,0.989665,0.095365,0.103310,0.937568,104.633461,21.385361,0.029134,0.997825,0.035182,0.047522,1.514039,120.279205,24.491236,0.056460,0.997770,-0.034618,-0.008323,2.412918,133.696289,23.754614,0.075671,0.942318,0.211270,0.248347,-2.321514,115.198410,23.546415,0.348690,-0.496252,0.025904,-0.794656,-16.531336,119.264114,16.384481,0.174260,0.320087,-0.502826,-0.783801,-4.010862,109.684441,-2.679415,0.386275,0.371988,-0.562248,-0.629518,1.314836,126.241539,3.328992,-0.057303,0.967889,0.244579,-0.009462,4.397602,114.679039,24.915632,0.369308,0.669239,0.093746,-0.637921,20.710638,116.576874,25.075165,0.050797,-0.123129,0.538264,-0.832184,18.566780,107.307472,2.239968,0.198999,-0.241964,0.648229,-0.694011,11.759685,123.153351,4.860895,0.088009,0.974605,0.125305,0.163395,-6.198552,84.497169,15.592506,0.052957,0.988104,0.067673,0.127538,-10.861217,50.469250,5.845626,-0.021921,0.965589,0.056894,0.252824,-14.824971,5.783484,-0.832717,-0.059422,0.962280,-0.116389,0.238620,10.414436,84.354630,20.176140,0.071748,0.941910,-0.138821,0.297298,12.514297,49.871899,29.185757,-0.017675,0.868469,0.039064,0.493885,2.640238,6.731391,39.111942,-0.021921,0.965589,0.056894,0.252824,-8.148009,1.787419,-12.575677,-0.017675,0.868469,0.039064,0.493885,14.098792,2.253522,32.249165
1,0.008333,0.005465,0.990900,-0.009147,0.134180,2.108572,84.424820,17.881456,-0.030457,0.983204,0.137842,0.115679,2.202443,91.489288,17.763723,0.028213,0.989646,0.095356,0.103501,0.945900,104.634285,21.378151,0.028980,0.997822,0.035341,0.047571,1.522147,120.280060,24.483883,0.056511,0.997767,-0.034592,-0.008403,2.416836,133.697647,23.751389,0.075631,0.942364,0.211354,0.248113,-2.313355,115.199486,23.537722,0.348593,-0.496294,0.025922,-0.794672,-16.527193,119.263123,16.382599,0.174144,0.319971,-0.502856,-0.783855,-4.008804,109.684387,-2.683125,0.386098,0.371950,-0.562218,-0.629677,1.318437,126.240921,3.324439,-0.057407,0.967868,0.244639,-0.009332,4.405204,114.679733,24.909506,0.369390,0.669164,0.093657,-0.637965,20.717922,116.579803,25.074139,0.050874,-0.123103,0.538319,-0.832148,18.568312,107.306419,2.241106,0.199013,-0.241926,0.648330,-0.693927,11.763234,123.153076,4.859494,0.087965,0.974621,0.125286,0.163336,-6.197774,84.496994,15.589137,0.052999,0.988101,0.067674,0.127546,-10.858244,50.468193,5.844273,-0.021814,0.965575,0.056971,0.252870,-14.825628,5.782831,-0.834647,-0.059501,0.962357,-0.116448,0.238260,10.414918,84.352654,20.173775,0.071883,0.942018,-0.138854,0.296910,12.522472,49.871578,29.187939,-0.017664,0.868542,0.039029,0.493760,2.640233,6.733659,39.117210,-0.021814,0.965575,0.056971,0.252870,-8.148403,1.788045,-12.577888,-0.017664,0.868542,0.039029,0.493760,14.096582,2.254857,32.251377
2,0.016667,0.005420,0.990901,-0.009101,0.134177,2.109168,84.424545,17.879869,-0.030363,0.983208,0.137834,0.115679,2.202328,91.489029,17.762697,0.028223,0.989643,0.095366,0.103512,0.948323,104.634331,21.377260,0.028892,0.997827,0.035265,0.047567,1.524833,120.280029,24.483339,0.056653,0.997761,-0.034540,-0.008382,2.417265,133.697647,23.748688,0.075652,0.942409,0.211262,0.248014,-2.310758,115.199554,23.536991,0.348546,-0.496332,0.025883,-0.794670,-16.526096,119.262527,16.384462,0.174174,0.319942,-0.502794,-0.783900,-4.009485,109.685837,-2.683465,0.386199,0.371886,-0.562097,-0.629761,1.320731,126.241615,3.323626,-0.057407,0.967868,0.244641,-0.009292,4.407766,114.679634,24.908901,0.369390,0.669165,0.093662,-0.637964,20.720514,116.579399,25.074821,0.050896,-0.123049,0.538352,-0.832133,18.570972,107.306160,2.241710,0.199041,-0.241932,0.648290,-0.693953,11.766748,123.153259,4.857958,0.088060,0.974590,0.125310,0.163456,-6.197204,84.496063,15.587611,0.052956,0.988081,0.067606,0.127757,-10.862756,50.468887,5.839518,-0.021920,0.965582,0.057034,0.252821,-14.825681,5.782273,-0.833676,-0.059527,0.962346,-0.116486,0.238279,10.415541,84.353027,20.172127,0.071913,0.942055,-0.138840,0.296790,12.524033,49.872803,29.189354,-0.017786,0.868571,0.038924,0.493713,2.640796,6.734943,39.117882,-0.021920,0.965582,0.057034,0.252821,-8.148519,1.789871,-12.577770,-0.017786,0.868571,0.038924,0.493713,14.096996,2.255321,32.252319
3,0.025000,0.005436,0.990900,-0.009121,0.134181,2.109970,84.425674,17.879538,-0.030529,0.983183,0.138094,0.115543,2.203393,91.490150,17.762117,0.028202,0.989667,0.095340,0.103314,0.944536,104.634300,21.383459,0.029195,0.997832,0.035048,0.047452,1.521073,120.280197,24.488556,0.056638,0.997762,-0.034532,-0.008449,2.421577,133.696976,23.748329,0.075798,0.942401,0.210880,0.248325,-2.314501,115.199371,23.543968,0.348533,-0.496335,0.025933,-0.794672,-16.524044,119.265877,16.381935,0.174163,0.319947,-0.502797,-0.783898,-4.007722,109.687485,-2.685322,0.386252,0.371818,-0.562235,-0.629645,1.322418,126.243713,3.322242,-0.057330,0.967878,0.244611,-0.009508,4.404603,114.680031,24.913248,0.369245,0.669260,0.093657,-0.637948,20.717505,116.579079,25.071606,0.050769,-0.123069,0.538291,-0.832178,18.574240,107.308647,2.236773,0.199069,-0.241915,0.648274,-0.693967,11.767435,123.155304,4.856447,0.087946,0.974629,0.125322,0.163275,-6.196379,84.497421,15.587208,0.053139,0.988066,0.067592,0.127802,-10.855721,50.469028,5.840392,-0.021909,0.965529,0.057004,0.253032,-14.834908,5.784017,-0.833815,-0.059553,0.962349,-0.116511,0.238250,10.416318,84.353928,20.171865,0.071989,0.942153,-0.138843,0.296460,12.526453,49.874348,29.191149,-0.017589,0.868597,0.039062,0.493663,2.640194,6.737536,39.121239,-0.021909,0.965529,0.057004,0.253032,-8.152882,1.790798,-12.574861,-0.017589,0.868597,0.039062,0.493663,14.094570,2.258540,32.252235
4,0.033333,0.005611,0.990908,-0.008836,0.134135,2.111984,84.423027,17.873280,-0.030571,0.983179,0.138097,0.115560,2.207303,91.487541,17.760178,0.028219,0.989660,0.095388,0.103333,0.946833,104.635857,21.382635,0.029241,0.997837,0.034923,0.047407,1.523700,120.281425,24.489311,0.056673,0.997762,-0.034434,-0.008545,2.425479,133.697922,23.745745,0.075677,0.942328,0.211235,0.248334,-2.311985,115.200806,23.544065,0.348060,-0.496339,0.026243,-0.794867,-16.521984,119.266357,16.382391,0.173975,0.319743,-0.502871,-0.783976,-4.006624,109.687080,-2.685066,0.386232,0.371880,-0.562245,-0.629612,1.326180,126.245163,3.321180,-0.057332,0.967864,0.244668,-0.009454,4.407053,114.681137,24.913559,0.369187,0.669316,0.093752,-0.637909,20.719986,116.579803,25.073772,0.050711,-0.123035,0.538217,-0.832234,18.581291,107.313095,2.236997,0.198989,-0.241836,0.648300,-0.693992,11.771816,123.157455,4.857012,0.087988,0.974633,0.125163,0.163350,-6.194545,84.498413,15.581714,0.052980,0.988128,0.067689,0.127333,-10.857959,50.467693,5.844967,-0.021971,0.965587,0.057044,0.252795,-14.824909,5.782345,-0.834259,-0.059608,0.962319,-0.116712,0.238258,10.418514,84.347633,20.164846,0.072035,0.942144,-0.138767,0.296512,12.528819,49.871857,29.198616,-0.017881,0.868568,0.039054,0.493706,2.640064,6.733730,39.120495,-0.021971,0.965587,0.057044,0.252795,-8.147879,1.790562,-12.578639,-0.017881,0.868568,0.039054,0.493706,14.097532,2.258384,32.254261
5,0.041667,0.005561,0.990910,-0.008767,0.134125,2.112753,84.421364,17.871469,-0.030489,0.983190,0.138056,0.115537,2.207241,91.485909,17.759245,0.028186,0.989657,0.095447,0.103317,0.948952,104.637077,21.381573,0.029344,0.997838,0.034837,0.047372,1.524626,120.282341,24.489979,0.056696,0.997762,-0.034389,-0.008607,2.429185,133.698532,23.744194,0.075832,0.942331,0.211021,0.248461,-2.310670,115.201523,23.544252,0.348054,-0.496332,0.026337,-0.794871,-16.517834,119.270996,16.379177,0.173939,0.319765,-0.502986,-0.783901,-4.002385,109.688255,-2.686478,0.386288,0.371912,-0.562249,-0.629555,1.325827,126.248634,3.319716,-0.057350,0.967853,0.244704,-0.009551,4.408439,114.682243,24.913540,0.369150,0.669307,0.093606,-0.637962,20.721241,116.582260,25.070868,0.050526,-0.122973,0.538364,-0.832159,18.580593,107.312599,2.235469,0.198835,-0.241833,0.648219,-0.694113,11.775764,123.159660,4.856714,0.087966,0.974630,0.125145,0.163391,-6.193834,84.496063,15.580093,0.053159,0.988064,0.067616,0.127794,-10.855587,50.464748,5.844622,-0.022121,0.965497,0.057132,0.253104,-14.836314,5.780226,-0.831947,-0.059635,0.962300,-0.116752,0.238308,10.419341,84.346657,20.162846,0.072070,0.942128,-0.138714,0.296579,12.530343,49.871792,29.199924,-0.017795,0.868479,0.039171,0.493855,2.639321,6.732783,39.115707,-0.022121,0.965497,0.057132,0.253104,-8.150392,1.791862,-12.572429,-0.017795,0.868479,0.039171,0.493855,14.098904,2.259005,32.251980
