Format Version,1.23,Take Name,p26_hook_left_main_020,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-08 11.41.45.929 오전,Total Frames in Take,1255,Total Exported Frames,1255,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.008659,0.948666,-0.011559,0.315950,0.551425,83.459801,25.187555,-0.022341,0.951828,0.077320,0.295883,0.723090,90.690018,25.068491,0.014831,0.957174,0.003741,0.289109,-0.722769,106.855186,27.262554,0.005170,0.975228,0.042873,0.216944,-0.247656,124.960709,27.547602,0.032651,0.983654,-0.113839,0.135644,0.383179,138.725861,27.129942,0.074460,0.903802,0.074359,0.414812,-3.354779,119.722244,25.468508,-0.029258,0.701154,-0.127719,0.700867,-13.845084,122.915756,13.449351,-0.034622,-0.221940,-0.339365,-0.913442,-14.200592,117.982552,-8.416126,0.062814,0.069255,-0.663261,-0.742524,-0.124791,131.307526,-16.426861,-0.060017,0.985629,0.042726,0.152011,2.518269,119.506668,29.372692,0.268516,0.772453,-0.015341,-0.575310,17.918917,121.220207,34.331425,-0.039815,-0.024645,0.474547,-0.878984,22.264324,111.524857,14.591116,0.130423,-0.184321,0.709210,-0.667860,11.030202,128.574402,16.252722,0.068704,0.927299,0.116817,0.348928,-6.507160,83.540283,19.897921,0.109782,0.961097,-0.026281,0.252091,-8.112148,49.855988,10.645406,0.018485,0.959835,0.058734,0.273727,-18.182636,6.097692,10.428393,-0.070121,0.944348,-0.033926,0.319592,7.610010,83.379318,30.477190,0.018634,0.920732,-0.089645,0.379301,11.482881,48.834900,34.285191,-0.044076,0.930135,0.068370,0.358095,6.888493,4.685107,41.062946,0.018485,0.959835,0.058734,0.273727,-11.220299,1.765454,-1.433551,-0.044076,0.930135,0.068370,0.358095,16.373846,1.127862,30.800280
1,0.008333,0.008705,0.948678,-0.011611,0.315912,0.545628,83.459808,25.195402,-0.022371,0.951844,0.077335,0.295824,0.718155,90.689995,25.075834,0.014889,0.957195,0.003740,0.289038,-0.728512,106.853355,27.269953,0.005252,0.975235,0.042669,0.216955,-0.251384,124.958817,27.555552,0.032570,0.983657,-0.113725,0.135739,0.382868,138.723663,27.132904,0.074477,0.903805,0.074240,0.414823,-3.359384,119.720757,25.476738,-0.029131,0.701102,-0.128003,0.700872,-13.849311,122.913170,13.456959,-0.034775,-0.222001,-0.339266,-0.913458,-14.204823,117.975060,-8.407413,0.062758,0.069160,-0.663047,-0.742730,-0.128162,131.297226,-16.418146,-0.060103,0.985625,0.042731,0.152003,2.514215,119.504402,29.380051,0.268728,0.772499,-0.015168,-0.575153,17.914612,121.220673,34.338619,-0.039714,-0.024571,0.474541,-0.878994,22.262978,111.521957,14.600613,0.130252,-0.184238,0.709229,-0.667896,11.029490,128.570129,16.257465,0.068678,0.927316,0.116867,0.348870,-6.513371,83.540779,19.906326,0.109750,0.960982,-0.026270,0.252545,-8.115957,49.857044,10.651353,0.018920,0.959828,0.058809,0.273704,-18.183321,6.098053,10.429349,-0.070061,0.944376,-0.033920,0.319523,7.604627,83.378830,30.484480,0.018616,0.920814,-0.089540,0.379126,11.473994,48.833797,34.290436,-0.044073,0.930129,0.068337,0.358116,6.885946,4.682252,41.061081,0.018920,0.959828,0.058809,0.273704,-11.225461,1.764859,-1.434873,-0.044073,0.930129,0.068337,0.358116,16.371664,1.124149,30.799049
2,0.016667,0.008739,0.948691,-0.011656,0.315869,0.539019,83.458313,25.203005,-0.021912,0.951861,0.076632,0.295986,0.712216,90.688477,25.082970,0.014774,0.957129,0.004106,0.289255,-0.714146,106.860626,27.260145,0.004927,0.975201,0.042825,0.217082,-0.244882,124.966095,27.557346,0.032623,0.983638,-0.113714,0.135875,0.379981,138.731445,27.137157,0.074292,0.904020,0.074373,0.414364,-3.349679,119.728027,25.473795,-0.029202,0.701058,-0.128219,0.700874,-13.852888,122.916206,13.464491,-0.034768,-0.222003,-0.339188,-0.913486,-14.208100,117.969116,-8.397863,0.062705,0.069063,-0.663074,-0.742719,-0.129251,131.288666,-16.409153,-0.059911,0.985566,0.042965,0.152396,2.522198,119.511726,29.379702,0.268918,0.772406,-0.015156,-0.575189,17.919456,121.220016,34.350765,-0.039580,-0.024395,0.474589,-0.878979,22.261364,111.516129,14.613875,0.129966,-0.184147,0.709322,-0.667878,11.030447,128.564575,16.261686,0.068669,0.927307,0.116929,0.348876,-6.520447,83.539619,19.914555,0.109725,0.961003,-0.026189,0.252484,-8.120870,49.856815,10.655828,0.018663,0.959823,0.058685,0.273767,-18.184292,6.096944,10.428073,-0.070027,0.944343,-0.033888,0.319631,7.598485,83.376999,30.491453,0.018564,0.920912,-0.089438,0.378916,11.465885,48.831470,34.294968,-0.044129,0.930133,0.068335,0.358099,6.887093,4.678121,41.060066,0.018663,0.959823,0.058685,0.273767,-11.222846,1.762139,-1.433461,-0.044129,0.930133,0.068335,0.358099,16.372894,1.120544,30.797932
3,0.025000,0.008720,0.948712,-0.011686,0.315805,0.533262,83.457802,25.210884,-0.022259,0.951856,0.077398,0.295778,0.706332,90.687965,25.090340,0.014882,0.957202,0.003710,0.289014,-0.737285,106.850601,27.287472,0.005295,0.975215,0.042426,0.217087,-0.260050,124.956070,27.571941,0.032577,0.983624,-0.113646,0.136045,0.377066,138.720596,27.143202,0.074568,0.903832,0.074040,0.414783,-3.368185,119.717911,25.493607,-0.029196,0.701038,-0.128161,0.700906,-13.858759,122.910271,13.474378,-0.034745,-0.221997,-0.339105,-0.913520,-14.212009,117.965065,-8.388433,0.062657,0.069011,-0.663041,-0.742757,-0.131397,131.280991,-16.399830,-0.059939,0.985650,0.042563,0.151950,2.505616,119.501755,29.396626,0.268733,0.772573,-0.015183,-0.575050,17.907171,121.213722,34.353085,-0.040009,-0.024226,0.474556,-0.878982,22.260733,111.513641,14.616897,0.129608,-0.183968,0.709335,-0.667983,11.027290,128.562164,16.267031,0.068591,0.927332,0.117025,0.348793,-6.526928,83.538651,19.923397,0.109767,0.961002,-0.026151,0.252473,-8.120749,49.856670,10.660528,0.018664,0.959816,0.058729,0.273782,-18.186914,6.097454,10.428618,-0.070008,0.944358,-0.033879,0.319591,7.593452,83.376953,30.498373,0.018547,0.920902,-0.089350,0.378961,11.459989,48.831207,34.300728,-0.044185,0.930103,0.068379,0.358163,6.885332,4.676369,41.058956,0.018664,0.959816,0.058729,0.273782,-11.224983,1.763821,-1.433057,-0.044185,0.930103,0.068379,0.358163,16.373079,1.120549,30.798010
4,0.033333,0.008664,0.948715,-0.011607,0.315801,0.530609,83.458977,25.217979,-0.022165,0.951864,0.077367,0.295765,0.702549,90.689178,25.098270,0.014835,0.957207,0.003730,0.289000,-0.737874,106.852516,27.295471,0.005351,0.975205,0.042309,0.217157,-0.262485,124.958038,27.580124,0.032515,0.983612,-0.113593,0.136189,0.377002,138.722366,27.148655,0.074507,0.903863,0.074067,0.414721,-3.370142,119.719574,25.501818,-0.029279,0.701053,-0.128155,0.700887,-13.862679,122.910454,13.483903,-0.034564,-0.221892,-0.339090,-0.913558,-14.216868,117.962883,-8.378361,0.062865,0.069083,-0.663170,-0.742618,-0.135301,131.275558,-16.387896,-0.059811,0.985640,0.042669,0.152037,2.503791,119.503990,29.404673,0.268888,0.772576,-0.014976,-0.574980,17.904995,121.211182,34.363873,-0.039941,-0.024137,0.474668,-0.878927,22.258457,111.511101,14.627653,0.129613,-0.183894,0.709394,-0.667940,11.029592,128.562225,16.273340,0.068665,0.927306,0.116983,0.348861,-6.529637,83.539330,19.930555,0.109681,0.960992,-0.026081,0.252555,-8.128618,49.857376,10.668464,0.018702,0.959836,0.058840,0.273682,-18.185905,6.096143,10.431627,-0.070056,0.944390,-0.033900,0.319486,7.590855,83.378624,30.505407,0.018602,0.921071,-0.089297,0.378561,11.460501,48.833447,34.309803,-0.044038,0.930129,0.068490,0.358093,6.885987,4.677937,41.063736,0.018702,0.959836,0.058840,0.273682,-11.226377,1.765299,-1.432483,-0.044038,0.930129,0.068490,0.358093,16.371237,1.123423,30.800024
5,0.041667,0.008625,0.948734,-0.011513,0.315749,0.526401,83.460854,25.225225,-0.022254,0.951872,0.077387,0.295729,0.697370,90.691093,25.106604,0.014970,0.957217,0.003752,0.288960,-0.745969,106.854721,27.303659,0.005392,0.975190,0.042080,0.217269,-0.266134,124.960091,27.590492,0.032413,0.983587,-0.113485,0.136478,0.376047,138.724106,27.153278,0.074367,0.903851,0.074010,0.414784,-3.375242,119.722641,25.511805,-0.029254,0.701056,-0.128223,0.700873,-13.866760,122.908737,13.491737,-0.034527,-0.221807,-0.339024,-0.913604,-14.221880,117.959892,-8.370214,0.062942,0.069052,-0.663318,-0.742482,-0.137164,131.269913,-16.377359,-0.059759,0.985654,0.042740,0.151952,2.498961,119.505142,29.414145,0.268944,0.772593,-0.014913,-0.574931,17.901203,121.210457,34.370754,-0.039917,-0.024155,0.474843,-0.878833,22.255791,111.509857,14.635038,0.129943,-0.183941,0.709457,-0.667795,11.033313,128.566208,16.281187,0.068683,0.927294,0.116978,0.348891,-6.534436,83.541084,19.938593,0.109674,0.960983,-0.025976,0.252604,-8.134363,49.859219,10.676355,0.018706,0.959798,0.058790,0.273828,-18.188684,6.097353,10.430143,-0.070147,0.944438,-0.033919,0.319321,7.587238,83.380630,30.511860,0.018665,0.921139,-0.089239,0.378405,11.463094,48.836430,34.318848,-0.044204,0.930147,0.068438,0.358034,6.886463,4.680210,41.066666,0.018706,0.959798,0.058790,0.273828,-11.225857,1.765001,-1.431471,-0.044204,0.930147,0.068438,0.358034,16.371717,1.126040,30.802845
