Format Version,1.23,Take Name,p26_hook_left_post_006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-08 11.45.40.130 오전,Total Frames in Take,1255,Total Exported Frames,1255,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.018488,0.928795,-0.039739,0.367994,0.624586,83.959595,17.345419,-0.023058,0.947970,0.040472,0.314932,1.084544,91.165039,16.909895,0.020394,0.954824,0.008441,0.296352,-0.058262,107.605827,17.937103,0.001723,0.973495,0.078040,0.214975,0.556563,125.702164,18.448057,0.025890,0.988071,-0.088642,0.123243,0.882546,139.474884,18.955997,0.047293,0.917937,0.054416,0.390120,-2.559850,120.514427,16.258623,0.224155,-0.578260,0.154887,-0.769012,-13.804540,122.617805,4.689783,0.091095,-0.024388,-0.523762,-0.846629,-7.454660,111.465797,-13.691571,-0.256387,-0.201308,0.714402,0.619170,1.834906,129.675751,-16.512959,-0.068104,0.983959,0.072686,0.148001,3.250594,120.204338,20.249166,0.238716,0.756476,-0.001579,-0.608898,18.656679,122.034821,25.148869,-0.124732,-0.015760,0.479601,-0.868433,21.896437,113.895126,4.513663,-0.008247,-0.187068,0.754212,-0.629366,10.899256,130.795990,7.510616,0.044820,0.914405,0.074518,0.395350,-5.801332,84.004539,11.302575,0.080165,0.951866,-0.064713,0.288681,-6.607227,49.564590,5.297791,0.076039,0.963855,0.080861,0.242206,-15.137614,5.615121,8.751394,-0.080589,0.903571,-0.083238,0.412477,7.050504,83.914642,23.388260,-0.016462,0.867877,-0.108799,0.484440,9.741976,49.884617,30.973127,-0.035399,0.902096,0.027833,0.429181,6.291692,6.069324,40.169098,0.076039,0.963855,0.080861,0.242206,-9.412922,1.597864,-3.859627,-0.035399,0.902096,0.027833,0.429181,17.014275,1.425395,31.718748
1,0.008333,0.018509,0.928751,-0.039703,0.368106,0.633955,83.961693,17.337406,-0.023077,0.947959,0.040473,0.314964,1.094071,91.167160,16.902533,0.020417,0.954822,0.008574,0.296351,-0.049260,107.606384,17.929455,0.001617,0.973517,0.077952,0.214909,0.564941,125.702606,18.445253,0.025908,0.988086,-0.088580,0.123159,0.888526,139.475494,18.950119,0.047251,0.917910,0.054716,0.390148,-2.551283,120.515350,16.254416,0.224039,-0.578495,0.154783,-0.768890,-13.795381,122.621277,4.685464,0.090786,-0.024202,-0.523828,-0.846626,-7.456229,111.474358,-13.702684,-0.256227,-0.201587,0.714357,0.619196,1.831207,129.688263,-16.511255,-0.068072,0.983943,0.073097,0.147919,3.259153,120.204399,20.244905,0.238677,0.756477,-0.001449,-0.608912,18.666176,122.032021,25.142735,-0.124824,-0.015880,0.479663,-0.868384,21.905993,113.897202,4.505615,-0.007916,-0.186816,0.754976,-0.628529,10.910110,130.800522,7.509259,0.044881,0.914310,0.074421,0.395581,-5.790485,84.007133,11.292995,0.080206,0.951815,-0.064804,0.288819,-6.601445,49.566563,5.292477,0.076146,0.963843,0.080868,0.242218,-15.138110,5.618739,8.751472,-0.080591,0.903564,-0.083378,0.412462,7.058395,83.916245,23.381815,-0.016425,0.867837,-0.108825,0.484505,9.745995,49.887882,30.975510,-0.035288,0.902113,0.027832,0.429153,6.290986,6.072980,40.171577,0.076146,0.963843,0.080868,0.242218,-9.414101,1.601110,-3.859740,-0.035288,0.902113,0.027832,0.429153,17.012030,1.427668,31.720036
2,0.016667,0.018457,0.928717,-0.039611,0.368205,0.646951,83.960838,17.327717,-0.023186,0.947939,0.040546,0.315007,1.105915,91.166451,16.893837,0.020430,0.954814,0.008698,0.296373,-0.041798,107.607437,17.921997,0.001799,0.973516,0.078012,0.214887,0.571517,125.703560,18.442234,0.025736,0.988097,-0.088702,0.123022,0.899618,139.476242,18.949766,0.047244,0.917923,0.054835,0.390100,-2.544349,120.516678,16.249975,0.224223,-0.578633,0.154402,-0.768810,-13.789686,122.623863,4.682456,0.090580,-0.024028,-0.524008,-0.846542,-7.452395,111.484467,-13.710889,-0.255981,-0.201485,0.714718,0.618915,1.827795,129.703995,-16.509573,-0.068044,0.983927,0.073117,0.148023,3.265898,120.205048,20.240685,0.238698,0.756512,-0.001401,-0.608860,18.672043,122.031387,25.141747,-0.124766,-0.015845,0.479642,-0.868404,21.914253,113.896774,4.504925,-0.007900,-0.186858,0.754858,-0.628658,10.917457,130.800110,7.506110,0.044929,0.914341,0.074355,0.395517,-5.776235,84.005920,11.281972,0.080281,0.951724,-0.064956,0.289063,-6.592523,49.564960,5.284395,0.076146,0.963837,0.080862,0.242241,-15.140351,5.619991,8.752091,-0.080553,0.903588,-0.083504,0.412392,7.070138,83.915749,23.373463,-0.016330,0.867768,-0.108847,0.484628,9.752279,49.888432,30.973772,-0.035353,0.902051,0.027850,0.429277,6.287593,6.073678,40.166912,0.076146,0.963837,0.080862,0.242241,-9.415785,1.602148,-3.858800,-0.035353,0.902051,0.027850,0.429277,17.011618,1.429660,31.718435
3,0.025000,0.018534,0.928669,-0.039630,0.368320,0.656036,83.960754,17.319103,-0.022955,0.947905,0.040581,0.315122,1.116188,91.166298,16.885450,0.020185,0.954782,0.008795,0.296492,-0.024633,107.605576,17.916842,0.001805,0.973511,0.078005,0.214916,0.579107,125.701996,18.437883,0.025717,0.988109,-0.088683,0.122944,0.907438,139.474670,18.945290,0.047381,0.917959,0.054976,0.389980,-2.533493,120.513580,16.244646,0.224306,-0.578746,0.154246,-0.768732,-13.781455,122.626472,4.680730,0.090415,-0.023938,-0.524149,-0.846475,-7.447885,111.489716,-13.715487,-0.255843,-0.201592,0.714681,0.618979,1.826231,129.713013,-16.507881,-0.068045,0.983901,0.073176,0.148169,3.275898,120.204819,20.236822,0.238515,0.756562,-0.001703,-0.608868,18.680620,122.030533,25.142580,-0.124811,-0.015642,0.479565,-0.868444,21.926262,113.893341,4.507317,-0.007917,-0.186792,0.754786,-0.628763,10.925904,130.796158,7.501896,0.044956,0.914288,0.074271,0.395651,-5.765604,84.006897,11.271726,0.080332,0.951692,-0.065047,0.289134,-6.585093,49.565231,5.278623,0.076103,0.963848,0.080800,0.242233,-15.139818,5.622062,8.752119,-0.080542,0.903461,-0.083528,0.412668,7.077675,83.914612,23.366480,-0.016342,0.867689,-0.108891,0.484759,9.756099,49.887459,30.968830,-0.035568,0.902042,0.027692,0.429288,6.289045,6.073603,40.165371,0.076103,0.963848,0.080800,0.242233,-9.415299,1.602762,-3.858325,-0.035568,0.902042,0.027692,0.429288,17.014666,1.428337,31.719616
4,0.033333,0.018582,0.928620,-0.039671,0.368437,0.662891,83.960022,17.312508,-0.022936,0.947881,0.040564,0.315197,1.123961,91.165497,16.878620,0.020161,0.954763,0.008943,0.296550,-0.016037,107.602707,17.909451,0.001767,0.973501,0.078012,0.214957,0.585240,125.699066,18.435366,0.025691,0.988103,-0.088703,0.122981,0.912568,139.471771,18.942776,0.047535,0.917992,0.054985,0.389882,-2.526393,120.510818,16.240355,0.224295,-0.578759,0.154158,-0.768742,-13.776371,122.628296,4.679237,0.090256,-0.023868,-0.524276,-0.846415,-7.442288,111.494621,-13.718675,-0.255789,-0.201576,0.714708,0.618977,1.827031,129.722458,-16.505775,-0.068294,0.983924,0.072994,0.147992,3.282529,120.201767,20.233192,0.238755,0.756593,-0.001725,-0.608736,18.687859,122.036789,25.133562,-0.124677,-0.015741,0.479537,-0.868477,21.935591,113.890579,4.502186,-0.007924,-0.186798,0.754891,-0.628636,10.934094,130.792862,7.497548,0.044911,0.914219,0.074260,0.395818,-5.757202,84.006584,11.263493,0.080468,0.951693,-0.065157,0.289067,-6.573066,49.564522,5.272202,0.076252,0.963813,0.080724,0.242351,-15.141877,5.624599,8.752032,-0.080527,0.903393,-0.083528,0.412820,7.082984,83.913460,23.361523,-0.016387,0.867603,-0.108946,0.484899,9.759146,49.886124,30.963861,-0.035316,0.902052,0.027826,0.429279,6.291686,6.073475,40.166016,0.076252,0.963813,0.080724,0.242351,-9.416130,1.602203,-3.856867,-0.035316,0.902052,0.027826,0.429279,17.015320,1.428417,31.717623
5,0.041667,0.018597,0.928577,-0.039680,0.368543,0.670442,83.960686,17.305834,-0.022912,0.947859,0.040680,0.315253,1.131814,91.166145,16.871946,0.020253,0.954751,0.008924,0.296582,-0.008959,107.607124,17.906862,0.001604,0.973505,0.078088,0.214914,0.595699,125.703369,18.433132,0.025715,0.988109,-0.088738,0.122906,0.918133,139.476151,18.941597,0.047586,0.918037,0.054889,0.389783,-2.516766,120.515739,16.237823,0.224279,-0.578783,0.154135,-0.768734,-13.769086,122.633430,4.679026,0.090103,-0.023917,-0.524424,-0.846338,-7.435921,111.500809,-13.719831,-0.255740,-0.201584,0.714600,0.619118,1.826718,129.731796,-16.505735,-0.067944,0.983892,0.073013,0.148354,3.291830,120.205536,20.231043,0.238561,0.756674,-0.001714,-0.608712,18.695213,122.028336,25.142082,-0.124739,-0.015336,0.479481,-0.868506,21.948402,113.888107,4.509206,-0.008101,-0.186668,0.754845,-0.628728,10.944633,130.790314,7.491058,0.044897,0.914176,0.074197,0.395931,-5.748260,84.007347,11.255343,0.080554,0.951650,-0.065235,0.289168,-6.564233,49.564541,5.268342,0.076271,0.963802,0.080672,0.242407,-15.142708,5.626780,8.751652,-0.080527,0.903335,-0.083574,0.412936,7.089143,83.914032,23.356323,-0.016374,0.867451,-0.108953,0.485171,9.763037,49.887230,30.961864,-0.035440,0.902027,0.027644,0.429333,6.291413,6.074697,40.162956,0.076271,0.963802,0.080672,0.242407,-9.415971,1.602750,-3.856277,-0.035440,0.902027,0.027644,0.429333,17.016516,1.426709,31.718046
