Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.007313,0.918958,-0.011372,0.394123,0.987152,83.229233,19.504002,-0.046882,0.928284,0.08995,0.357772,0.954776,90.459824,19.311129,0.018092,0.93773,0.036592,0.344958,-1.488928,106.268082,21.465088,0.031237,0.964283,0.086335,0.248453,-1.331588,124.321709,22.934288,0.029764,0.986416,-0.094899,0.130737,-0.239615,138.030151,23.902941,0.020482,0.889981,0.103724,0.443571,-4.088975,119.202042,20.176741,0.278209,-0.423544,0.142667,-0.85021,-13.942774,121.29229,7.400248,0.127478,0.159924,-0.652815,-0.729387,-0.48053,110.570679,-6.965592,-0.284669,-0.414734,0.672154,0.543294,1.484376,130.789047,-5.604502,-0.072659,0.969871,0.092706,0.213254,1.282848,118.784508,24.732069,0.254504,0.790509,0.013467,-0.556904,15.901017,120.434273,31.681356,-0.131955,0.002986,0.485203,-0.864383,21.509327,111.750153,11.789264,0.048786,-0.104289,0.740517,-0.662102,10.724907,128.861938,14.293833,0.047913,0.892528,0.118607,0.43247,-5.092538,83.031609,13.115835,0.113166,0.94512,-0.012095,0.306259,-4.495945,49.207207,4.263089,0.002811,0.958937,0.069082,0.275063,-14.433819,5.46777,2.177207,-0.076536,0.910723,-0.052242,0.402489,7.066842,83.426857,25.892168,0.025196,0.878862,-0.097511,0.466324,10.471153,49.058609,31.374063,-0.056213,0.883688,0.049827,0.462009,4.398958,5.066842,38.01511,0.002811,0.958937,0.069082,0.275063,-7.261586,1.521517,-9.694371,-0.056213,0.883688,0.049827,0.462009,15.962585,1.250367,30.290783
1,0.008333,-0.007363,0.918943,-0.011427,0.394155,0.983559,83.228889,19.50312,-0.046805,0.928302,0.089596,0.357824,0.950829,90.45945,19.309227,0.018463,0.937714,0.036713,0.34497,-1.486191,106.267044,21.453043,0.030906,0.96432,0.086238,0.248384,-1.31781,124.319862,22.930965,0.029674,0.98641,-0.095058,0.130688,-0.234045,138.029297,23.894657,0.020712,0.889994,0.103799,0.443517,-4.078299,119.203209,20.170912,0.278092,-0.423743,0.142945,-0.850102,-13.933333,121.301056,7.396626,0.127406,0.159824,-0.652703,-0.729522,-0.482221,110.569252,-6.972024,-0.284732,-0.414703,0.672072,0.543386,1.489959,130.78685,-5.610517,-0.072869,0.969793,0.092576,0.21359,1.293212,118.780197,24.726101,0.254593,0.790476,0.013622,-0.556906,15.905708,120.436287,31.685799,-0.13161,0.003008,0.485081,-0.864503,21.511871,111.753227,11.792641,0.048831,-0.104383,0.740927,-0.661625,10.723134,128.862396,14.288828,0.048013,0.892464,0.118567,0.432603,-5.09567,83.03006,13.114551,0.113087,0.945089,-0.012094,0.306385,-4.505185,49.205673,4.26134,0.002756,0.958926,0.069143,0.275088,-14.436126,5.464625,2.176248,-0.076516,0.910723,-0.05198,0.402527,7.062787,83.427719,25.891689,0.02508,0.87865,-0.097682,0.466695,10.473056,49.057343,31.356558,-0.056127,0.883701,0.04977,0.462001,4.400053,5.068052,38.013268,0.002756,0.958926,0.069143,0.275088,-7.262614,1.520401,-9.695231,-0.056127,0.883701,0.04977,0.462001,15.962672,1.249024,30.288696
2,0.016667,-0.007347,0.91896,-0.011414,0.394118,0.977981,83.231995,19.499846,-0.046722,0.928275,0.089608,0.357901,0.945392,90.462563,19.306217,0.018125,0.93767,0.036484,0.345131,-1.490334,106.275955,21.451935,0.030925,0.964252,0.086419,0.248584,-1.330794,124.329819,22.917902,0.030002,0.986355,-0.095277,0.130867,-0.247639,138.038925,23.886951,0.020585,0.889958,0.103648,0.44363,-4.087965,119.210068,20.160297,0.278462,-0.423542,0.142892,-0.85009,-13.939902,121.302376,7.382712,0.127723,0.160013,-0.652564,-0.72955,-0.480437,110.568192,-6.976339,-0.284772,-0.414523,0.671968,0.543631,1.496543,130.78421,-5.616832,-0.072628,0.969832,0.092579,0.213497,1.282161,118.792557,24.71763,0.254509,0.790671,0.013477,-0.556671,15.897101,120.441391,31.673929,-0.131801,0.003021,0.484979,-0.864531,21.51696,111.755325,11.785947,0.048731,-0.104448,0.740072,-0.662578,10.724011,128.861847,14.284949,0.047923,0.892485,0.118507,0.432584,-5.101766,83.033524,13.111761,0.113066,0.945132,-0.012027,0.306263,-4.507699,49.207539,4.264897,0.002654,0.958935,0.069097,0.275066,-14.435291,5.465913,2.175953,-0.076682,0.91084,-0.052103,0.402214,7.057729,83.430466,25.88793,0.025114,0.878923,-0.09764,0.466187,10.476871,49.062763,31.364027,-0.056212,0.883829,0.049567,0.461769,4.406743,5.072892,38.019501,0.002654,0.958935,0.069097,0.275066,-7.261487,1.521187,-9.695182,-0.056212,0.883829,0.049567,0.461769,15.965417,1.249848,30.291012
3,0.025,-0.007377,0.918949,-0.011458,0.394141,0.975393,83.233528,19.498558,-0.046706,0.928286,0.089412,0.357925,0.942655,90.464081,19.304169,0.018109,0.937662,0.036515,0.34515,-1.490854,106.28154,21.444592,0.031213,0.964244,0.086296,0.24862,-1.332288,124.33535,22.911446,0.029885,0.986348,-0.095422,0.130837,-0.2406,138.043869,23.879225,0.020572,0.889961,0.103554,0.443646,-4.089078,119.215584,20.153469,0.278496,-0.423452,0.143043,-0.850098,-13.940576,121.306244,7.375273,0.127993,0.160055,-0.652456,-0.72959,-0.479645,110.566711,-6.978412,-0.284942,-0.414725,0.67183,0.543558,1.502456,130.781403,-5.624088,-0.072651,0.969831,0.092514,0.21352,1.280865,118.798126,24.71102,0.254507,0.790771,0.013419,-0.556532,15.895369,120.448067,31.667973,-0.131874,0.00314,0.484924,-0.864551,21.5222,111.759392,11.783102,0.048602,-0.104355,0.740121,-0.662548,10.726748,128.865494,14.279146,0.048026,0.892471,0.118466,0.432613,-5.104032,83.034256,13.11019,0.112956,0.945146,-0.012019,0.306259,-4.517393,49.208279,4.262785,0.002593,0.958941,0.069141,0.275035,-14.435556,5.464399,2.176242,-0.076724,0.910815,-0.051991,0.402277,7.054819,83.432808,25.886927,0.025133,0.878508,-0.097692,0.466957,10.479431,49.064739,31.357315,-0.056244,0.883708,0.049483,0.462005,4.399842,5.075857,38.0107,0.002593,0.958941,0.069141,0.275035,-7.261824,1.521308,-9.695482,-0.056244,0.883708,0.049483,0.462005,15.962593,1.251388,30.289013
4,0.033333,-0.007443,0.91896,-0.011368,0.394116,0.973792,83.236092,19.49445,-0.046638,0.928285,0.08932,0.357958,0.939662,90.466652,19.300882,0.018074,0.937643,0.036488,0.345207,-1.49115,106.28685,21.439566,0.031055,0.964236,0.086287,0.248673,-1.333531,124.340775,22.905066,0.030027,0.98632,-0.095559,0.130919,-0.245949,138.049698,23.871634,0.020541,0.889954,0.103435,0.443691,-4.089767,119.220688,20.147142,0.278591,-0.423425,0.143117,-0.850068,-13.940014,121.308884,7.367577,0.128137,0.160126,-0.65227,-0.729715,-0.479008,110.565254,-6.982965,-0.284962,-0.41462,0.671764,0.54371,1.512035,130.779053,-5.62857,-0.072738,0.969792,0.092699,0.213587,1.279639,118.803802,24.705379,0.254505,0.790837,0.013261,-0.556443,15.892808,120.45491,31.664858,-0.131907,0.003331,0.484928,-0.864543,21.524113,111.761566,11.783292,0.048531,-0.104273,0.74011,-0.662577,10.728628,128.869064,14.273357,0.048022,0.892493,0.118382,0.432592,-5.105958,83.036385,13.106404,0.112915,0.945182,-0.011977,0.306166,-4.521874,49.209,4.264235,0.002623,0.958945,0.069155,0.27502,-14.435668,5.464199,2.176247,-0.07676,0.910821,-0.0519,0.402269,7.053542,83.435806,25.882494,0.025062,0.878201,-0.0978,0.467515,10.483022,49.067471,31.348122,-0.05608,0.88368,0.049427,0.462083,4.400255,5.080175,38.009064,0.002623,0.958945,0.069155,0.27502,-7.26254,1.521297,-9.695907,-0.05608,0.88368,0.049427,0.462083,15.96286,1.252195,30.288898
5,0.041667,-0.00741,0.918987,-0.011404,0.394054,0.968314,83.238686,19.49308,-0.046552,0.928284,0.089159,0.358012,0.934809,90.469246,19.299225,0.018122,0.937611,0.036457,0.345293,-1.491796,106.291115,21.434038,0.03104,0.96423,0.086113,0.248761,-1.332273,124.345055,22.899088,0.030016,0.986303,-0.095597,0.13102,-0.243842,138.054245,23.861074,0.020529,0.889956,0.103354,0.443706,-4.088633,119.225227,20.14081,0.278625,-0.423419,0.1432,-0.850046,-13.938466,121.311951,7.360686,0.128328,0.160232,-0.65212,-0.729793,-0.478308,110.564713,-6.987956,-0.285215,-0.414657,0.671591,0.543763,1.519278,130.777359,-5.634224,-0.072883,0.969776,0.092576,0.213664,1.279913,118.807816,24.700012,0.254676,0.790892,0.01334,-0.556284,15.891316,120.464088,31.661966,-0.13175,0.003399,0.48488,-0.864593,21.526672,111.765907,11.783661,0.048534,-0.104124,0.740179,-0.662524,10.729897,128.872147,14.267818,0.048006,0.892533,0.118374,0.432512,-5.112308,83.039268,13.105856,0.112861,0.945206,-0.011945,0.306114,-4.528237,49.211647,4.264593,0.002692,0.958937,0.069152,0.275046,-14.436724,5.46568,2.175911,-0.076866,0.910889,-0.051881,0.402095,7.048936,83.438103,25.880301,0.02512,0.878306,-0.097806,0.467313,10.48676,49.070778,31.347025,-0.05602,0.883684,0.049377,0.46209,4.400738,5.083847,38.007385,0.002692,0.958937,0.069152,0.275046,-7.263613,1.522172,-9.69605,-0.05602,0.883684,0.049377,0.46209,15.962818,1.253852,30.287434
6,0.05,-0.00737,0.919004,-0.011469,0.394011,0.963044,83.240761,19.491745,-0.046505,0.928299,0.089028,0.358013,0.930438,90.471306,19.297255,0.018087,0.937607,0.036408,0.345311,-1.493282,106.294212,21.428759,0.0312,0.964195,0.086078,0.248889,-1.334368,124.348328,22.891727,0.029858,0.98627,-0.095744,0.131201,-0.241373,138.057129,23.854126,0.020563,0.8899,0.103286,0.443832,-4.090467,119.228104,20.133936,0.278717,-0.423414,0.143298,-0.850002,-13.936621,121.315216,7.351037,0.128553,0.160349,-0.651974,-0.729858,-0.47752,110.562859,-6.994771,-0.285449,-0.414739,0.671387,0.543829,1.526248,130.774719,-5.642395,-0.072898,0.969766,0.092534,0.213723,1.27792,118.811378,24.69339,0.254854,0.790963,0.013671,-0.556093,15.888451,120.468201,31.657059,-0.131592,0.00338,0.484793,-0.864666,21.529245,111.771049,11.779849,0.048475,-0.104074,0.740301,-0.6624,10.729359,128.875015,14.260991,0.04799,0.892568,0.118369,0.432445,-5.118181,83.04155,13.105083,0.112802,0.945243,-0.011911,0.306024,-4.533939,49.213718,4.264622,0.00261,0.958953,0.069085,0.27501,-14.436807,5.466491,2.175615,-0.076879,0.9109,-0.05183,0.402075,7.044269,83.439972,25.878407,0.024985,0.878301,-0.097878,0.467315,10.484448,49.072407,31.342155,-0.055887,0.883798,0.049291,0.461897,4.406033,5.086133,38.013844,0.00261,0.958953,0.069085,0.27501,-7.263988,1.521789,-9.696131,-0.055887,0.883798,0.049291,0.461897,15.963459,1.252074,30.288929
7,0.058333,-0.007344,0.919021,-0.011489,0.393973,0.957854,83.241096,19.489199,-0.046389,0.92831,0.088874,0.358036,0.925696,90.471634,19.294592,0.018088,0.937592,0.03639,0.345354,-1.493329,106.298744,21.423204,0.03136,0.964189,0.085971,0.248929,-1.334219,124.352905,22.885557,0.029795,0.986264,-0.095838,0.13119,-0.236207,138.061432,23.846241,0.020524,0.889865,0.103274,0.443907,-4.090164,119.232628,20.127699,0.278817,-0.4234,0.143481,-0.849945,-13.934195,121.318672,7.342993,0.128719,0.160296,-0.651634,-0.730144,-0.476904,110.557983,-6.998256,-0.284969,-0.414754,0.671495,0.543936,1.545408,130.766327,-5.648322,-0.072878,0.969749,0.092489,0.213825,1.277807,118.815971,24.687649,0.254674,0.79102,0.013392,-0.556102,15.887009,120.472145,31.654253,-0.131748,0.003665,0.484824,-0.864624,21.531464,111.773788,11.778605,0.048643,-0.103663,0.741079,-0.661581,10.732063,128.880875,14.253135,0.047942,0.892608,0.118366,0.432369,-5.123911,83.04216,13.103045,0.11279,0.945273,-0.011895,0.305934,-4.537546,49.213974,4.2641,0.002676,0.958934,0.069109,0.275067,-14.439199,5.466476,2.175011,-0.076813,0.910897,-0.05163,0.402121,7.039618,83.440025,25.875355,0.024828,0.878057,-0.098022,0.467751,10.481073,49.070313,31.324772,-0.055964,0.88374,0.04924,0.462003,4.405743,5.085865,38.011292,0.002676,0.958934,0.069109,0.275067,-7.265554,1.521906,-9.696278,-0.055964,0.88374,0.04924,0.462003,15.965453,1.251692,30.289858
8,0.066667,-0.007297,0.919034,-0.011597,0.39394,0.951077,83.243095,19.488615,-0.046329,0.928326,0.088716,0.358041,0.920153,90.473618,19.292847,0.018089,0.937587,0.03639,0.345367,-1.495363,106.302391,21.417545,0.031454,0.964181,0.085865,0.248986,-1.336237,124.356552,22.879948,0.029763,0.986243,-0.095966,0.131264,-0.234974,138.064957,23.838526,0.020588,0.889805,0.103203,0.444041,-4.092119,119.23629,20.122,0.278884,-0.423374,0.143612,-0.849914,-13.932178,121.323547,7.334441,0.128861,0.160322,-0.651519,-0.730216,-0.475621,110.557114,-7.003172,-0.285116,-0.41466,0.671401,0.544047,1.552358,130.76387,-5.655241,-0.072946,0.969753,0.092399,0.213823,1.27572,118.819603,24.682098,0.254859,0.791053,0.013552,-0.555966,15.884612,120.478531,31.648684,-0.131563,0.003667,0.484731,-0.864704,21.53163,111.777115,11.775117,0.048515,-0.103661,0.741214,-0.66144,10.728868,128.882004,14.245345,0.047959,0.892632,0.11838,0.432313,-5.131155,83.044189,13.10291,0.112691,0.945344,-0.011869,0.305752,-4.545965,49.216347,4.262579,0.002586,0.958944,0.069077,0.275042,-14.438985,5.466786,2.1759,-0.076927,0.911008,-0.051713,0.401837,7.033309,83.442001,25.874319,0.024889,0.87841,-0.097977,0.467094,10.481287,49.074112,31.331083,-0.055795,0.883837,0.049139,0.461849,4.408033,5.089146,38.016052,0.002586,0.958944,0.069077,0.275042,-7.265211,1.522046,-9.695247,-0.055795,0.883837,0.049139,0.461849,15.963429,1.250114,30.290586
9,0.075,-0.007245,0.919053,-0.011616,0.393896,0.946728,83.244118,19.485538,-0.046273,0.928329,0.088597,0.35807,0.916589,90.474648,19.28982,0.018129,0.93757,0.036363,0.345414,-1.496253,106.306282,21.411848,0.031432,0.964196,0.08571,0.248983,-1.33553,124.360451,22.873827,0.029787,0.986242,-0.096025,0.131219,-0.233797,138.069122,23.828119,0.020601,0.889785,0.103149,0.444092,-4.091638,119.240395,20.115736,0.278868,-0.423314,0.14379,-0.849919,-13.930218,121.327438,7.327003,0.128997,0.160284,-0.651402,-0.730304,-0.473662,110.555229,-7.006283,-0.285244,-0.414574,0.671324,0.544141,1.561027,130.761795,-5.661884,-0.072985,0.969739,0.092403,0.213871,1.275718,118.823303,24.676367,0.254673,0.791101,0.01308,-0.555995,15.88376,120.483292,31.644493,-0.131643,0.003809,0.484669,-0.864726,21.533575,111.776199,11.774203,0.04838,-0.103892,0.74046,-0.662258,10.728374,128.880127,14.240688,0.047861,0.892788,0.118354,0.432008,-5.136133,83.045929,13.10041,0.112671,0.945417,-0.01181,0.305537,-4.548613,49.216995,4.264405,0.002456,0.958955,0.069047,0.275013,-14.438868,5.466905,2.175568,-0.076868,0.910968,-0.051548,0.40196,7.02959,83.442314,25.870668,0.024737,0.878075,-0.09809,0.467707,10.477794,49.072586,31.315756,-0.055989,0.883773,0.049025,0.46196,4.407081,5.088937,38.011723,0.002456,0.958955,0.069047,0.275013,-7.264669,1.522296,-9.695369,-0.055989,0.883773,0.049025,0.46196,15.965579,1.249814,30.290943
