Format Version,1.23,Take Name,p26_jap_pre_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-08 10.33.15.341 오전,Total Frames in Take,1196,Total Exported Frames,1196,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.005887,0.956251,-0.007620,0.292388,-0.797794,83.337486,18.931904,-0.003750,0.956514,0.033566,0.289725,-0.684122,90.569382,18.851397,0.014103,0.957268,0.015494,0.288441,-1.090053,105.781532,19.797306,-0.003297,0.977420,-0.027969,0.209421,-0.762884,123.879623,20.482006,0.013257,0.989213,-0.063176,0.131492,0.031718,137.436493,18.108887,0.004824,0.921435,0.082681,0.379604,-3.829235,118.663048,18.290407,0.265390,-0.416846,0.288946,-0.819950,-15.409327,119.828964,6.921712,0.164751,0.257656,-0.562323,-0.768286,-4.525466,104.246353,-4.964669,0.369561,0.340139,-0.606329,-0.616519,0.052970,122.749237,-0.857922,-0.016975,0.980118,0.068620,0.185396,2.049549,118.409477,22.183659,0.292864,0.828023,-0.101558,-0.467221,17.191492,118.536888,28.134319,-0.245465,0.127590,0.487111,-0.828366,25.976410,105.536842,12.122266,-0.108908,0.036765,0.732586,-0.670899,16.060087,123.033226,12.680671,0.089113,0.910904,0.130068,0.381306,-8.109964,83.397499,13.998461,0.115434,0.943015,0.004712,0.312051,-10.318440,50.167263,3.335849,-0.026933,0.957252,0.035850,0.285759,-19.962273,6.463239,-0.298122,-0.088348,0.942920,-0.033984,0.319283,6.514378,83.277473,23.865349,0.006036,0.895455,-0.167891,0.412234,11.581697,48.935345,28.079281,-0.023175,0.901377,0.012840,0.432224,4.880881,6.567299,41.357029,-0.026933,0.957252,0.035850,0.285759,-12.335898,1.864459,-11.639980,-0.023175,0.901377,0.012840,0.432224,15.486116,1.413040,33.055775
1,0.008333,0.005860,0.956232,-0.007543,0.292452,-0.794097,83.339600,18.930958,-0.003850,0.956439,0.033576,0.289969,-0.681113,90.571518,18.851400,0.014230,0.957176,0.015571,0.288738,-1.090245,105.782341,19.796545,-0.003213,0.977369,-0.027894,0.209668,-0.759660,123.880219,20.485344,0.013435,0.989186,-0.063130,0.131700,0.037772,137.437424,18.115070,0.004917,0.921281,0.082968,0.379912,-3.825759,118.664764,18.290720,0.265106,-0.416673,0.288981,-0.820117,-15.398209,119.837845,6.914976,0.164806,0.258364,-0.562153,-0.768160,-4.508779,104.259155,-4.971455,0.369756,0.340682,-0.605985,-0.616440,0.063139,122.760536,-0.844610,-0.016869,0.980052,0.068716,0.185719,2.050558,118.409111,22.187563,0.293088,0.828194,-0.101365,-0.466817,17.188725,118.531784,28.147936,-0.245484,0.128014,0.487067,-0.828321,25.984648,105.527023,12.145749,-0.108881,0.037586,0.732635,-0.670804,16.069815,123.027374,12.690231,0.089140,0.910881,0.130079,0.381353,-8.105615,83.399544,13.996540,0.115438,0.943033,0.004682,0.311995,-10.314928,50.169838,3.332479,-0.026844,0.957260,0.035845,0.285743,-19.960121,6.465867,-0.298521,-0.088373,0.942880,-0.033970,0.319396,6.517421,83.279655,23.865376,0.006096,0.895443,-0.167916,0.412249,11.586155,48.937759,28.079504,-0.023042,0.901354,0.012904,0.432278,4.879323,6.570536,41.356838,-0.026844,0.957260,0.035845,0.285743,-12.335028,1.866202,-11.640890,-0.023042,0.901354,0.012904,0.432278,15.484522,1.416242,33.055557
2,0.016667,0.005806,0.956194,-0.007336,0.292584,-0.787488,83.339920,18.927908,-0.004009,0.956366,0.033611,0.290203,-0.676126,90.571892,18.851006,0.014366,0.957093,0.015677,0.289001,-1.090465,105.783440,19.795700,-0.003168,0.977326,-0.027835,0.209881,-0.756466,123.881058,20.489689,0.013657,0.989160,-0.063081,0.131896,0.042690,137.438538,18.121569,0.005020,0.921150,0.083178,0.380183,-3.822449,118.666840,18.291935,0.264739,-0.416447,0.289103,-0.820308,-15.388149,119.846298,6.909993,0.164815,0.258890,-0.562033,-0.768070,-4.493443,104.270195,-4.974984,0.369867,0.341184,-0.605639,-0.616436,0.073337,122.770073,-0.832580,-0.016856,0.979954,0.069010,0.186130,2.051668,118.408882,22.191940,0.293374,0.828273,-0.101300,-0.466512,17.184868,118.528427,28.164974,-0.245389,0.128501,0.487142,-0.828230,25.986052,105.514763,12.172915,-0.108790,0.038120,0.732861,-0.670542,16.079075,123.020302,12.700550,0.089066,0.910935,0.130064,0.381246,-8.097656,83.400002,13.991493,0.115542,0.943107,0.004665,0.311733,-10.303993,50.169109,3.330506,-0.026920,0.957275,0.035817,0.285688,-19.959349,6.467286,-0.299266,-0.088371,0.942876,-0.034014,0.319403,6.522681,83.279846,23.864323,0.006138,0.895432,-0.167938,0.412264,11.590240,48.938133,28.081354,-0.022982,0.901350,0.012956,0.432287,4.878999,6.571636,41.358757,-0.026920,0.957275,0.035817,0.285688,-12.334856,1.867489,-11.641981,-0.022982,0.901350,0.012956,0.432287,15.484011,1.417889,33.056904
3,0.025000,0.005752,0.956185,-0.007330,0.292616,-0.785518,83.340027,18.926943,-0.004627,0.956408,0.033559,0.290063,-0.674922,90.572006,18.849897,0.014628,0.957153,0.015727,0.288785,-1.106644,105.782410,19.787607,-0.002378,0.977326,-0.027602,0.209922,-0.763960,123.879692,20.485985,0.013719,0.989148,-0.063026,0.132006,0.055048,137.437866,18.128637,0.005242,0.920999,0.083314,0.380516,-3.833356,118.667458,18.288319,0.264722,-0.416000,0.289271,-0.820480,-15.390741,119.856117,6.898883,0.165289,0.259664,-0.561761,-0.767905,-4.483709,104.277206,-4.971099,0.370059,0.341778,-0.604831,-0.616785,0.078511,122.771904,-0.816568,-0.016802,0.979884,0.069043,0.186491,2.042418,118.405807,22.185583,0.293479,0.828545,-0.101346,-0.465954,17.171310,118.522552,28.169596,-0.245487,0.128826,0.487094,-0.828179,25.993092,105.502991,12.193683,-0.108429,0.038387,0.733070,-0.670357,16.087500,123.009766,12.712191,0.089083,0.910883,0.130102,0.381352,-8.095369,83.399216,13.990042,0.115559,0.943057,0.004584,0.311879,-10.300502,50.169235,3.325956,-0.026806,0.957284,0.035880,0.285661,-19.958994,6.467694,-0.298874,-0.088401,0.942804,-0.033979,0.319612,6.524333,83.280830,23.863844,0.006162,0.895439,-0.167966,0.412235,11.593744,48.939327,28.080338,-0.023009,0.901373,0.012880,0.432240,4.880007,6.573692,41.359234,-0.026806,0.957284,0.035880,0.285661,-12.336099,1.868602,-11.642954,-0.023009,0.901373,0.012880,0.432240,15.484103,1.418430,33.057140
4,0.033333,0.005802,0.956147,-0.007347,0.292737,-0.783408,83.338348,18.926807,-0.004687,0.956342,0.033639,0.290271,-0.672036,90.570320,18.849758,0.014709,0.957081,0.015764,0.289016,-1.106429,105.780876,19.789196,-0.002072,0.977279,-0.027564,0.210149,-0.761461,123.878029,20.489790,0.013826,0.989129,-0.062975,0.132164,0.066409,137.436203,18.135567,0.005339,0.920845,0.083397,0.380868,-3.830549,118.666481,18.290052,0.264426,-0.415798,0.289353,-0.820649,-15.379183,119.860016,6.892261,0.165307,0.260211,-0.561598,-0.767836,-4.466759,104.283813,-4.976314,0.370079,0.342224,-0.604634,-0.616719,0.091830,122.776863,-0.805193,-0.016634,0.979827,0.068963,0.186833,2.043304,118.403534,22.190123,0.293737,0.828556,-0.101371,-0.465765,17.168226,118.514595,28.184254,-0.245357,0.129121,0.487220,-0.828097,25.991064,105.485626,12.216600,-0.108205,0.038695,0.733332,-0.670089,16.093704,122.996857,12.724358,0.088978,0.910914,0.130133,0.381294,-8.092003,83.398285,13.988060,0.115660,0.943133,0.004590,0.311611,-10.290334,50.167549,3.324931,-0.026882,0.957285,0.035867,0.285650,-19.958118,6.468114,-0.300524,-0.088406,0.942747,-0.033894,0.319786,6.525186,83.278412,23.865553,0.006159,0.895364,-0.168004,0.412382,11.596049,48.936562,28.077511,-0.022990,0.901342,0.012920,0.432303,4.878947,6.572074,41.358383,-0.026882,0.957285,0.035867,0.285650,-12.334750,1.869297,-11.644393,-0.022990,0.901342,0.012920,0.432303,15.484184,1.417572,33.057278
5,0.041667,0.005825,0.956135,-0.007313,0.292777,-0.783652,83.337196,18.926447,-0.004650,0.956278,0.033641,0.290481,-0.672102,90.569176,18.849968,0.014822,0.956999,0.015808,0.289281,-1.105680,105.780373,19.789734,-0.002051,0.977219,-0.027650,0.210414,-0.757468,123.877357,20.493143,0.014034,0.989096,-0.062768,0.132488,0.072531,137.435104,18.137171,0.005371,0.920735,0.083514,0.381108,-3.826388,118.666748,18.290956,0.263981,-0.415402,0.289432,-0.820966,-15.369076,119.863319,6.887461,0.165265,0.260454,-0.561600,-0.767761,-4.443924,104.293121,-4.977284,0.370204,0.342484,-0.604783,-0.616353,0.110158,122.788071,-0.798212,-0.016580,0.979745,0.069098,0.187216,2.045259,118.402054,22.194227,0.294112,0.828587,-0.101209,-0.465509,17.165575,118.509689,28.200027,-0.245085,0.129420,0.487350,-0.828054,25.989258,105.470955,12.240820,-0.107914,0.039165,0.733461,-0.669967,16.100447,122.986626,12.734755,0.089037,0.910856,0.130195,0.381396,-8.091828,83.397690,13.987091,0.115649,0.943115,0.004493,0.311672,-10.290931,50.168823,3.318296,-0.026906,0.957267,0.035860,0.285708,-19.960304,6.469080,-0.299211,-0.088417,0.942744,-0.033846,0.319798,6.524524,83.276711,23.865805,0.006200,0.895379,-0.168034,0.412337,11.597155,48.934769,28.074932,-0.023129,0.901316,0.012867,0.432353,4.876265,6.571245,41.356953,-0.026906,0.957267,0.035860,0.285708,-12.335370,1.870312,-11.642048,-0.023129,0.901316,0.012867,0.432353,15.483544,1.417159,33.058205
