Format Version,1.23,Take Name,p26_straight_main_005,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-08 11.10.58.228 오전,Total Frames in Take,1246,Total Exported Frames,1246,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.000085,0.928012,-0.051628,0.368955,-1.424776,83.612732,21.660915,0.005321,0.945807,0.021064,0.324001,-1.148071,90.807404,20.968256,-0.004554,0.951014,-0.016651,0.308667,-1.205671,106.859268,21.663832,-0.006893,0.971924,0.056418,0.228326,-1.176355,124.962463,21.039225,0.022904,0.987498,-0.069104,0.139813,-0.930173,138.745743,20.926594,0.037495,0.895254,0.083538,0.436045,-4.068962,119.547142,19.109097,0.106024,-0.664255,0.118405,-0.730414,-14.106081,121.824707,6.508537,0.072445,-0.266536,-0.402334,-0.872833,-12.099856,114.789459,-14.682092,-0.170166,0.000145,0.731190,0.660610,-1.056704,128.510864,-25.506214,-0.095507,0.985352,0.021787,0.139593,1.641920,119.680771,23.250328,0.241290,0.776931,-0.008542,-0.581451,16.980806,122.644028,27.793774,-0.091665,-0.041805,0.452847,-0.885878,21.630013,114.016174,7.631746,0.046955,-0.217149,0.749393,-0.623741,9.513860,130.436569,10.877702,0.068200,0.896769,0.105007,0.424414,-7.844229,83.278069,15.620303,0.103103,0.930534,0.005389,0.351350,-9.004730,49.405731,7.010112,-0.026529,0.952999,0.063135,0.295134,-17.450705,5.460310,3.306529,-0.080473,0.924985,-0.065236,0.365610,4.994677,83.947388,27.701527,0.002995,0.883764,-0.125133,0.450882,8.532532,49.729137,33.979401,-0.032928,0.899874,0.022381,0.434330,3.228003,6.233454,43.789520,-0.026529,0.952999,0.063135,0.295134,-9.548381,1.579843,-8.114660,-0.032928,0.899874,0.022381,0.434330,14.002630,1.429400,35.496349
1,0.008333,0.000182,0.927951,-0.051709,0.369098,-1.416016,83.613792,21.660440,0.005514,0.945744,0.020924,0.324190,-1.137471,90.808342,20.967260,-0.004823,0.950948,-0.016601,0.308868,-1.187856,106.859680,21.660557,-0.007126,0.971883,0.056539,0.228464,-1.168238,124.962852,21.034678,0.022708,0.987485,-0.069142,0.139916,-0.928807,138.746262,20.924011,0.037585,0.895240,0.083692,0.436038,-4.057066,119.545792,19.103735,0.105898,-0.664241,0.118422,-0.730442,-14.094167,121.828125,6.504015,0.072216,-0.266429,-0.402382,-0.872863,-12.087337,114.795959,-14.687581,-0.170041,-0.000007,0.731107,0.660733,-1.043456,128.522461,-25.504511,-0.095552,0.985327,0.021786,0.139739,1.652025,119.682869,23.247322,0.241230,0.776936,-0.008727,-0.581466,16.989304,122.647392,27.795368,-0.091640,-0.041706,0.452799,-0.885910,21.639017,114.016724,7.634658,0.046979,-0.217014,0.749231,-0.623980,9.520893,130.436188,10.876390,0.068139,0.896715,0.104990,0.424543,-7.833606,83.280060,15.617798,0.103237,0.930541,0.005332,0.351294,-8.989579,49.406891,7.010280,-0.026481,0.953022,0.063008,0.295089,-17.448668,5.463907,3.307774,-0.080472,0.924955,-0.065204,0.365694,5.001574,83.947525,27.703083,0.003033,0.883657,-0.125159,0.451084,8.539587,49.728962,33.979202,-0.033055,0.899873,0.022285,0.434326,3.228755,6.233883,43.788570,-0.026481,0.953022,0.063008,0.295089,-9.548095,1.579647,-8.113335,-0.033055,0.899873,0.022285,0.434326,14.004122,1.429052,35.496811
2,0.016667,0.000111,0.927913,-0.051708,0.369194,-1.404839,83.615471,21.659016,0.005175,0.945737,0.021085,0.324208,-1.127177,90.810028,20.965504,-0.004610,0.950949,-0.016627,0.308867,-1.189578,106.860901,21.660151,-0.008035,0.971902,0.056226,0.228431,-1.162338,124.964104,21.035742,0.022947,0.987448,-0.069005,0.140211,-0.945355,138.747757,20.910931,0.037514,0.895149,0.083694,0.436231,-4.053438,119.548431,19.104347,0.105844,-0.664219,0.118264,-0.730496,-14.085234,121.829132,6.500113,0.072048,-0.266290,-0.402459,-0.872883,-12.075374,114.803612,-14.693398,-0.169894,-0.000144,0.731048,0.660836,-1.031233,128.535202,-25.502762,-0.095648,0.985321,0.021796,0.139709,1.655694,119.682755,23.247969,0.241147,0.776996,-0.008731,-0.581420,16.992645,122.650322,27.795141,-0.091678,-0.041704,0.452775,-0.885918,21.646524,114.021828,7.634465,0.047118,-0.216982,0.749267,-0.623937,9.526843,130.441345,10.876885,0.068161,0.896713,0.104966,0.424549,-7.821177,83.280502,15.615111,0.103341,0.930532,0.005281,0.351288,-8.979199,49.407192,7.008441,-0.026517,0.953010,0.062999,0.295126,-17.448492,5.466089,3.306941,-0.080488,0.924912,-0.065229,0.365794,5.011499,83.950439,27.702921,0.003163,0.883674,-0.125177,0.451044,8.549218,49.732292,33.981453,-0.033014,0.899837,0.022278,0.434405,3.227805,6.237695,43.787212,-0.026517,0.953010,0.062999,0.295126,-9.546755,1.581904,-8.113389,-0.033014,0.899837,0.022278,0.434405,14.004225,1.432246,35.497177
3,0.025000,-0.000020,0.927876,-0.051607,0.369300,-1.391395,83.617783,21.657621,0.005335,0.945679,0.020948,0.324383,-1.115951,90.812492,20.964796,-0.004898,0.950884,-0.016562,0.309067,-1.172171,106.860390,21.656805,-0.008436,0.971875,0.056247,0.228526,-1.155460,124.963570,21.031435,0.022893,0.987439,-0.068963,0.140301,-0.949173,138.747375,20.904770,0.037711,0.895134,0.083752,0.436233,-4.042539,119.546066,19.099144,0.105718,-0.664207,0.118258,-0.730525,-14.073782,121.833328,6.495657,0.071883,-0.266206,-0.402495,-0.872906,-12.063176,114.811638,-14.699054,-0.169767,-0.000347,0.731021,0.660899,-1.018418,128.546906,-25.502911,-0.095757,0.985288,0.021884,0.139852,1.664809,119.684013,23.245106,0.241106,0.777067,-0.008643,-0.581343,16.999775,122.654488,27.797068,-0.091627,-0.041656,0.452603,-0.886014,21.658581,114.028969,7.636246,0.047061,-0.216865,0.749156,-0.624115,9.532351,130.444229,10.875483,0.068218,0.896697,0.104906,0.424590,-7.806351,83.281235,15.612337,0.103385,0.930575,0.005256,0.351160,-8.969309,49.407585,7.007692,-0.026657,0.953047,0.062984,0.294999,-17.443558,5.467278,3.308115,-0.080422,0.924899,-0.065263,0.365834,5.023562,83.954330,27.702908,0.003238,0.883591,-0.125187,0.451205,8.555902,49.735744,33.982098,-0.033056,0.899791,0.022186,0.434501,3.226337,6.241420,43.784641,-0.026657,0.953047,0.062984,0.294999,-9.543560,1.583836,-8.113670,-0.033056,0.899791,0.022186,0.434501,14.004548,1.434294,35.497906
4,0.033333,-0.000148,0.927832,-0.051576,0.369414,-1.376118,83.614891,21.654568,0.004887,0.945672,0.021226,0.324391,-1.102473,90.809647,20.961494,-0.004693,0.950888,-0.016619,0.309052,-1.175228,106.861328,21.657452,-0.008517,0.971873,0.056202,0.228543,-1.150816,124.964508,21.032389,0.022738,0.987430,-0.068980,0.140383,-0.946370,138.748322,20.904026,0.037558,0.894995,0.083824,0.436517,-4.040249,119.548271,19.100071,0.105889,-0.664282,0.117782,-0.730510,-14.063786,121.832703,6.489946,0.071916,-0.265908,-0.402589,-0.872951,-12.052574,114.821243,-14.708093,-0.169726,-0.000478,0.731021,0.660909,-1.006003,128.559189,-25.500992,-0.095784,0.985292,0.021821,0.139816,1.667253,119.683731,23.245903,0.240986,0.777184,-0.008632,-0.581237,17.002382,122.655396,27.796543,-0.091777,-0.041546,0.452513,-0.886049,21.669338,114.033112,7.636225,0.046937,-0.216766,0.749090,-0.624239,9.539364,130.445953,10.873959,0.068294,0.896669,0.104888,0.424639,-7.789584,83.276337,15.607816,0.103472,0.930545,0.005143,0.351216,-8.957371,49.403156,7.001953,-0.026479,0.953054,0.063139,0.294958,-17.442083,5.464345,3.308599,-0.080351,0.924828,-0.065275,0.366028,5.037347,83.953445,27.701321,0.003259,0.883504,-0.125248,0.451358,8.563477,49.734180,33.980270,-0.033027,0.899817,0.022206,0.434449,3.228068,6.241241,43.785782,-0.026479,0.953054,0.063139,0.294958,-9.544333,1.583535,-8.115634,-0.033027,0.899817,0.022206,0.434449,14.005128,1.434205,35.497498
5,0.041667,-0.000129,0.927793,-0.051652,0.369503,-1.368259,83.613968,21.653290,0.005096,0.945627,0.021133,0.324527,-1.093884,90.808609,20.959328,-0.004978,0.950838,-0.016656,0.309201,-1.159398,106.857697,21.654522,-0.008640,0.971853,0.056249,0.228611,-1.144297,124.960732,21.025026,0.022567,0.987439,-0.068933,0.140370,-0.943315,138.744598,20.897215,0.037637,0.894896,0.084216,0.436637,-4.030297,119.542503,19.093159,0.105414,-0.664367,0.118023,-0.730463,-14.050254,121.835014,6.481657,0.071474,-0.265780,-0.402492,-0.873071,-12.046655,114.829659,-14.719115,-0.169607,-0.000596,0.731002,0.660961,-0.994045,128.571365,-25.501083,-0.095813,0.985265,0.021716,0.140006,1.675870,119.681969,23.240692,0.240904,0.777183,-0.008749,-0.581271,17.009089,122.654793,27.796988,-0.091831,-0.041423,0.452466,-0.886073,21.676020,114.032326,7.636747,0.046774,-0.216708,0.749030,-0.624343,9.543535,130.444687,10.870925,0.068300,0.896630,0.104868,0.424727,-7.780567,83.275146,15.605326,0.103553,0.930597,0.005123,0.351056,-8.948488,49.401711,7.000473,-0.026269,0.953060,0.063100,0.294966,-17.441156,5.464396,3.307608,-0.080301,0.924915,-0.065136,0.365844,5.044049,83.952789,27.701252,0.003321,0.883502,-0.125400,0.451318,8.571852,49.731697,33.969296,-0.032966,0.899795,0.022141,0.434502,3.225774,6.242218,43.784351,-0.026269,0.953060,0.063100,0.294966,-9.545181,1.580806,-8.116907,-0.032966,0.899795,0.022141,0.434502,14.002986,1.432892,35.497597
