Format Version,1.23,Take Name,p26_uppercut_left_pre_009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-09-08 12.05.09.293 오후,Total Frames in Take,1267,Total Exported Frames,1267,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Hip,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Ab,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Chest,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Neck,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:Head,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LShoulder,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LUArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LFArm,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:LHand,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RShoulder,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RUArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RFArm,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:RHand,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LThigh,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LShin,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:LFoot,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RThigh,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RShin,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:RFoot,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:LToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe,New_Mocap:RToe
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.018995,0.946148,-0.001621,0.323172,-4.903057,82.931389,14.199071,-0.044199,0.947494,0.054570,0.311968,-4.635489,90.159370,14.265686,-0.021726,0.950364,0.035716,0.308319,-6.544851,106.207253,15.494755,0.049099,0.966171,0.090540,0.236442,-7.691823,124.257935,16.481771,0.052008,0.985310,-0.081587,0.140726,-6.158284,137.908127,17.653278,-0.037935,0.887116,0.150487,0.434672,-10.235355,118.859016,14.073360,0.373254,-0.443788,0.062999,-0.812259,-20.310301,119.892464,1.340222,0.163849,0.027196,-0.605019,-0.778695,-6.900661,110.171280,-13.767486,-0.189201,-0.225401,0.730107,0.616718,-1.508098,129.423233,-16.923172,-0.091999,0.973973,0.077226,0.192221,-4.527815,118.994987,18.219122,0.299280,0.781100,0.009223,-0.547932,10.264242,121.427643,24.542299,-0.140941,0.041742,0.531668,-0.834100,15.205242,111.173042,5.229288,0.003690,-0.098856,0.656500,-0.747812,6.323166,129.685928,6.882083,0.018055,0.929856,0.116051,0.348676,-11.875172,83.239204,8.804139,0.042433,0.913962,-0.092872,0.392745,-10.219388,49.235107,0.816845,0.005679,0.950885,0.078315,0.299419,-16.977905,5.268720,6.943008,-0.088246,0.916385,-0.095419,0.378611,2.069057,82.623573,19.594002,-0.069021,0.857579,-0.150873,0.486858,5.198089,48.836163,28.046059,-0.046947,0.885623,0.010546,0.461906,3.917240,6.405515,42.683350,0.005679,0.950885,0.078315,0.299419,-9.224776,1.531429,-4.627212,-0.046947,0.885623,0.010546,0.461906,15.262135,1.519421,35.242393
1,0.008333,0.018688,0.946221,-0.001355,0.322979,-4.897055,82.935036,14.200300,-0.044472,0.947507,0.054792,0.311852,-4.634918,90.163193,14.269068,-0.021600,0.950397,0.035692,0.308230,-6.554195,106.205330,15.502063,0.049200,0.966227,0.090304,0.236283,-7.696466,124.256264,16.489782,0.052216,0.985295,-0.082126,0.140438,-6.158776,137.906509,17.655220,-0.037836,0.887120,0.150526,0.434659,-10.241821,118.858047,14.081730,0.373154,-0.443901,0.062991,-0.812244,-20.317354,119.894859,1.349336,0.163848,0.027269,-0.605037,-0.778679,-6.912182,110.174118,-13.762604,-0.189390,-0.225574,0.730204,0.616483,-1.520588,129.427032,-16.916147,-0.091965,0.973985,0.077211,0.192180,-4.533429,118.992493,18.226368,0.299381,0.781046,0.009261,-0.547953,10.259337,121.424316,24.548201,-0.140743,0.041721,0.531697,-0.834116,15.196614,111.167870,5.235223,0.003840,-0.098917,0.656659,-0.747663,6.316127,129.680862,6.884464,0.018191,0.929901,0.115992,0.348568,-11.871572,83.239273,8.808276,0.042383,0.914025,-0.092783,0.392625,-10.226959,49.234570,0.821272,0.005452,0.950881,0.078300,0.299440,-16.977486,5.266324,6.942896,-0.088067,0.916401,-0.095508,0.378593,2.077463,82.630798,19.592323,-0.069075,0.857531,-0.150834,0.486947,5.192899,48.842369,28.045326,-0.046858,0.885600,0.010376,0.461962,3.916396,6.411350,42.681908,0.005452,0.950881,0.078300,0.299440,-9.221898,1.530388,-4.626110,-0.046858,0.885600,0.010376,0.461962,15.260762,1.520103,35.243546
2,0.016667,0.018688,0.946234,-0.001308,0.322939,-4.906516,82.934174,14.206193,-0.044416,0.947526,0.054800,0.311799,-4.644597,90.162338,14.275594,-0.021593,0.950417,0.035613,0.308178,-6.562246,106.205177,15.509555,0.049357,0.966264,0.090125,0.236166,-7.703344,124.256325,16.494703,0.052460,0.985277,-0.082632,0.140172,-6.160344,137.906311,17.656057,-0.037711,0.887170,0.150471,0.434586,-10.249279,118.857910,14.087735,0.373147,-0.443975,0.062951,-0.812210,-20.327183,119.897125,1.357414,0.163891,0.027378,-0.604996,-0.778698,-6.924723,110.176826,-13.757226,-0.189497,-0.225704,0.730243,0.616355,-1.531638,129.428741,-16.907921,-0.091826,0.973994,0.077240,0.192189,-4.540429,118.992630,18.231731,0.299373,0.780959,0.009218,-0.548082,10.253058,121.419846,24.553644,-0.140780,0.041732,0.531762,-0.834068,15.184185,111.163841,5.238870,0.003785,-0.098844,0.656796,-0.747552,6.306348,129.678513,6.889028,0.018192,0.929901,0.116041,0.348552,-11.881490,83.238686,8.814775,0.042307,0.914038,-0.092702,0.392621,-10.235913,49.234779,0.824565,0.005593,0.950884,0.078370,0.299412,-16.977373,5.264610,6.942347,-0.088127,0.916410,-0.095446,0.378573,2.068458,82.629669,19.597610,-0.069078,0.857537,-0.150764,0.486958,5.189563,48.841156,28.048187,-0.046859,0.885573,0.010488,0.462012,3.916259,6.408268,42.679630,0.005593,0.950884,0.078370,0.299412,-9.223497,1.529457,-4.628058,-0.046859,0.885573,0.010488,0.462012,15.261914,1.519747,35.241436
3,0.025000,0.018670,0.946254,-0.001315,0.322884,-4.915373,82.933060,14.213181,-0.044474,0.947544,0.054791,0.311739,-4.653661,90.161224,14.282383,-0.021448,0.950444,0.035556,0.308111,-6.572869,106.203545,15.515557,0.049538,0.966301,0.089928,0.236054,-7.708255,124.255074,16.500439,0.052555,0.985267,-0.083092,0.139935,-6.159220,137.904755,17.657375,-0.037674,0.887156,0.150521,0.434602,-10.256218,118.857368,14.093987,0.373152,-0.444075,0.062934,-0.812154,-20.333761,119.898438,1.363525,0.163878,0.027441,-0.604947,-0.778736,-6.935158,110.177162,-13.753913,-0.189463,-0.225795,0.730293,0.616274,-1.540143,129.427841,-16.901768,-0.091908,0.973997,0.077316,0.192105,-4.546700,118.990433,18.237118,0.299511,0.780896,0.009217,-0.548096,10.247352,121.420013,24.556810,-0.140562,0.041552,0.531819,-0.834077,15.174076,111.160019,5.243026,0.004112,-0.099002,0.657200,-0.747174,6.298449,129.674759,6.894844,0.018152,0.929936,0.116122,0.348432,-11.890992,83.237236,8.822577,0.042268,0.914084,-0.092629,0.392534,-10.241851,49.234539,0.827962,0.005592,0.950885,0.078425,0.299391,-16.976906,5.262837,6.941815,-0.088161,0.916445,-0.095373,0.378497,2.060246,82.628876,19.603785,-0.069076,0.857684,-0.150761,0.486701,5.186214,48.839806,28.050333,-0.046817,0.885603,0.010540,0.461958,3.917248,6.406811,42.681843,0.005592,0.950885,0.078425,0.299391,-9.223340,1.529191,-4.629290,-0.046817,0.885603,0.010540,0.461958,15.261812,1.518913,35.241573
4,0.033333,0.019078,0.946196,-0.001536,0.323027,-4.943729,82.923904,14.225024,-0.044069,0.947565,0.054568,0.311769,-4.675409,90.151848,14.293148,-0.021410,0.950452,0.035459,0.308100,-6.580601,106.201126,15.523950,0.049644,0.966361,0.089682,0.235881,-7.713583,124.252960,16.505932,0.052813,0.985276,-0.083491,0.139538,-6.160210,137.902695,17.656509,-0.037415,0.887233,0.150398,0.434509,-10.262317,118.855202,14.100419,0.373308,-0.444193,0.062874,-0.812023,-20.343122,119.901482,1.372980,0.164028,0.027543,-0.604826,-0.778795,-6.948885,110.177673,-13.746694,-0.189560,-0.225844,0.730357,0.616149,-1.548209,129.426620,-16.894106,-0.091858,0.974010,0.077245,0.192094,-4.552678,118.988190,18.243383,0.299699,0.780823,0.009319,-0.548095,10.241804,121.416702,24.562458,-0.140302,0.041424,0.531908,-0.834070,15.163520,111.153587,5.249047,0.004347,-0.099198,0.656991,-0.747331,6.291819,129.669205,6.900035,0.017962,0.929877,0.116290,0.348543,-11.917445,83.233620,8.832279,0.042209,0.914132,-0.092535,0.392452,-10.250834,49.233181,0.831683,0.005504,0.950881,0.078460,0.299399,-16.977251,5.259469,6.940584,-0.088479,0.916476,-0.095077,0.378422,2.029987,82.614197,19.617769,-0.069084,0.857752,-0.150789,0.486571,5.184832,48.825119,28.053528,-0.046895,0.885652,0.010930,0.461846,3.917422,6.392977,42.687626,0.005504,0.950881,0.078460,0.299399,-9.222631,1.527428,-4.630324,-0.046895,0.885652,0.010930,0.461846,15.262329,1.515216,35.241238
5,0.041667,0.019070,0.946221,-0.001540,0.322954,-4.956181,82.921707,14.231128,-0.044016,0.947577,0.054581,0.311738,-4.687944,90.149651,14.299149,-0.021415,0.950459,0.035345,0.308092,-6.591737,106.200027,15.531034,0.048964,0.966430,0.089497,0.235810,-7.723626,124.252144,16.509048,0.053516,0.985202,-0.083877,0.139562,-6.187171,137.904572,17.650198,-0.037064,0.887317,0.150181,0.434442,-10.272718,118.854012,14.104763,0.373268,-0.444252,0.063024,-0.811997,-20.356283,119.906906,1.380044,0.164140,0.027534,-0.604666,-0.778896,-6.965261,110.177505,-13.738881,-0.189640,-0.225952,0.730309,0.616143,-1.556704,129.423981,-16.888182,-0.091738,0.974025,0.077089,0.192138,-4.563010,118.987572,18.247620,0.299867,0.780789,0.009339,-0.548052,10.231647,121.413185,24.567423,-0.140072,0.041383,0.531996,-0.834055,15.150987,111.145126,5.256037,0.004594,-0.099395,0.657202,-0.747118,6.283422,129.661942,6.903871,0.017888,0.929916,0.116375,0.348414,-11.930730,83.231285,8.839447,0.042143,0.914190,-0.092453,0.392343,-10.258338,49.232029,0.835022,0.005586,0.950889,0.078554,0.299346,-16.975805,5.256465,6.940444,-0.088554,0.916516,-0.094987,0.378330,2.018369,82.612137,19.622808,-0.069076,0.857886,-0.150792,0.486335,5.181299,48.822784,28.054464,-0.047086,0.885699,0.010798,0.461739,3.917192,6.390616,42.688805,0.005586,0.950889,0.078554,0.299346,-9.222887,1.526357,-4.632237,-0.047086,0.885699,0.010798,0.461739,15.261534,1.512154,35.242004
