Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.008772,0.893639,0.034864,0.447344,18.636053,87.036476,104.399025,-0.029223,0.895729,0.135126,0.422559,18.277763,94.660919,104.815353,0.001313,0.907576,0.034499,0.418466,15.149617,112.72509,108.89814,0.109704,0.943602,-0.087998,0.299726,14.592096,133.72168,110.239243,0.048154,0.97189,-0.18143,0.142107,19.364447,147.167267,107.289268,-0.048004,0.833945,0.11157,0.538316,11.725453,127.758423,107.384644,-0.31406,0.701707,-0.045078,0.63792,3.986008,128.503922,90.474144,0.01052,-0.241522,-0.424921,-0.872353,4.240233,117.143692,70.708191,0.0097,-0.120066,-0.456372,-0.881598,18.912788,137.830597,58.617531,-0.101349,0.949867,0.153817,0.252628,16.568321,127.525459,113.045288,0.435658,0.851435,0.218286,-0.193938,32.422604,129.662521,122.558151,0.126483,0.217283,0.549728,-0.796611,44.852386,114.678741,110.692284,0.095501,-0.056696,0.725912,-0.678761,36.874794,136.422333,97.839035,0.043512,0.894437,0.17515,0.40916,13.046344,87.181099,96.939972,0.103823,0.955156,0.007503,0.277203,15.378912,53.884102,84.512154,-0.007584,0.927969,-0.020701,0.372004,6.539044,9.345332,81.239151,-0.129614,0.871157,-0.04911,0.471035,24.225763,86.891861,111.858078,-0.007406,0.845878,-0.147936,0.512398,30.621279,52.643227,119.2547,-0.00204,0.862886,-0.001924,0.505391,24.289881,9.115517,130.993912,-0.007584,0.927969,-0.020701,0.372004,16.189693,2.833457,71.405052,-0.00204,0.862886,-0.001924,0.505391,36.495625,3.0386,124.186562
1,0.008333,-0.008286,0.893738,0.035075,0.44714,18.648726,87.04686,104.403816,-0.027094,0.895525,0.13533,0.423069,18.295734,94.671204,104.826439,-0.000111,0.90712,0.034588,0.41945,15.238832,112.706993,108.941292,0.110052,0.943467,-0.087303,0.300229,14.623888,133.703415,110.260033,0.048294,0.972128,-0.18037,0.14178,19.402325,147.152191,107.334648,-0.046773,0.834146,0.112853,0.537845,11.779179,127.729881,107.404945,-0.313879,0.701606,-0.044932,0.63813,4.016537,128.536957,90.507904,0.010547,-0.240752,-0.42514,-0.872459,4.277812,117.18779,70.735703,0.00997,-0.119018,-0.456372,-0.881737,18.959478,137.886261,58.681698,-0.101419,0.949581,0.154214,0.253433,16.609789,127.515121,113.076767,0.435875,0.851079,0.218915,-0.194304,32.448395,129.645233,122.617279,0.126135,0.216804,0.550085,-0.796551,44.863071,114.669312,110.725693,0.094978,-0.057195,0.72604,-0.678655,36.896027,136.431061,97.902473,0.043776,0.8946,0.174253,0.409159,13.05546,87.20121,96.947624,0.103639,0.95508,0.008119,0.277516,15.344601,53.883518,84.567276,-0.007593,0.927981,-0.020573,0.371981,6.537251,9.342137,81.242531,-0.129275,0.871096,-0.049115,0.47124,24.241991,86.892517,111.860016,-0.007544,0.845681,-0.148005,0.512699,30.615026,52.637672,119.247284,-0.00327,0.862943,-0.002923,0.505283,24.286764,9.112013,130.995804,-0.007593,0.927981,-0.020573,0.371981,16.188093,2.833619,71.406403,-0.00327,0.862943,-0.002923,0.505283,36.497601,3.028485,124.203514
2,0.016667,-0.007931,0.893762,0.035103,0.447095,18.651413,87.058266,104.404259,-0.02684,0.895423,0.135648,0.423199,18.303102,94.682663,104.829704,0.000285,0.907039,0.034925,0.419597,15.249353,112.714195,108.958244,0.11069,0.943479,-0.087077,0.300021,14.643368,133.709625,110.296753,0.048526,0.972334,-0.179594,0.141275,19.435917,147.15564,107.381737,-0.046353,0.833975,0.113214,0.538071,11.796873,127.740074,107.435104,-0.313478,0.701534,-0.045133,0.638392,4.041806,128.56871,90.535629,0.010342,-0.240461,-0.425169,-0.872527,4.30687,117.227005,70.759186,0.009962,-0.117928,-0.455639,-0.882262,18.993584,137.929535,58.724529,-0.1009,0.949454,0.154614,0.25387,16.625645,127.517769,113.108208,0.435914,0.85083,0.219709,-0.194412,32.459892,129.622742,122.661507,0.125627,0.216298,0.550462,-0.796508,44.871098,114.658379,110.75177,0.094639,-0.057672,0.726312,-0.678372,36.914349,136.444275,97.962502,0.043905,0.894833,0.173435,0.408982,13.05729,87.218712,96.948837,0.103455,0.955044,0.008679,0.277692,15.311408,53.88158,84.614494,-0.007781,0.928004,-0.020447,0.371928,6.534668,9.337595,81.244034,-0.129109,0.871202,-0.048976,0.471104,24.245539,86.897812,111.85968,-0.007587,0.845876,-0.148098,0.512351,30.614418,52.638935,119.231819,-0.002019,0.862864,-0.001955,0.505429,24.290012,9.115839,130.991913,-0.007781,0.928004,-0.020447,0.371928,16.187149,2.834247,71.40609,-0.002019,0.862864,-0.001955,0.505429,36.495941,3.03786,124.185852
3,0.025,-0.007648,0.893915,0.035235,0.446784,18.657696,87.069321,104.394379,-0.026766,0.895338,0.136034,0.42326,18.312494,94.693642,104.823685,0.000742,0.906963,0.035237,0.419734,15.25484,112.721809,108.965973,0.111111,0.943474,-0.086796,0.299962,14.660597,133.716293,110.324348,0.048737,0.972467,-0.17892,0.141137,19.461803,147.161575,107.420181,-0.045982,0.833853,0.113457,0.53824,11.811463,127.751137,107.456207,-0.313085,0.701422,-0.045369,0.638692,4.061895,128.597061,90.555069,0.010254,-0.240004,-0.425128,-0.872674,4.333183,117.262054,70.774879,0.010274,-0.117474,-0.455449,-0.882417,19.034266,137.96756,58.762772,-0.100436,0.949342,0.154973,0.254256,16.638506,127.52063,113.130447,0.435958,0.850618,0.22046,-0.194388,32.468925,129.603195,122.694992,0.12508,0.215889,0.550794,-0.796476,44.87883,114.647758,110.77269,0.094182,-0.058149,0.726343,-0.678362,36.931839,136.456299,98.014435,0.043997,0.895075,0.172708,0.408752,13.058303,87.235367,96.943031,0.103299,0.955032,0.009125,0.277776,15.281802,53.880875,84.650124,-0.007836,0.927991,-0.020362,0.371963,6.530118,9.334671,81.244041,-0.12886,0.871307,-0.04922,0.470953,24.25709,86.903275,111.845718,-0.007612,0.846108,-0.148153,0.511951,30.603811,52.641533,119.223656,-0.003079,0.862911,-0.003085,0.505337,24.284271,9.119955,130.991974,-0.007836,0.927991,-0.020362,0.371963,16.184389,2.834083,71.406029,-0.003079,0.862911,-0.003085,0.505337,36.492966,3.029818,124.201759
4,0.033333,-0.007334,0.89403,0.035149,0.446565,18.65904,87.078461,104.381775,-0.026689,0.895257,0.136319,0.423343,18.318825,94.70295,104.812134,0.001171,0.906888,0.035545,0.419868,15.25893,112.728027,108.96463,0.111571,0.943483,-0.086377,0.299884,14.67541,133.721558,110.342232,0.048934,0.97261,-0.178262,0.140916,19.485111,147.166962,107.452751,-0.045573,0.833813,0.113626,0.538302,11.823916,127.760551,107.467804,-0.31288,0.701211,-0.045496,0.639014,4.075434,128.622894,90.566994,0.010351,-0.23969,-0.425081,-0.872782,4.359651,117.293076,70.784012,0.01055,-0.117009,-0.455143,-0.882634,19.0702,137.996048,58.784538,-0.10003,0.949218,0.155571,0.254513,16.649267,127.522255,113.143158,0.436219,0.850304,0.221279,-0.194249,32.477859,129.582855,122.715485,0.124366,0.215438,0.551197,-0.79643,44.879837,114.62941,110.782448,0.093338,-0.058442,0.726383,-0.678411,36.945068,136.467545,98.060272,0.044043,0.895328,0.1721,0.408448,13.055921,87.248871,96.933327,0.103145,0.955028,0.009459,0.277835,15.254315,53.879749,84.675674,-0.008175,0.928012,-0.020342,0.371904,6.524531,9.331221,81.243935,-0.128656,0.871416,-0.049361,0.470792,24.262159,86.908051,111.830223,-0.007688,0.84637,-0.148227,0.511495,30.593082,52.643566,119.208977,-0.003118,0.86289,-0.003209,0.505373,24.282282,9.124104,130.989807,-0.008175,0.928012,-0.020342,0.371904,16.181591,2.834697,71.405968,-0.003118,0.86289,-0.003209,0.505373,36.491211,3.031559,124.202156
5,0.041667,-0.00713,0.894143,0.035031,0.446352,18.654806,87.089073,104.363297,-0.026469,0.895196,0.136626,0.423388,18.318283,94.713737,104.79351,0.001478,0.906828,0.035749,0.419979,15.260865,112.735382,108.959282,0.112067,0.943475,-0.085969,0.299841,14.685316,133.728271,110.349998,0.049159,0.972741,-0.177622,0.140742,19.504728,147.173386,107.475449,-0.045096,0.83383,0.113703,0.538299,11.83213,127.77021,107.471153,-0.312589,0.700969,-0.045955,0.63939,4.081922,128.648849,90.571976,0.010419,-0.239605,-0.42488,-0.872902,4.379723,117.317642,70.789978,0.010774,-0.116821,-0.454987,-0.882737,19.102114,138.01265,58.791553,-0.099589,0.949133,0.156068,0.2547,16.65608,127.526413,113.147476,0.436314,0.849895,0.222309,-0.194645,32.484402,129.565308,122.724899,0.123491,0.214867,0.551557,-0.796472,44.875557,114.629425,110.758675,0.092435,-0.058756,0.726266,-0.678632,36.956406,136.47673,98.095444,0.044077,0.895596,0.171565,0.408081,13.048079,87.261734,96.917618,0.102931,0.954848,0.009618,0.278528,15.223369,53.87973,84.690926,-0.008538,0.928045,-0.020279,0.371818,6.518486,9.327465,81.2444,-0.128525,0.871465,-0.04992,0.470679,24.261532,86.91642,111.808983,-0.00789,0.846407,-0.14794,0.511513,30.566349,52.653469,119.217171,-0.001922,0.862807,-0.002203,0.505526,24.284285,9.126553,130.985825,-0.008538,0.928045,-0.020279,0.371818,16.178232,2.836376,71.405495,-0.001922,0.862807,-0.002203,0.505526,36.489212,3.04125,124.184502
6,0.05,-0.006939,0.894281,0.034965,0.446084,18.649738,87.09729,104.337677,-0.02625,0.895167,0.136868,0.423383,18.316404,94.722054,104.76841,0.001737,0.906789,0.035988,0.420041,15.262793,112.740219,108.945335,0.112479,0.943483,-0.085725,0.299734,14.692801,133.732346,110.349716,0.049363,0.972904,-0.176806,0.140572,19.5207,147.176453,107.484642,-0.044552,0.833813,0.113817,0.538347,11.838356,127.776955,107.466614,-0.312393,0.700824,-0.04651,0.639604,4.088255,128.675003,90.568413,0.010562,-0.239666,-0.424564,-0.873038,4.392971,117.335487,70.79129,0.011052,-0.116881,-0.45474,-0.882852,19.129866,138.017776,58.784,-0.099298,0.948986,0.156279,0.255229,16.661514,127.52813,113.143372,0.436693,0.84953,0.223046,-0.194549,32.481964,129.551117,122.737167,0.123086,0.21452,0.552081,-0.796265,44.859756,114.613411,110.759377,0.09175,-0.05921,0.726425,-0.678516,36.963005,136.484406,98.12114,0.044103,0.895836,0.171077,0.407756,13.038504,87.272385,96.895454,0.10273,0.954899,0.009821,0.278421,15.19326,53.878639,84.69725,-0.008836,0.92802,-0.020254,0.371876,6.510439,9.322977,81.239075,-0.128399,0.871479,-0.050139,0.470663,24.260975,86.922188,111.779907,-0.008134,0.846405,-0.148013,0.511493,30.550879,52.658497,119.197342,-0.001797,0.862788,-0.002396,0.505558,24.284538,9.13389,130.982895,-0.008836,0.92802,-0.020254,0.371876,16.175028,2.83571,71.402397,-0.001797,0.862788,-0.002396,0.505558,36.487484,3.042173,124.183762
7,0.058333,-0.006576,0.894379,0.034735,0.445911,18.636665,87.106102,104.307846,-0.025999,0.895128,0.137069,0.423416,18.309954,94.731194,104.737976,0.001995,0.906747,0.036186,0.420115,15.262018,112.74427,108.92453,0.11293,0.943491,-0.085339,0.299648,14.698267,133.735764,110.34095,0.0495,0.973052,-0.176127,0.140351,19.534653,147.179733,107.489571,-0.044076,0.833855,0.113816,0.53832,11.842428,127.782906,107.453979,-0.312429,0.700612,-0.046889,0.639791,4.089684,128.695496,90.55777,0.011004,-0.239818,-0.424296,-0.873121,4.406342,117.346397,70.786331,0.011652,-0.116959,-0.454101,-0.883163,19.151052,138.010162,58.760811,-0.098996,0.948884,0.156565,0.25555,16.66465,127.52932,113.131332,0.437213,0.849161,0.223575,-0.194382,32.481213,129.536667,122.73481,0.122631,0.214118,0.55261,-0.796076,44.841213,114.589134,110.750916,0.091089,-0.059512,0.726597,-0.678394,36.964916,136.48851,98.139366,0.044083,0.896077,0.170697,0.40739,13.022465,87.285233,96.867958,0.10248,0.954942,0.009924,0.278363,15.162221,53.882088,84.692863,-0.009219,0.927993,-0.02041,0.371924,6.503281,9.321931,81.232643,-0.128331,0.87151,-0.050317,0.470606,24.250868,86.926971,111.747726,-0.008406,0.846402,-0.148131,0.511458,30.531073,52.663326,119.173561,-0.002791,0.862795,-0.003679,0.505533,24.280645,9.142319,130.980835,-0.009219,0.927993,-0.02041,0.371924,16.172705,2.834784,71.400642,-0.002791,0.862795,-0.003679,0.505533,36.485802,3.033837,124.200752
8,0.066667,-0.006361,0.894468,0.034616,0.445746,18.623766,87.113403,104.271271,-0.025756,0.895112,0.137259,0.423405,18.300886,94.738663,104.701294,0.002206,0.90673,0.036335,0.420139,15.258529,112.748123,108.89753,0.11329,0.943501,-0.084932,0.299598,14.700149,133.73912,110.323349,0.049635,0.973176,-0.175477,0.140261,19.542614,147.183777,107.485603,-0.043733,0.833859,0.113838,0.538337,11.842893,127.788292,107.433578,-0.312222,0.700464,-0.047607,0.640001,4.089704,128.712051,90.538177,0.011349,-0.240164,-0.4238,-0.873262,4.412724,117.350243,70.774139,0.012248,-0.117276,-0.45356,-0.883391,19.17276,137.989624,58.720982,-0.098702,0.948771,0.156761,0.255965,16.664808,127.530922,113.111023,0.437764,0.848751,0.224222,-0.194187,32.475628,129.523209,122.727081,0.122324,0.213754,0.553169,-0.795833,44.817123,114.566277,110.735847,0.090463,-0.059894,0.726631,-0.678407,36.96508,136.488525,98.147392,0.044093,0.896298,0.170393,0.407027,13.006762,87.295006,96.833549,0.102196,0.954916,0.009847,0.278559,15.132004,53.88456,84.675964,-0.009514,0.927978,-0.020444,0.371951,6.496211,9.318977,81.227837,-0.128347,0.871559,-0.050423,0.470498,24.24077,86.931801,111.708984,-0.008785,0.846215,-0.148261,0.511725,30.519243,52.669209,119.141151,-0.001349,0.862694,-0.002896,0.505716,24.288185,9.152306,130.973755,-0.009514,0.927978,-0.020444,0.371951,16.169504,2.834096,71.398148,-0.001349,0.862694,-0.002896,0.505716,36.485855,3.042209,124.181656
9,0.075,-0.005918,0.894576,0.034584,0.445536,18.611061,87.116302,104.228004,-0.025672,0.895105,0.137396,0.423379,18.29455,94.741676,104.660675,0.002387,0.906722,0.036487,0.420142,15.252998,112.749825,108.862839,0.113646,0.943522,-0.084569,0.299499,14.698831,133.740311,110.297646,0.049751,0.973318,-0.174786,0.140098,19.547421,147.185333,107.472076,-0.043417,0.833829,0.113906,0.538395,11.84038,127.791306,107.405327,-0.312073,0.700404,-0.048275,0.64009,4.088484,128.726547,90.509964,0.011768,-0.240621,-0.423204,-0.87342,4.412434,117.350662,70.754036,0.012866,-0.117724,-0.45289,-0.883666,19.188251,137.958282,58.666916,-0.098438,0.948677,0.156958,0.256295,16.662243,127.53054,113.082657,0.438231,0.848386,0.22489,-0.193958,32.468719,129.509354,122.708656,0.122073,0.213369,0.553663,-0.795631,44.795616,114.545227,110.71138,0.090056,-0.060196,0.726591,-0.678478,36.964081,136.486847,98.146095,0.044183,0.896441,0.170143,0.406808,12.990477,87.304863,96.793175,0.101859,0.954815,0.009626,0.279034,15.0996,53.888905,84.647926,-0.00989,0.92797,-0.020475,0.37196,6.488927,9.316653,81.223206,-0.128343,0.871355,-0.050584,0.470861,24.231647,86.927734,111.662842,-0.009201,0.845949,-0.148477,0.512094,30.501249,52.66621,119.107422,-0.002635,0.862771,-0.00416,0.50557,24.286974,9.155816,130.972748,-0.00989,0.92797,-0.020475,0.37196,16.166672,2.834989,71.395782,-0.002635,0.862771,-0.00416,0.50557,36.488132,3.033572,124.197876
