Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,0.02742,0.866706,-0.023396,0.497516,-6.680373,80.786224,22.49766,0.01034,0.878104,-0.02384,0.477764,-6.132941,88.497215,22.395058,-0.011299,0.881916,-0.020396,0.47083,-5.376101,106.959915,21.803682,0.254093,0.883615,-0.119859,0.37456,-5.390925,127.449501,20.847507,0.089838,0.963094,-0.099646,0.233345,3.616627,138.997894,19.231379,-0.020818,0.732772,0.079313,0.675515,-8.182411,121.333359,18.278084,0.137006,-0.505499,0.028847,-0.851392,-9.776936,122.746346,-0.034055,0.015307,0.094342,-0.491788,-0.865454,1.70117,118.326546,-20.12347,0.183899,0.224267,-0.660883,-0.692184,15.651939,142.23027,-15.974766,-0.145617,0.909217,0.058345,0.385637,-4.031253,121.625351,24.470728,0.170392,0.984105,-0.030804,-0.039426,8.13922,125.677406,37.712105,-0.243542,0.601381,0.328006,-0.686615,30.253798,117.720436,36.131477,-0.177111,0.260736,0.617285,-0.720839,28.740269,136.012787,19.740849,0.020913,0.817902,0.243777,0.520741,-11.426997,81.014862,14.354745,0.12105,0.921034,-0.0511,0.366651,-3.758405,50.286327,-0.325927,-0.060043,0.955752,-0.026237,0.286783,-15.479779,6.836653,-0.084533,-0.176316,0.835808,0.080869,0.513613,-1.933749,80.557594,30.640575,0.095321,0.828425,-0.122867,0.538079,11.254626,48.276524,32.244011,-0.072677,0.770644,0.021175,0.632754,-1.80348,5.449519,36.788975,-0.060043,0.955752,-0.026237,0.286783,-7.071524,0.538771,-11.362647,-0.072677,0.770644,0.021175,0.632754,12.795951,1.153713,34.347523
1,0.008333,0.027421,0.866352,-0.022501,0.498173,-6.673774,80.570419,22.564297,0.010858,0.877508,-0.024043,0.478836,-6.133137,88.282036,22.474102,-0.010988,0.881272,-0.020061,0.472056,-5.354499,106.759033,21.885756,0.255495,0.882962,-0.11807,0.375712,-5.363258,127.249466,20.947701,0.089972,0.962904,-0.100178,0.233849,3.664025,138.792572,19.405607,-0.019512,0.731237,0.080463,0.67708,-8.148631,121.136078,18.365128,0.134168,-0.505634,0.02387,-0.851917,-9.667051,122.618744,0.052018,0.009155,0.099641,-0.496386,-0.862316,1.816995,118.464722,-20.090664,0.179778,0.232308,-0.663479,-0.68812,15.455872,142.474274,-15.535748,-0.145699,0.908741,0.059727,0.386516,-4.014606,121.421883,24.569517,0.168344,0.984497,-0.031566,-0.037804,8.129971,125.452545,37.841179,-0.250673,0.599128,0.324827,-0.687529,30.283142,117.588402,36.338131,-0.183251,0.255998,0.613003,-0.724646,28.534784,135.966492,20.076742,0.021491,0.815531,0.248141,0.522373,-11.408048,80.806999,14.414417,0.122409,0.921201,-0.05345,0.365442,-3.58199,50.230034,-0.497797,-0.059956,0.955657,-0.025989,0.28714,-15.489628,6.83226,-0.092354,-0.179273,0.833037,0.084437,0.516508,-1.9395,80.333832,30.714174,0.097799,0.826945,-0.124284,0.539585,11.531772,48.167351,32.26804,-0.071688,0.77032,0.021466,0.633252,-1.783536,5.414945,36.768867,-0.059956,0.955657,-0.025989,0.28714,-7.073301,0.54076,-11.368017,-0.071688,0.77032,0.021466,0.633252,12.813706,1.107015,34.33569
2,0.016667,0.027203,0.866035,-0.021192,0.498794,-6.656341,80.310509,22.629204,0.010989,0.877092,-0.024577,0.479568,-6.12863,88.023201,22.555235,-0.010062,0.880861,-0.019232,0.472878,-5.334707,106.524323,21.951727,0.25694,0.882454,-0.116938,0.376274,-5.325217,127.016891,21.06156,0.089799,0.962847,-0.100373,0.234067,3.726643,138.547531,19.571095,-0.018181,0.730158,0.081454,0.678162,-8.110711,120.911812,18.459538,0.131674,-0.505746,0.019145,-0.852359,-9.576935,122.459076,0.14752,0.003225,0.104407,-0.50008,-0.859656,1.911344,118.552994,-20.042301,0.174787,0.239548,-0.665533,-0.684932,15.289741,142.634171,-15.108813,-0.145873,0.908183,0.060429,0.387651,-3.987991,121.179771,24.672239,0.166422,0.984888,-0.031358,-0.036277,8.122328,125.200737,37.978096,-0.25641,0.596794,0.321915,-0.688812,30.311129,117.425278,36.540718,-0.189837,0.250939,0.609697,-0.727504,28.334093,135.852402,20.386524,0.021815,0.813611,0.25276,0.523138,-11.379182,80.555435,14.47294,0.123762,0.921312,-0.056021,0.364319,-3.386667,50.140999,-0.681412,-0.060306,0.955675,-0.025092,0.287086,-15.486583,6.798527,-0.09417,-0.182443,0.830301,0.08819,0.51917,-1.933501,80.06559,30.785469,0.100772,0.826192,-0.1259,0.539815,11.839041,48.024414,32.28614,-0.070794,0.769938,0.02206,0.633796,-1.771841,5.361545,36.752277,-0.060306,0.955675,-0.025092,0.287086,-7.065556,0.533974,-11.381318,-0.070794,0.769938,0.02206,0.633796,12.825748,1.050131,34.32737
3,0.025,0.02671,0.865588,-0.020227,0.499634,-6.644578,80.042564,22.702414,0.011275,0.876577,-0.02447,0.480506,-6.130831,87.756279,22.638052,-0.009507,0.88034,-0.019055,0.473866,-5.328231,106.272484,22.043463,0.258541,0.881809,-0.115871,0.377018,-5.30115,126.765778,21.170488,0.089746,0.962796,-0.100512,0.234236,3.779804,138.280396,19.734127,-0.01662,0.729145,0.081939,0.679233,-8.085422,120.665001,18.557091,0.128748,-0.505898,0.015456,-0.852791,-9.500045,122.270264,0.246011,-0.00285,0.108645,-0.503102,-0.857366,1.987007,118.580795,-19.985209,0.169161,0.246491,-0.667803,-0.681664,15.145174,142.706726,-14.691204,-0.145642,0.907808,0.060696,0.388573,-3.976497,120.924614,24.779278,0.164564,0.98527,-0.030986,-0.034674,8.10992,124.929939,38.111553,-0.261492,0.594687,0.318725,-0.690205,30.333054,117.240715,36.742321,-0.195474,0.247626,0.605711,-0.73047,28.134493,135.683899,20.675383,0.022169,0.811684,0.257681,0.523716,-11.352087,80.287964,14.537309,0.125134,0.921359,-0.058716,0.363305,-3.186584,50.049973,-0.875694,-0.060725,0.955676,-0.024292,0.287063,-15.483851,6.766075,-0.098332,-0.185419,0.827559,0.092498,0.521738,-1.937068,79.797165,30.867517,0.103693,0.825726,-0.127827,0.539523,12.145155,47.886734,32.277279,-0.068671,0.769757,0.022986,0.634216,-1.768834,5.321622,36.742123,-0.060725,0.955676,-0.024292,0.287063,-7.056772,0.526624,-11.394862,-0.068671,0.769757,0.022986,0.634216,12.82132,0.989927,34.308643
4,0.033333,0.026356,0.865077,-0.019825,0.500553,-6.637602,79.756584,22.788771,0.011373,0.876061,-0.024579,0.48144,-6.131632,87.47084,22.727577,-0.00858,0.879833,-0.018701,0.474838,-5.322676,106.00029,22.131657,0.25979,0.881251,-0.115299,0.377641,-5.268062,126.494812,21.289511,0.089596,0.962735,-0.100533,0.234537,3.837915,137.994141,19.889553,-0.015262,0.728113,0.082436,0.680311,-8.05414,120.401451,18.660786,0.125918,-0.506539,0.012354,-0.852884,-9.416319,122.059563,0.350434,-0.008992,0.112607,-0.50532,-0.855506,2.044217,118.558327,-19.92922,0.163041,0.252928,-0.669822,-0.67881,15.028146,142.69873,-14.282753,-0.14552,0.907368,0.061103,0.389581,-3.958721,120.646606,24.892458,0.164019,0.985367,-0.031652,-0.033869,8.100054,124.637398,38.254093,-0.265867,0.592582,0.316202,-0.691504,30.334217,116.972824,36.926399,-0.201166,0.243618,0.603279,-0.732282,27.93478,135.446579,20.932392,0.021759,0.810668,0.262445,0.522941,-11.328136,79.99939,14.613822,0.126586,0.921527,-0.061617,0.361895,-2.977877,49.933132,-1.03436,-0.061386,0.955809,-0.02281,0.286603,-15.484485,6.713545,-0.046928,-0.188487,0.825374,0.096946,0.52329,-1.947068,79.513786,30.963718,0.106757,0.825537,-0.129769,0.53875,12.456188,47.742279,32.263451,-0.067245,0.769761,0.023441,0.634348,-1.769007,5.280232,36.729031,-0.061386,0.955809,-0.02281,0.286603,-7.057701,0.518789,-11.368252,-0.067245,0.769761,0.023441,0.634348,12.814262,0.930984,34.285591
5,0.041667,0.026009,0.864439,-0.018988,0.501706,-6.631997,79.439255,22.866295,0.011484,0.875547,-0.024879,0.482356,-6.13706,87.154297,22.814266,-0.007326,0.879377,-0.018259,0.47572,-5.317945,105.695686,22.211012,0.260763,0.880846,-0.11473,0.378087,-5.225906,126.191696,21.40933,0.089505,0.9627,-0.10049,0.234733,3.89831,137.680298,20.040302,-0.013926,0.727387,0.08273,0.68108,-8.017265,120.108391,18.762981,0.122519,-0.507462,0.009986,-0.852861,-9.342291,121.812439,0.454125,-0.015451,0.116081,-0.506712,-0.854125,2.076669,118.482147,-19.877703,0.156529,0.258546,-0.671828,-0.676239,14.93724,142.606339,-13.889931,-0.145147,0.906877,0.060728,0.39092,-3.934065,120.334152,25.003397,0.163168,0.985546,-0.031506,-0.03291,8.090202,124.31221,38.399879,-0.26923,0.590679,0.313609,-0.693009,30.340498,116.687408,37.114063,-0.205621,0.240623,0.59956,-0.735084,27.752918,135.15033,21.175032,0.021007,0.809888,0.267846,0.52144,-11.301097,79.683578,14.679134,0.128485,0.921631,-0.06448,0.360459,-2.738023,49.815048,-1.230505,-0.06202,0.955756,-0.02183,0.28672,-15.488294,6.67156,-0.050235,-0.192168,0.823683,0.101519,0.523748,-1.962898,79.194939,31.053457,0.11011,0.825433,-0.132092,0.537668,12.800154,47.584637,32.242279,-0.065819,0.770025,0.023899,0.634159,-1.772934,5.242786,36.727348,-0.06202,0.955756,-0.02183,0.28672,-7.049293,0.509092,-11.380075,-0.065819,0.770025,0.023899,0.634159,12.801332,0.875695,34.262119
6,0.05,0.025621,0.863868,-0.018161,0.502739,-6.61823,79.103386,22.946438,0.011632,0.874977,-0.024553,0.483402,-6.134827,86.819206,22.903019,-0.006429,0.878805,-0.018327,0.476787,-5.3154,105.375587,22.313536,0.261568,0.880411,-0.114661,0.378565,-5.188704,125.872002,21.52709,0.08966,0.96269,-0.100146,0.234863,3.954439,137.347565,20.17514,-0.012462,0.727037,0.082821,0.681471,-7.983257,119.795097,18.869446,0.119843,-0.508219,0.008051,-0.852811,-9.290026,121.542046,0.563325,-0.021207,0.119282,-0.507479,-0.853105,2.094358,118.349205,-19.809896,0.150236,0.263004,-0.673773,-0.674009,14.869246,142.43988,-13.511783,-0.144845,0.906438,0.060619,0.392066,-3.915035,120.009781,25.120026,0.163147,0.985571,-0.0316,-0.032154,8.079374,123.974419,38.547215,-0.271907,0.589022,0.311608,-0.694277,30.332315,116.351387,37.29715,-0.208846,0.238318,0.595896,-0.7379,27.589851,134.805038,21.406221,0.020105,0.809583,0.273367,0.519078,-11.268134,79.348579,14.748385,0.130385,0.921395,-0.067555,0.359817,-2.497666,49.686073,-1.431444,-0.062758,0.955676,-0.020715,0.286906,-15.498656,6.623408,-0.051623,-0.195572,0.821939,0.106413,0.524257,-1.968325,78.8582,31.144491,0.113524,0.825398,-0.134733,0.536356,13.149351,47.411072,32.196262,-0.063729,0.770305,0.024838,0.633997,-1.788865,5.201361,36.725342,-0.062758,0.955676,-0.020715,0.286906,-7.044333,0.497999,-11.390133,-0.063729,0.770305,0.024838,0.633997,12.77434,0.814363,34.230282
7,0.058333,0.025458,0.863249,-0.017227,0.503841,-6.613451,78.752121,23.02206,0.012527,0.874433,-0.023928,0.484394,-6.139438,86.46859,22.990446,-0.006067,0.878289,-0.01878,0.477724,-5.300605,105.045151,22.437704,0.262679,0.879831,-0.114547,0.379178,-5.151138,125.541069,21.642138,0.089654,0.96267,-0.100059,0.234985,4.017768,136.99881,20.313717,-0.011254,0.726879,0.082712,0.681673,-7.946198,119.465805,18.981256,0.116777,-0.509023,0.006954,-0.852766,-9.243876,121.24308,0.677408,-0.02697,0.121931,-0.507835,-0.852355,2.102736,118.163315,-19.734251,-0.144241,-0.266283,0.675383,0.672418,14.821603,142.207214,-13.150531,-0.144422,0.906046,0.060187,0.393193,-3.891253,119.679192,25.240501,0.164165,0.985355,-0.033343,-0.031834,8.075011,123.631355,38.696445,-0.273567,0.587286,0.310067,-0.695784,30.313221,115.960625,37.476555,-0.210724,0.235231,0.593732,-0.740097,27.425772,134.39624,21.617342,0.018605,0.809764,0.278926,0.515884,-11.242592,79.002853,14.812433,0.132411,0.921139,-0.070607,0.359144,-2.248343,49.550652,-1.626655,-0.063543,0.955595,-0.019579,0.287083,-15.508816,6.573835,-0.052942,-0.199241,0.820493,0.111501,0.524082,-1.984311,78.501396,31.231686,0.11694,0.825428,-0.137389,0.534899,13.508677,47.232811,32.134567,-0.062672,0.770412,0.025104,0.633961,-1.793888,5.159018,36.711769,-0.063543,0.955595,-0.019579,0.287083,-7.038858,0.486525,-11.400296,-0.062672,0.770412,0.025104,0.633961,12.762901,0.757422,34.205017
8,0.066667,0.025538,0.862596,-0.016357,0.504983,-6.610332,78.393028,23.100134,0.012914,0.873878,-0.023456,0.485408,-6.142001,86.109886,23.081383,-0.00513,0.877756,-0.019047,0.478702,-5.298008,104.697243,22.551653,0.263134,0.879464,-0.114741,0.379656,-5.108695,125.193169,21.765045,0.089942,0.962597,-0.099909,0.235236,4.073513,136.641006,20.443138,-0.010514,0.726679,0.082797,0.681888,-7.908985,119.124207,19.095282,0.114042,-0.5101,0.006407,-0.852497,-9.19645,120.924187,0.79293,-0.032423,0.124377,-0.507553,-0.85198,2.098772,117.926262,-19.659376,-0.138401,-0.268674,0.676147,0.671926,14.799981,141.904373,-12.807081,-0.143904,0.905649,0.059536,0.394395,-3.867853,119.327461,25.363789,0.165803,0.985043,-0.034465,-0.031819,8.069034,123.267006,38.849495,-0.274736,0.585793,0.309202,-0.696966,30.281826,115.521011,37.642105,-0.211494,0.233241,0.590422,-0.743149,27.283609,133.950851,21.812647,0.016811,0.810073,0.284646,0.512324,-11.217669,78.652664,14.878528,0.134561,0.921271,-0.073485,0.357425,-1.987075,49.421074,-1.82123,-0.064321,0.955601,-0.018806,0.286941,-15.509057,6.533247,-0.05674,-0.202909,0.81903,0.116863,0.523795,-2.002996,78.133392,31.321739,0.120349,0.825105,-0.140306,0.533884,13.873214,47.053276,32.059582,-0.062029,0.770401,0.02537,0.634028,-1.806726,5.125207,36.696316,-0.064321,0.955601,-0.018806,0.286941,-7.032002,0.473718,-11.41366,-0.062029,0.770401,0.02537,0.634028,12.747303,0.717162,34.184875
9,0.075,0.025499,0.861914,-0.015714,0.506168,-6.614162,78.026382,23.189241,0.013757,0.873295,-0.023236,0.486444,-6.151355,85.743591,23.179379,-0.004527,0.877217,-0.019333,0.479684,-5.28369,104.32193,22.673298,0.263263,0.879156,-0.115065,0.38018,-5.066165,124.817642,21.888477,0.090126,0.962515,-0.099833,0.235531,4.123267,136.259674,20.5665,-0.009185,0.727011,0.0823,0.681614,-7.868226,118.75248,19.211975,0.11189,-0.51091,0.006068,-0.8523,-9.170474,120.574631,0.91286,-0.03654,0.126932,-0.506787,-0.851892,2.086024,117.63784,-19.569649,-0.134047,-0.27076,0.675625,0.672496,14.794776,141.54303,-12.480708,-0.143467,0.905143,0.057802,0.39597,-3.841042,118.950127,25.489634,0.167831,0.984675,-0.035022,-0.031968,8.054562,122.894249,39.010441,-0.274634,0.584265,0.309043,-0.698357,30.235022,115.055939,37.804359,-0.210545,0.231827,0.58721,-0.746399,27.146912,133.463379,21.996078,0.014555,0.810856,0.290482,0.507858,-11.198942,78.290817,14.955185,0.136982,0.920864,-0.076458,0.35693,-1.723382,49.288631,-2.005333,-0.064684,0.955419,-0.018069,0.287515,-15.533378,6.500113,-0.068859,-0.206041,0.817047,0.122909,0.524286,-2.029381,77.761955,31.423294,0.123335,0.824419,-0.143429,0.533432,14.222698,46.872471,31.954029,-0.060945,0.770248,0.026345,0.634279,-1.815626,5.08965,36.675335,-0.064684,0.955419,-0.018069,0.287515,-7.036878,0.464853,-11.424171,-0.060945,0.770248,0.026345,0.634279,12.737534,0.682702,34.156925
