Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.017644,0.918392,0.029299,0.39419,19.224306,86.899734,100.354469,-0.04799,0.917258,0.118576,0.377194,18.800003,94.526047,100.659523,-0.004319,0.926638,0.020254,0.375383,15.35856,113.280952,104.175377,0.084517,0.948322,-0.109519,0.285565,14.870079,134.309677,104.897156,0.033715,0.960898,-0.22502,0.157811,19.065407,147.728745,101.077591,-0.059959,0.850577,0.120244,0.508394,11.765431,128.25914,102.514053,-0.303287,0.697833,-0.012261,0.648765,2.908175,128.636292,86.148643,-0.002062,-0.20893,-0.450098,-0.868191,3.495451,118.62291,65.674286,0.005489,-0.076074,-0.483261,-0.872147,17.766212,140.623047,55.525524,-0.09394,0.961207,0.132147,0.223143,17.117865,128.20546,107.700478,0.383246,0.876319,0.211678,-0.200947,33.548199,130.469025,116.14679,0.085066,0.270342,0.491621,-0.8234,47.808903,117.094467,104.417946,0.011712,0.006648,0.688354,-0.72525,37.999935,137.313675,90.415024,0.041213,0.910261,0.164043,0.377911,12.804994,86.812958,93.595161,0.092447,0.951902,-0.013627,0.291807,14.548767,53.233727,81.848846,-0.012875,0.927383,0.002513,0.373883,6.17421,8.503443,80.573669,-0.143793,0.893063,-0.047379,0.423695,25.643618,86.986511,107.113777,-0.02112,0.863542,-0.170926,0.473956,33.361305,53.002132,114.467751,0.046454,0.888995,-0.016639,0.455251,27.645746,10.177487,128.818375,-0.012875,0.927383,0.002513,0.373883,16.026323,2.645908,70.53006,0.046454,0.888995,-0.016639,0.455251,38.350372,3.142445,120.561958
1,0.008333,-0.018022,0.918216,0.029062,0.394602,19.189573,86.924431,100.304733,-0.048634,0.917048,0.117967,0.377812,18.761251,94.550743,100.603989,-0.004427,0.926363,0.020245,0.376063,15.303191,113.309769,104.086792,0.084306,0.948256,-0.109335,0.285918,14.81009,134.338455,104.806122,0.033913,0.960805,-0.225388,0.15781,19.000393,147.760529,100.991547,-0.060084,0.849997,0.120834,0.509209,11.709973,128.287201,102.418968,-0.302177,0.697793,-0.011293,0.649343,2.884138,128.676544,86.036873,-0.002584,-0.209628,-0.450396,-0.867867,3.474963,118.727325,65.531357,0.005417,-0.076266,-0.48457,-0.871405,17.717718,140.745422,55.363113,-0.094665,0.961126,0.132121,0.223202,17.054787,128.234848,107.613266,0.381608,0.876865,0.211927,-0.20142,33.47905,130.524002,116.064499,0.083938,0.271012,0.490655,-0.823872,47.788189,117.212234,104.323235,0.011097,0.00731,0.687615,-0.725954,37.948345,137.414398,90.318268,0.040785,0.910205,0.163485,0.378334,12.776563,86.82972,93.539551,0.092275,0.951783,-0.013749,0.292243,14.538102,53.234959,81.84037,-0.012813,0.927412,0.002513,0.373814,6.175631,8.502093,80.57653,-0.144173,0.892561,-0.047561,0.424602,25.602585,87.019142,107.069908,-0.021722,0.863319,-0.170767,0.474391,33.330692,53.043777,114.454544,0.047254,0.888972,-0.017598,0.455178,27.662104,10.216558,128.816101,-0.012813,0.927412,0.002513,0.373814,16.025558,2.643867,70.531166,0.047254,0.888972,-0.017598,0.455178,38.349091,3.148892,120.564713
2,0.016667,-0.018418,0.918004,0.028715,0.395102,19.152727,86.949036,100.263382,-0.048952,0.916838,0.117451,0.37844,18.720774,94.575447,100.555145,-0.004845,0.926074,0.020117,0.376775,15.256855,113.335892,104.012405,0.084443,0.948114,-0.109503,0.286284,14.748923,134.364639,104.719757,0.034067,0.960812,-0.225424,0.15768,18.946209,147.784164,100.903938,-0.060031,0.849408,0.121451,0.51005,11.65647,128.310089,102.331009,-0.301696,0.697562,-0.009942,0.649837,2.862314,128.717896,85.932335,-0.00242,-0.21024,-0.450935,-0.867439,3.469186,118.826973,65.399117,0.005835,-0.076364,-0.486234,-0.870466,17.673693,140.864151,55.199413,-0.095416,0.96102,0.13245,0.223144,16.993229,128.263992,107.53363,0.380101,0.877361,0.212367,-0.201645,33.413147,130.577209,115.986755,0.082858,0.271729,0.48971,-0.824307,47.770489,117.323341,104.238831,0.010355,0.007922,0.686339,-0.727165,37.903942,137.504425,90.230919,0.040368,0.910033,0.162986,0.379007,12.747351,86.845329,93.491104,0.092166,0.95162,-0.013843,0.292802,14.53079,53.236557,81.835571,-0.012821,0.927419,0.002452,0.373797,6.175953,8.50209,80.577866,-0.144574,0.892279,-0.047686,0.425044,25.558102,87.05275,107.035652,-0.022283,0.863167,-0.170585,0.474707,33.303543,53.086506,114.444031,0.048017,0.889,-0.01851,0.455006,27.681711,10.255882,128.813797,-0.012821,0.927419,0.002452,0.373797,16.025349,2.642349,70.532867,0.048017,0.889,-0.01851,0.455006,38.34996,3.15733,120.564674
3,0.025,-0.019098,0.917724,0.028392,0.395742,19.120865,86.972336,100.228294,-0.049218,0.91657,0.116954,0.379207,18.681135,94.598633,100.511101,-0.005175,0.925727,0.019966,0.37763,15.211853,113.363853,103.944351,0.084332,0.947986,-0.109203,0.286853,14.692807,134.392715,104.640091,0.034233,0.960704,-0.225775,0.157802,18.888062,147.815735,100.834358,-0.06039,0.848719,0.121972,0.51103,11.607625,128.335526,102.248672,-0.30098,0.697515,-0.008567,0.650239,2.852323,128.747864,85.82933,-0.002423,-0.21079,-0.451265,-0.867134,3.463345,118.920967,65.265511,0.006205,-0.076654,-0.487792,-0.869566,17.640953,140.970947,55.04076,-0.096077,0.960886,0.132877,0.223185,16.934719,128.29454,107.461227,0.378449,0.877951,0.212548,-0.201994,33.349251,130.627151,115.919472,0.081738,0.272474,0.488629,-0.824814,47.757332,117.434227,104.165062,0.009405,0.008386,0.685539,-0.727927,37.857136,137.592346,90.152336,0.040028,0.909831,0.162557,0.379712,12.725404,86.855042,93.446884,0.092099,0.951495,-0.013974,0.293222,14.528065,53.234375,81.828674,-0.012702,0.927418,0.00254,0.373802,6.176027,8.499116,80.580452,-0.144886,0.892072,-0.047688,0.425373,25.516325,87.089622,107.00972,-0.022815,0.862915,-0.170443,0.475191,33.278255,53.129803,114.430283,0.048795,0.888979,-0.019545,0.454921,27.696327,10.296926,128.808899,-0.012702,0.927418,0.00254,0.373802,16.024593,2.640403,70.534042,0.048795,0.888979,-0.019545,0.454921,38.346325,3.164263,120.565605
4,0.033333,-0.019651,0.917467,0.028112,0.396331,19.092754,86.995171,100.198868,-0.04937,0.916333,0.116472,0.379908,18.646774,94.621384,100.474121,-0.005539,0.925408,0.019853,0.378411,15.177146,113.386765,103.884911,0.084305,0.947874,-0.109129,0.28726,14.645144,134.415649,104.570007,0.034315,0.960709,-0.225809,0.157707,18.841417,147.839478,100.768219,-0.060816,0.848093,0.122551,0.51188,11.567429,128.355621,102.17614,-0.300215,0.697344,-0.007322,0.650791,2.846389,128.770813,85.738647,-0.002317,-0.211553,-0.451664,-0.866741,3.469142,119.007301,65.145004,0.006856,-0.077133,-0.489549,-0.86853,17.61272,141.072433,54.881817,-0.096644,0.960749,0.133285,0.223287,16.885662,128.320053,107.397797,0.376815,0.878517,0.212617,-0.202515,33.294422,130.668549,115.862862,0.080483,0.273178,0.487612,-0.825306,47.749146,117.536995,104.097,0.008836,0.009123,0.684398,-0.728998,37.819523,137.672882,90.087074,0.039685,0.909618,0.162157,0.380427,12.706387,86.86676,93.409081,0.092131,0.951533,-0.013968,0.293089,14.529322,53.234894,81.8265,-0.012617,0.927368,0.002518,0.373929,6.174522,8.500158,80.578026,-0.145207,0.892062,-0.047738,0.425279,25.47912,87.123581,106.988647,-0.023177,0.862865,-0.170274,0.475326,33.260155,53.170753,114.42115,0.049317,0.888988,-0.020541,0.454805,27.711794,10.334152,128.801666,-0.012617,0.927368,0.002518,0.373929,16.024817,2.639992,70.534149,0.049317,0.888988,-0.020541,0.454805,38.346256,3.171341,120.564461
5,0.041667,-0.020189,0.917225,0.027911,0.396878,19.073458,87.012627,100.172928,-0.049609,0.916026,0.116073,0.38074,18.620998,94.63868,100.441811,-0.006031,0.925003,0.019779,0.379398,15.145166,113.409111,103.832352,0.084327,0.947711,-0.109043,0.287825,14.594475,134.437881,104.506157,0.034536,0.960696,-0.22583,0.157705,18.793852,147.86232,100.709961,-0.061078,0.847372,0.123028,0.512927,11.526882,128.374176,102.108597,-0.299895,0.697111,-0.006028,0.651201,2.846996,128.796631,85.649529,-0.001924,-0.212323,-0.452153,-0.866298,3.485374,119.084763,65.031967,0.007551,-0.077439,-0.49088,-0.867746,17.586985,141.159988,54.725647,-0.097279,0.960601,0.133291,0.223645,16.833887,128.345474,107.341698,0.375425,0.879053,0.212668,-0.202719,33.232117,130.714325,115.821472,0.079455,0.274042,0.486773,-0.825615,47.730755,117.63176,104.055084,0.007976,0.00932,0.683298,-0.730037,37.783726,137.748474,90.034187,0.039457,0.909412,0.161743,0.38112,12.69558,86.873901,93.375374,0.092166,0.951583,-0.01396,0.292916,14.530669,53.231205,81.826218,-0.012485,0.927334,0.002679,0.374016,6.172884,8.497029,80.57769,-0.145458,0.892213,-0.047813,0.424866,25.451336,87.151352,106.970474,-0.023433,0.862866,-0.170181,0.475344,33.249004,53.204216,114.411568,0.049725,0.889044,-0.021422,0.454608,27.724567,10.365817,128.795944,-0.012485,0.927334,0.002679,0.374016,16.024281,2.639649,70.533279,0.049725,0.889044,-0.021422,0.454608,38.344173,3.177088,120.562157
6,0.05,-0.020605,0.916982,0.027792,0.397426,19.058306,87.024986,100.15416,-0.05,0.915733,0.115599,0.381536,18.600571,94.650887,100.418594,-0.006279,0.924634,0.019849,0.380287,15.114381,113.426781,103.784157,0.084278,0.947576,-0.108806,0.28837,14.552254,134.455307,104.456184,0.034653,0.960645,-0.225965,0.157801,18.751574,147.882248,100.668785,-0.061467,0.84661,0.123374,0.514055,11.492227,128.390045,102.052902,-0.299234,0.697036,-0.005078,0.651594,2.857219,128.813751,85.570274,-0.001809,-0.213278,-0.45244,-0.865914,3.500871,119.152046,64.929321,0.008267,-0.078172,-0.492056,-0.867007,17.568562,141.235809,54.575516,-0.097946,0.960419,0.133505,0.224004,16.789114,128.364075,107.296249,0.374107,0.879545,0.212774,-0.202907,33.17651,130.752533,115.791451,0.078469,0.274862,0.485925,-0.825936,47.716705,117.717171,104.023972,0.007207,0.010027,0.682447,-0.730831,37.749733,137.816116,89.991425,0.039253,0.909268,0.161361,0.381645,12.688867,86.878639,93.348862,0.092217,0.951618,-0.013905,0.292789,14.533183,53.226002,81.830193,-0.012561,0.927309,0.002714,0.374075,6.17229,8.49255,80.576599,-0.145648,0.892308,-0.047793,0.424604,25.427746,87.171333,106.959465,-0.023611,0.86288,-0.170099,0.47534,33.240021,53.22802,114.402679,0.049998,0.889043,-0.022044,0.454552,27.733171,10.387847,128.788513,-0.012561,0.927309,0.002714,0.374075,16.025936,2.636931,70.533371,0.049998,0.889043,-0.022044,0.454552,38.34396,3.18092,120.559265
7,0.058333,-0.020975,0.916715,0.027611,0.398034,19.044647,87.036255,100.142548,-0.050394,0.915437,0.115145,0.382332,18.582651,94.662071,100.401878,-0.006483,0.924273,0.019863,0.38116,15.086457,113.43924,103.742386,0.084323,0.947431,-0.108672,0.288885,14.515535,134.467636,104.41114,0.034744,0.96064,-0.225928,0.157863,18.717928,147.895508,100.630501,-0.061753,0.845929,0.123763,0.515048,11.462241,128.401031,102.002693,-0.299215,0.696608,-0.00388,0.652069,2.866589,128.8293,85.499619,-0.00123,-0.214294,-0.452888,-0.86543,3.537929,119.209549,64.839951,0.008886,-0.078962,-0.493288,-0.866229,17.559345,141.297485,54.426975,-0.098424,0.960249,0.133567,0.224487,16.749187,128.377502,107.256088,0.372728,0.879986,0.213212,-0.203075,33.125015,130.77951,115.769753,0.077293,0.275673,0.485028,-0.826304,47.709072,117.797684,103.997353,0.005911,0.010593,0.681399,-0.731812,37.721218,137.877472,89.960159,0.039118,0.909127,0.16099,0.382152,12.6845,86.882652,93.32872,0.092274,0.951728,-0.01376,0.29242,14.53371,53.220749,81.837929,-0.012445,0.927244,0.002887,0.374239,6.171269,8.487895,80.573502,-0.145839,0.892529,-0.047661,0.42409,25.404793,87.18985,106.956375,-0.023672,0.862747,-0.170068,0.475589,33.237206,53.249603,114.392365,0.050094,0.888968,-0.022705,0.454655,27.732368,10.408741,128.776901,-0.012445,0.927244,0.002887,0.374239,16.027916,2.635569,70.531296,0.050094,0.888968,-0.022705,0.454655,38.339138,3.184556,120.557617
8,0.066667,-0.021183,0.916462,0.027538,0.39861,19.038458,87.042931,100.135231,-0.050857,0.915115,0.114759,0.383156,18.573837,94.668671,100.391975,-0.006823,0.923887,0.019958,0.382084,15.06404,113.446701,103.708717,0.084403,0.947238,-0.108817,0.289441,14.477688,134.474747,104.375145,0.034868,0.960665,-0.225705,0.158002,18.686424,147.900635,100.594475,-0.06217,0.845132,0.124081,0.516228,11.433317,128.40596,101.960899,-0.299421,0.696226,-0.002562,0.652388,2.884895,128.834503,85.433319,-0.000604,-0.215284,-0.453344,-0.864946,3.580879,119.252571,64.756889,0.009452,-0.079976,-0.494428,-0.86548,17.555565,141.343628,54.285248,-0.098875,0.960085,0.133748,0.224884,16.709679,128.386261,107.22493,0.371338,0.880509,0.213473,-0.203079,33.075562,130.800308,115.754303,0.076135,0.276516,0.484108,-0.826669,47.706696,117.867813,103.986015,0.004855,0.011365,0.680476,-0.732666,37.696709,137.929382,89.940605,0.039047,0.909008,0.160621,0.382597,12.687037,86.885628,93.313347,0.092362,0.951846,-0.013595,0.292017,14.536193,53.214855,81.848564,-0.012428,0.92721,0.002987,0.374323,6.170054,8.483061,80.571045,-0.145897,0.892673,-0.047597,0.423773,25.389879,87.200233,106.957115,-0.023796,0.862861,-0.170008,0.475396,33.230526,53.26075,114.387978,0.050243,0.889099,-0.023041,0.454366,27.741245,10.418567,128.774536,-0.012428,0.92721,0.002987,0.374323,16.028738,2.633162,70.529427,0.050243,0.889099,-0.023041,0.454366,38.338459,3.184805,120.551346
9,0.075,-0.021395,0.91611,0.027386,0.399418,19.031834,87.049469,100.13356,-0.051235,0.914767,0.114484,0.384018,18.564955,94.675209,100.386475,-0.007052,0.923512,0.02002,0.382983,15.043261,113.450981,103.684021,0.084445,0.947061,-0.108842,0.289998,14.446378,134.47879,104.348602,0.034952,0.960676,-0.225521,0.158176,18.659563,147.904068,100.57074,-0.062492,0.844316,0.124546,0.517411,11.409398,128.408585,101.928589,-0.2995,0.695949,-0.00164,0.65265,2.907982,128.843292,85.376945,-3.4e-05,-0.216425,-0.453543,-0.864557,3.621706,119.290054,64.687859,0.009967,-0.081037,-0.495204,-0.864931,17.557768,141.37291,54.151352,-0.099401,0.95991,0.133776,0.225382,16.675463,128.391373,107.20295,0.370241,0.880924,0.213836,-0.202899,33.029121,130.820831,115.751373,0.075323,0.277325,0.48338,-0.826898,47.700691,117.926994,103.991028,0.003898,0.011994,0.679708,-0.733375,37.677677,137.970215,89.931313,0.039023,0.908869,0.160278,0.383074,12.692603,86.887985,93.300453,0.092462,0.951893,-0.013471,0.291836,14.53979,53.209259,81.858749,-0.012416,0.927171,0.003092,0.37442,6.16809,8.478848,80.569366,-0.146043,0.893039,-0.047322,0.422981,25.371063,87.21096,106.966675,-0.02368,0.862818,-0.170041,0.475468,33.235764,53.272652,114.377441,0.049928,0.889023,-0.023617,0.454519,27.734709,10.431004,128.761078,-0.012416,0.927171,0.003092,0.37442,16.029179,2.631577,70.52858,0.049928,0.889023,-0.023617,0.454519,38.3344,3.186701,120.550369
