Frame,Time (Seconds),Hip.rotX,Hip.rotY,Hip.rotZ,Hip.rotW,Hip.posX,Hip.posY,Hip.posZ,Ab.rotX,Ab.rotY,Ab.rotZ,Ab.rotW,Ab.posX,Ab.posY,Ab.posZ,Chest.rotX,Chest.rotY,Chest.rotZ,Chest.rotW,Chest.posX,Chest.posY,Chest.posZ,Neck.rotX,Neck.rotY,Neck.rotZ,Neck.rotW,Neck.posX,Neck.posY,Neck.posZ,Head.rotX,Head.rotY,Head.rotZ,Head.rotW,Head.posX,Head.posY,Head.posZ,LShoulder.rotX,LShoulder.rotY,LShoulder.rotZ,LShoulder.rotW,LShoulder.posX,LShoulder.posY,LShoulder.posZ,LUArm.rotX,LUArm.rotY,LUArm.rotZ,LUArm.rotW,LUArm.posX,LUArm.posY,LUArm.posZ,LFArm.rotX,LFArm.rotY,LFArm.rotZ,LFArm.rotW,LFArm.posX,LFArm.posY,LFArm.posZ,LHand.rotX,LHand.rotY,LHand.rotZ,LHand.rotW,LHand.posX,LHand.posY,LHand.posZ,RShoulder.rotX,RShoulder.rotY,RShoulder.rotZ,RShoulder.rotW,RShoulder.posX,RShoulder.posY,RShoulder.posZ,RUArm.rotX,RUArm.rotY,RUArm.rotZ,RUArm.rotW,RUArm.posX,RUArm.posY,RUArm.posZ,RFArm.rotX,RFArm.rotY,RFArm.rotZ,RFArm.rotW,RFArm.posX,RFArm.posY,RFArm.posZ,RHand.rotX,RHand.rotY,RHand.rotZ,RHand.rotW,RHand.posX,RHand.posY,RHand.posZ,LThigh.rotX,LThigh.rotY,LThigh.rotZ,LThigh.rotW,LThigh.posX,LThigh.posY,LThigh.posZ,LShin.rotX,LShin.rotY,LShin.rotZ,LShin.rotW,LShin.posX,LShin.posY,LShin.posZ,LFoot.rotX,LFoot.rotY,LFoot.rotZ,LFoot.rotW,LFoot.posX,LFoot.posY,LFoot.posZ,RThigh.rotX,RThigh.rotY,RThigh.rotZ,RThigh.rotW,RThigh.posX,RThigh.posY,RThigh.posZ,RShin.rotX,RShin.rotY,RShin.rotZ,RShin.rotW,RShin.posX,RShin.posY,RShin.posZ,RFoot.rotX,RFoot.rotY,RFoot.rotZ,RFoot.rotW,RFoot.posX,RFoot.posY,RFoot.posZ,LToe.rotX,LToe.rotY,LToe.rotZ,LToe.rotW,LToe.posX,LToe.posY,LToe.posZ,RToe.rotX,RToe.rotY,RToe.rotZ,RToe.rotW, RToe.posX, RToe.posY, RToe.posZ
0,0.0,-0.019243,0.899874,0.034131,0.434386,21.836535,85.76535,104.386627,-0.035179,0.892232,0.148245,0.425098,21.345129,93.386078,104.728386,0.00677,0.903656,0.030756,0.4271,17.639515,112.100815,109.333183,0.097982,0.931882,-0.111366,0.331049,17.344103,133.105835,110.624779,0.037371,0.958226,-0.199017,0.201985,22.157877,146.411438,107.153526,-0.062107,0.84087,0.098266,0.528605,14.449713,127.176193,107.728485,-0.371281,0.6728,-0.048014,0.638111,6.382393,127.165756,90.955345,0.045841,-0.205208,-0.47414,-0.854973,8.435928,114.378204,72.191727,0.047789,-0.095682,-0.503913,-0.857107,21.401806,136.405365,61.222847,-0.072538,0.954342,0.13123,0.258356,19.1831,126.889183,113.478531,0.300727,0.931052,0.022195,-0.20546,35.114906,128.204041,123.011017,0.015249,0.335515,0.428394,-0.838853,51.865597,115.644691,113.983902,0.051313,0.013685,0.691916,-0.720022,40.807976,134.854843,98.367119,0.058261,0.897323,0.189485,0.394351,16.03927,85.71891,97.086426,0.119673,0.960126,0.008369,0.252519,17.638121,52.901173,83.337929,0.018635,0.935904,0.010674,0.351599,7.368683,8.686193,79.854813,-0.154703,0.846438,-0.020711,0.509099,27.633799,85.81179,111.686829,0.009592,0.801055,-0.19428,0.566104,36.210606,51.930054,118.545975,0.051716,0.845569,0.001784,0.531352,25.49695,9.849771,132.221695,0.018635,0.935904,0.010674,0.351599,16.411152,2.728513,69.131531,0.051716,0.845569,0.001784,0.531352,37.546307,3.096481,125.783134
1,0.008333,-0.018952,0.90059,0.034312,0.432898,21.829796,85.778221,104.327728,-0.035352,0.893012,0.147986,0.423532,21.341764,93.398933,104.674721,0.006962,0.904448,0.030795,0.425414,17.641335,112.121735,109.275627,0.097602,0.932526,-0.111342,0.329352,17.354935,133.126541,110.572723,0.037509,0.958543,-0.199002,0.200463,22.149651,146.435364,107.08741,-0.06186,0.841937,0.098365,0.526915,14.448564,127.198074,107.686005,-0.371911,0.673134,-0.047984,0.637393,6.313694,127.188698,90.945526,0.045061,-0.203798,-0.474798,-0.854987,8.346849,114.378593,72.195076,0.046556,-0.094826,-0.504419,-0.856973,21.309626,136.448975,61.312366,-0.072179,0.954743,0.131491,0.256838,19.203337,126.90892,113.418282,0.300691,0.930743,0.021843,-0.206943,35.16621,128.21701,122.899605,0.015929,0.33451,0.428315,-0.839283,51.889992,115.661598,113.817276,0.05217,0.012822,0.691652,-0.720231,40.793903,134.863495,98.225227,0.058118,0.897963,0.189192,0.393053,16.00827,85.736931,97.046829,0.119151,0.960313,0.008401,0.252053,17.587894,52.910126,83.317757,0.017977,0.935999,0.010512,0.351387,7.362464,8.683833,79.84877,-0.154596,0.846623,-0.021445,0.508792,27.651321,85.819519,111.608627,0.009312,0.801317,-0.194523,0.565655,36.197563,51.93763,118.505035,0.051847,0.845528,0.001388,0.531406,25.49963,9.865436,132.217926,0.017977,0.935999,0.010512,0.351387,16.40674,2.728188,69.125877,0.051847,0.845528,0.001388,0.531406,37.545223,3.100914,125.784096
2,0.016667,-0.019004,0.901107,0.03416,0.43183,21.807526,85.798714,104.270348,-0.035209,0.893716,0.147804,0.42212,21.32019,93.419548,104.615494,0.007145,0.905191,0.03076,0.423831,17.635283,112.143539,109.218124,0.097302,0.933109,-0.111324,0.327792,17.358768,133.148331,110.517624,0.037614,0.95881,-0.199121,0.199047,22.137276,146.459717,107.019829,-0.06232,0.8425,0.098601,0.525916,14.440784,127.220795,107.640717,-0.371914,0.674091,-0.048248,0.636359,6.268877,127.196648,90.918304,0.043427,-0.202393,-0.475354,-0.855097,8.242075,114.364815,72.1763,0.044973,-0.093984,-0.504683,-0.856994,21.207212,136.486359,61.401016,-0.071749,0.955238,0.131528,0.255093,19.215563,126.930046,113.35627,0.394595,0.872455,0.238212,-0.162395,35.213997,128.232361,122.778259,0.100606,0.262034,0.512086,-0.811779,49.710907,114.298203,112.031578,0.053317,0.012145,0.691581,-0.720226,40.777145,134.866669,98.072357,0.057855,0.898566,0.18899,0.391811,15.968823,85.754463,97.003242,0.118654,0.960544,0.008379,0.251407,17.540375,52.920033,83.291473,0.017171,0.936072,0.010203,0.351242,7.354887,8.682951,79.842583,-0.154602,0.846902,-0.022054,0.508301,27.646229,85.842964,111.53746,0.008889,0.801512,-0.194644,0.565343,36.174572,51.963074,118.46582,0.052374,0.845474,0.000702,0.531441,25.506586,9.89449,132.213043,0.017171,0.936072,0.010203,0.351242,16.4035,2.726784,69.123634,0.052374,0.845474,0.000702,0.531441,37.541435,3.106497,125.783852
3,0.025,-0.019032,0.901594,0.033861,0.430837,21.7803,85.817924,104.211853,-0.034978,0.894479,0.147541,0.420614,21.294924,93.439056,104.553223,0.007207,0.905995,0.030786,0.422107,17.631042,112.162277,109.155807,0.09723,0.93371,-0.111451,0.326053,17.35891,133.166962,110.457924,0.037699,0.95916,-0.199092,0.197364,22.127434,146.477966,106.945084,-0.061879,0.843673,0.09846,0.524112,14.430157,127.239563,107.591698,-0.372246,0.674438,-0.048731,0.63576,6.185716,127.217171,90.904915,0.042119,-0.201392,-0.475924,-0.855081,8.135448,114.356567,72.180183,0.043311,-0.093293,-0.504278,-0.857394,21.090837,136.518341,61.487625,-0.071405,0.955746,0.131612,0.253239,19.226664,126.948524,113.289009,0.395228,0.872113,0.237664,-0.163491,35.26202,128.248245,122.648392,0.101854,0.261047,0.512107,-0.811928,49.719799,114.302864,111.863625,0.054612,0.011433,0.691629,-0.720095,40.759441,134.865341,97.91008,0.05754,0.899153,0.188799,0.390599,15.925638,85.769989,96.957619,0.118175,0.960752,0.00831,0.250842,17.493349,52.927826,83.263947,0.016697,0.936117,0.010096,0.351148,7.345549,8.680311,79.837967,-0.154646,0.847168,-0.022562,0.507821,27.634964,85.865852,111.466095,0.008398,0.801569,-0.19478,0.565224,36.151287,51.98856,118.421875,0.052845,0.845385,1.7e-05,0.531538,25.514179,9.92403,132.205383,0.016697,0.936117,0.010096,0.351148,16.396845,2.725826,69.120346,0.052845,0.845385,1.7e-05,0.531538,37.539803,3.113302,125.782967
4,0.033333,-0.01913,0.9021,0.03353,0.429797,21.751867,85.835968,104.149689,-0.034852,0.895245,0.147336,0.419063,21.267706,93.457382,104.486427,0.007335,0.906816,0.030764,0.420338,17.619701,112.182411,109.09021,0.096926,0.934316,-0.111713,0.324313,17.355352,133.187073,110.394287,0.037939,0.959462,-0.199058,0.195879,22.108942,146.497925,106.860695,-0.061685,0.844683,0.098366,0.522523,14.414665,127.260185,107.539276,-0.372956,0.674947,-0.048899,0.63479,6.107409,127.23391,90.883675,0.041159,-0.200075,-0.476551,-0.855088,8.025069,114.340118,72.178467,0.041808,-0.092471,-0.50452,-0.857415,20.976389,136.545227,61.572659,-0.070872,0.956276,0.131906,0.251226,19.233353,126.968262,113.217796,0.396238,0.871724,0.236474,-0.164841,35.309322,128.257568,122.508713,0.102921,0.25999,0.51242,-0.811935,49.710484,114.284752,111.683762,0.056061,0.010485,0.691765,-0.719867,40.737041,134.85405,97.743454,0.057153,0.89975,0.188724,0.389317,15.880588,85.782913,96.908928,0.117717,0.960902,0.008111,0.25049,17.451283,52.935581,83.228004,0.016016,0.93618,0.00995,0.351016,7.337133,8.677936,79.833595,-0.154611,0.847254,-0.023131,0.507663,27.623146,85.88903,111.39045,0.007899,0.801898,-0.194903,0.564721,36.118,52.012814,118.377663,0.053212,0.845365,-0.000689,0.531531,25.519735,9.951886,132.202026,0.016016,0.93618,0.00995,0.351016,16.39241,2.726101,69.117867,0.053212,0.845365,-0.000689,0.531531,37.535572,3.119493,125.784302
5,0.041667,-0.019104,0.902733,0.033631,0.428458,21.731148,85.848099,104.077293,-0.034706,0.896018,0.14725,0.41745,21.247189,93.469429,104.416313,0.007357,0.907623,0.030576,0.418607,17.613066,112.200584,109.027313,0.096584,0.934931,-0.111744,0.322628,17.355375,133.205719,110.325119,0.038123,0.959731,-0.199243,0.194331,22.091297,146.518936,106.776749,-0.061452,0.845716,0.098129,0.520921,14.403327,127.278069,107.483421,-0.373288,0.675634,-0.049505,0.633818,6.032779,127.246307,90.859558,0.039906,-0.198807,-0.477026,-0.855178,7.90545,114.315262,72.175514,0.040511,-0.091519,-0.503634,-0.8581,20.858665,136.560349,61.661999,-0.070214,0.956695,0.131561,0.249992,19.243654,126.987732,113.143585,0.396893,0.871356,0.235532,-0.166551,35.346104,128.263947,122.390343,0.10439,0.259346,0.512503,-0.811901,49.697704,114.283035,111.510193,0.057535,0.009832,0.691865,-0.719664,40.712963,134.834076,97.560631,0.056802,0.900302,0.18861,0.388145,15.838429,85.795219,96.853973,0.117254,0.961006,0.007828,0.250316,17.410519,52.941982,83.187401,0.015509,0.936226,0.009888,0.350916,7.329133,8.674031,79.83007,-0.154654,0.84772,-0.023919,0.506835,27.623867,85.900978,111.300613,0.007362,0.801782,-0.195139,0.564812,36.099361,52.028358,118.328621,0.053674,0.845278,-0.001259,0.531623,25.526598,9.975088,132.19574,0.015509,0.936226,0.009888,0.350916,16.387569,2.725399,69.115242,0.053674,0.845278,-0.001259,0.531623,37.5341,3.122833,125.783585
6,0.05,-0.018898,0.903425,0.033963,0.426982,21.716183,85.855843,104.002396,-0.034815,0.896829,0.147119,0.415742,21.233458,93.476944,104.348122,0.007299,0.908468,0.030324,0.416789,17.604568,112.218765,108.962044,0.096459,0.935501,-0.111813,0.320984,17.351664,133.224579,110.249695,0.038097,0.959999,-0.199415,0.192832,22.076107,146.5383,106.687973,-0.06139,0.846699,0.098085,0.519337,14.388365,127.295364,107.423004,-0.373653,0.67652,-0.049953,0.63262,5.95622,127.256683,90.830322,0.038725,-0.197419,-0.477409,-0.85534,7.772213,114.289047,72.166069,0.039109,-0.090652,-0.503705,-0.858215,20.735943,136.573257,61.747002,-0.069815,0.957228,0.131626,0.248024,19.25135,127.008125,113.063873,0.397952,0.870861,0.234806,-0.167633,35.392357,128.280563,122.243652,0.106174,0.258208,0.512698,-0.811909,49.689095,114.272621,111.326111,0.05898,0.00906,0.692595,-0.718854,40.683842,134.814041,97.375954,0.056537,0.900806,0.188616,0.387009,15.799772,85.807899,96.798431,0.116781,0.961169,0.007479,0.249922,17.371691,52.952663,83.136658,0.014834,0.936311,0.009664,0.350727,7.321792,8.674133,79.824745,-0.154662,0.848089,-0.024861,0.506169,27.632595,85.903778,111.206352,0.006914,0.802013,-0.195383,0.564405,36.079788,52.034603,118.284882,0.053895,0.84535,-0.001606,0.531485,25.53426,9.989405,132.197128,0.014834,0.936311,0.009664,0.350727,16.382469,2.726055,69.111511,0.053895,0.84535,-0.001606,0.531485,37.534489,3.126152,125.783134
7,0.058333,-0.018861,0.904047,0.033914,0.425669,21.686111,85.866776,103.931808,-0.034654,0.897631,0.146983,0.414071,21.204716,93.487953,104.277802,0.007123,0.909299,0.030058,0.414995,17.591446,112.236275,108.897568,0.096024,0.936066,-0.112221,0.319323,17.339031,133.242874,110.172478,0.038389,0.960249,-0.199426,0.191513,22.046581,146.555847,106.585632,-0.061172,0.847728,0.097826,0.517731,14.365903,127.311172,107.361374,-0.374604,0.677116,-0.050104,0.631408,5.870747,127.266159,90.800873,0.037874,-0.196026,-0.477993,-0.855372,7.649271,114.257446,72.161606,0.037549,-0.089872,-0.503834,-0.858292,20.609833,136.578033,61.831959,-0.069161,0.958044,0.133408,0.244071,19.251165,127.028679,112.983192,0.398752,0.870844,0.232993,-0.168347,35.467964,128.283081,122.030952,0.107119,0.256773,0.512385,-0.812438,49.724682,114.237419,111.109543,0.061146,0.009109,0.692731,-0.718542,40.660091,134.782578,97.184746,0.056096,0.901211,0.188816,0.386033,15.7488,85.818016,96.745071,0.116337,0.961294,0.007035,0.249658,17.339832,52.964626,83.08107,0.01435,0.936389,0.009443,0.350543,7.317137,8.676097,79.820808,-0.154829,0.848579,-0.025481,0.505265,27.623421,85.915543,111.118553,0.006506,0.802197,-0.195687,0.564043,36.065361,52.052261,118.231476,0.054382,0.845256,-0.002292,0.531583,25.5403,10.017419,132.190445,0.01435,0.936389,0.009443,0.350543,16.378077,2.72686,69.108429,0.054382,0.845256,-0.002292,0.531583,37.531029,3.131248,125.783249
8,0.066667,-0.019076,0.904521,0.033688,0.424668,21.645042,85.88131,103.860649,-0.034212,0.898468,0.14667,0.4124,21.162523,93.502594,104.202667,0.007072,0.910174,0.029927,0.413082,17.579451,112.250153,108.824287,0.095693,0.936632,-0.112661,0.317603,17.330017,133.257111,110.093811,0.038476,0.96051,-0.19943,0.190179,22.023287,146.568268,106.481674,-0.061048,0.848717,0.097587,0.516167,14.345767,127.324211,107.29705,-0.374911,0.67811,-0.050712,0.630109,5.789871,127.270569,90.767876,0.036785,-0.194604,-0.47826,-0.855595,7.504158,114.220879,72.151237,0.036317,-0.088915,-0.50401,-0.858341,20.482782,136.577301,61.914135,-0.068759,0.958594,0.133149,0.242158,19.254652,127.043999,112.898376,0.399913,0.870305,0.232194,-0.169484,35.508137,128.297302,121.880211,0.108972,0.255966,0.512642,-0.812284,49.705086,114.221275,110.920082,0.062455,0.008433,0.693081,-0.718099,40.634525,134.748291,96.983368,0.05559,0.901521,0.189018,0.385281,15.692007,85.82634,96.686974,0.115933,0.96144,0.006581,0.249296,17.309696,52.974354,83.022728,0.013944,0.936442,0.00932,0.350421,7.310319,8.676711,79.815147,-0.155082,0.849392,-0.026011,0.503793,27.598078,85.936287,111.034332,0.005978,0.80224,-0.195993,0.56388,36.048012,52.080555,118.173637,0.054976,0.845205,-0.003238,0.531598,25.548727,10.056019,132.182953,0.013944,0.936442,0.00932,0.350421,16.372494,2.728122,69.103455,0.054976,0.845205,-0.003238,0.531598,37.525414,3.139497,125.782188
9,0.075,-0.018912,0.905233,0.033987,0.423132,21.61886,85.88385,103.780602,-0.034344,0.899296,0.146491,0.410642,21.137266,93.504921,104.128624,0.007053,0.911031,0.029683,0.411208,17.55975,112.262985,108.751091,0.095788,0.937145,-0.112979,0.315943,17.31642,133.270584,110.011459,0.038292,0.960773,-0.199654,0.188648,22.005821,146.578308,106.381676,-0.061057,0.84969,0.097294,0.514619,14.320423,127.336456,107.229889,-0.37542,0.678936,-0.051307,0.628868,5.705174,127.269051,90.731613,0.035745,-0.193137,-0.478609,-0.855777,7.365607,114.175331,72.141037,0.035031,-0.088148,-0.504094,-0.858424,20.356318,136.565582,61.999542,-0.068192,0.959143,0.132631,0.240423,19.252338,127.058731,112.811073,0.400856,0.870004,0.230859,-0.170621,35.539898,128.306442,121.731773,0.11088,0.255547,0.512561,-0.812208,49.684769,114.200142,110.743286,0.063529,0.008115,0.693836,-0.71728,40.600422,134.693985,96.777336,0.055094,0.901929,0.189344,0.384236,15.64143,85.832779,96.627213,0.115537,0.961592,0.006002,0.24891,17.284189,52.98568,82.954216,0.013217,0.936555,0.008941,0.350156,7.304568,8.679017,79.810249,-0.15535,0.850273,-0.026877,0.502175,27.596292,85.934921,110.933998,0.005828,0.802754,-0.196417,0.563003,36.044155,52.088367,118.11911,0.054982,0.845141,-0.003989,0.531693,25.54949,10.078812,132.176727,0.013217,0.936555,0.008941,0.350156,16.367191,2.72744,69.100594,0.054982,0.845141,-0.003989,0.531693,37.521473,3.144382,125.786545
